,target,output,question
0,bedroom,Answer: The bathroom is east of the priest's house.,What is the bathroom east of?
1,bedroom,Answer: The bedroom is west of the kitchen.,What is west of the kitchen?
2,bathroom,"Answer: According to the passage, north of the garden is the bathroom.",What is north of the garden?
3,bedroom,Answer: The bedroom is south of the kitchen.,What is south of the kitchen?
4,bedroom,"Answer: According to the context, east of the kitchen is the bedroom.",What is east of the kitchen?
5,garden,"Answer: According to the passage, the bathroom is located west of the hallway.",What is the bathroom west of?
6,kitchen,"Answer: According to the passage, the kitchen is east of the bedroom.",What is east of the bedroom?
7,bathroom,Answer: The garden south of the Luxembourg Palace is called the Garden of Roses. It is,What is the garden south of?
8,kitchen,"Answer: According to the passage, south of the office is the kitchen.",What is south of the office?
9,office,"Answer: According to the passage, the hallway is east of the garden.",What is east of the hallway?
10,garden,"Answer: According to the text, there is a pond, some lodges, and a desert",What is north of the office?
11,garden,Answer: The garden is south of the kitchen.,What is south of the kitchen?
12,bathroom,"Answer: According to the passage, the bathroom is east of the kitchen.",What is east of the kitchen?
13,garden,"Answer: According to the passage, the garden is west of the kitchen at Fairy Knowe.",What is west of the kitchen?
14,garden,"Answer: According to the passage, the garden is north of the bedroom.",What is north of the bedroom?
15,garden,"Answer: According to the passage, the garden is east of the hallway.",What is east of the hallway?
16,hallway,"Answer: According to the passage, there is a hallway east of the office.",What is east of the office?
17,office,"Answer: According to the passage, the kitchen is south of the bathroom.",What is south of the bathroom?
18,garden,"Answer: According to the passage, the bedroom is north of the kitchen.",What is the bedroom north of?
19,garden,Answer: The kitchen is west of the nunnery compound.,What is the kitchen west of?
20,garden,Answer: The office east of is the padre's wife.,What is the office east of?
21,garden,"Answer: According to the passage, the bathroom is south of the garden of the Burgomaster",What is the bathroom south of?
22,bathroom,"Answer: According to the passage, the bathroom is north of the bedroom.",What is north of the bedroom?
23,bathroom,"Answer: According to the passage, the bedroom is south of the bathroom.",What is the bedroom south of?
24,hallway,"Answer: According to the passage, the bedroom is west of the hallway.",What is the bedroom west of?
25,office,"Answer: According to the passage, east of the bathroom is where my Lord Clifford'",What is east of the bathroom?
26,office,"Answer: According to the text, the office is north of the bedroom.",What is north of the bedroom?
27,hallway,"Answer: According to the passage, there is a compass of twenty-five miles yet within four",What is west of the bathroom?
28,garden,"Answer: According to the context, the bathroom is north of the garden.",What is the bathroom north of?
29,garden,"Answer: According to the text, the garden is north of the office.",What is north of the office?
30,bedroom,"Answer: According to the illustration, the bedroom is east of the kitchen.",What is east of the kitchen?
31,kitchen,Answer: The bathroom is east of the kitchen.,What is the bathroom east of?
32,bathroom,"Answer: According to the passage, there was a bathroom located north of the garden at Appom",What is north of the garden?
33,kitchen,Answer: The bedroom west of is the hallway.,What is the bedroom west of?
34,bedroom,Answer: The kitchen is south of the hallway.,What is the kitchen south of?
35,garden,"Answer: According to the context, the bathroom is east of the stairs that Pepys",What is the bathroom east of?
36,office,"Answer: According to the diary entry, the office is south of the hallway.",What is south of the hallway?
37,bedroom,"Answer: According to the passage, the bedroom is north of the bathroom.",What is north of the bathroom?
38,bedroom,"Answer: According to the passage, the bathroom is east of the office.",What is the bathroom east of?
39,office,"Answer: According to the passage, the office is north of the bedroom.",What is north of the bedroom?
40,bathroom,"Answer: According to the passage, the hallway is south of the kitchen.",What is south of the kitchen?
41,bedroom,"Answer: According to the context, the bedroom is west of the office.",What is west of the office?
