,target,output,question
0,bedroom,,What is the bathroom east of?
1,bedroom,s a,What is west of the kitchen?
2,bathroom,,What is north of the garden?
3,bedroom,Answer: The kitchen.,What is south of the kitchen?
4,bedroom,Answer: The kitchen.,What is east of the kitchen?
5,garden,Answer: The bathroom west of is the kitchen.,What is the bathroom west of?
6,kitchen,Answer: The east of the star at the star at the east of the west of the star at,What is east of the bedroom?
7,bathroom,Answer: The garden is south of the bedroom.,What is the garden south of?
8,kitchen,Answer: The lungs.,What is south of the office?
9,office,What is usually served to identify the hallway.,What is east of the hallway?
10,garden,,What is north of the office?
11,garden,"t, and her, and her, her, her, her, her, her, her,",What is south of the kitchen?
12,bathroom,What is a boy's and girl's life.,What is east of the kitchen?
13,garden,"What is explained, what is explained, what is explained, what is explained, what is explained,",What is west of the kitchen?
14,garden,Answer: The girl's ateacher's ateacher's ateacher',What is north of the bedroom?
15,garden,"Answer: According to the context, there is a garden east of the hallway. The passage mentions",What is east of the hallway?
16,hallway,"Answer: According to the context, there is a hallway that leads east of the office. This",What is east of the office?
17,office,Answer: The bathroom.,What is south of the bathroom?
18,garden,Answer: The bedroom.,What is the bedroom north of?
19,garden,Answer: The kitchen.,What is the kitchen west of?
20,garden,,What is the office east of?
21,garden,,What is the bathroom south of?
22,bathroom,"Answer: According to the context, the bathroom is north of the bedroom.",What is north of the bedroom?
23,bathroom,Answer: The bedroom is south of the kitchen.,What is the bedroom south of?
24,hallway,Answer: The bedroom west of is the kitchen.,What is the bedroom west of?
25,office,Answer: The east.,What is east of the bathroom?
26,office,What is ready to be ready to be used to science.,What is north of the bedroom?
27,hallway,,What is west of the bathroom?
28,garden,What is a question.,What is the bathroom north of?
29,garden,Answer: The answer: The answer is north of the office.,What is north of the office?
30,bedroom,Answer: The kitchen.,What is east of the kitchen?
31,kitchen,Answer: The bathroom is east of the kitchen.,What is the bathroom east of?
32,bathroom,Answer: The Shere is a patriot and thereof a garden of a state of a,What is north of the garden?
33,kitchen,The bedroom.,What is the bedroom west of?
34,bedroom,Answer: The kitchen.,What is the kitchen south of?
35,garden,,What is the bathroom east of?
36,office,,What is south of the hallway?
37,bedroom,,What is north of the bathroom?
38,bedroom,"Answer:

The room was filled with the east.",What is the bathroom east of?
39,office,"Answer:

The north bedroom.",What is north of the bedroom?
40,bathroom,Answer: The kitchen.,What is south of the kitchen?
41,bedroom,What is a room.,What is west of the office?
42,kitchen,What is.,What is the garden south of?
43,garden,What is.,What is south of the bedroom?
44,garden,Answer: The passage.,What is the office south of?
45,hallway,"Answer: The ""Bal Bullier the garden.",What is the office east of?
46,garden,Answer: The south of the room.,What is south of the office?
47,garden,He expressed in his enthusiasm.,What is west of the bedroom?
48,garden,What is the east of the heart by the east of the heart by the east of the heart by,What is east of the hallway?
49,garden,Answer: The Count Clairmont's office.,What is the office south of?
50,bedroom,Answer: The passage from the hallway the child was rendered his wife and child was rendered his wife,What is the hallway north of?
51,garden,,What is north of the bathroom?
52,hallway,Metaple of the room.,What is the bedroom north of?
53,bathroom,Answer: The east of the garden.,What is east of the garden?
54,bathroom,,What is west of the bedroom?
55,garden,"Answer: According to the passage, the bedroom is west of the hallway.",What is east of the hallway?
56,hallway,,What is the bedroom east of?
57,kitchen,Answer: What is the context of the hallway.,What is west of the hallway?
58,hallway,ead.,What is south of the bedroom?
59,kitchen,s.,What is the garden north of?
60,hallway,,What is the bedroom north of?
61,bedroom,,What is south of the hallway?
62,kitchen,"the heart, and the heart, and the heart, and the heart, and the heart, and",What is the hallway north of?
63,hallway,,What is west of the bedroom?
64,bedroom,Answer:,What is east of the garden?
65,office,Answer: The bedroom is north of the kitchen.,What is the bedroom north of?
66,bathroom,Answer: I passed,What is the bedroom north of?
67,office,What is a question.,What is the garden south of?
68,kitchen,Answer: The bathroom west of is the kitchen.,What is the bathroom west of?
69,garden,created the priest's with the created of the hallway of the created of the hallway of,What is the hallway east of?
70,bathroom,,What is south of the bedroom?
71,kitchen,,What is the garden south of?
72,garden,Questions.,What is the bedroom south of?
73,bathroom,sic.,What is north of the office?
74,bathroom,Answer: The victory at Shilohiof the hall.,What is the hallway north of?
75,bedroom,s of the south.,What is south of the hallway?
76,bedroom,the soldiers.,What is the hallway east of?
77,bathroom,Answer: The palace of Sennacheribian.,What is north of the office?
78,kitchen,Answer: The Corinthia the east of the fact that the east of the fact that it.,What is east of the garden?
79,hallway,The answer is: What is.,What is the kitchen south of?
80,garden,r,What is west of the office?
81,office,"e, her, her, her, her, her, her, her, her, her,",What is the bedroom west of?
82,kitchen,aframes.,What is the hallway south of?
83,garden,,What is the office west of?
84,bathroom,the question.,What is north of the hallway?
85,office,,What is west of the garden?
86,office,"f, and attack.",What is west of the garden?
87,garden,What is always.,What is east of the bathroom?
88,bathroom,Answer: The north of the office.,What is north of the office?
89,kitchen,"Answer:

Billion.",What is the bedroom west of?
90,office,Answer: The bathroom is south of the office.,What is the bathroom south of?
91,office,"Answer: According to the passage, there is an office east of the bedroom. The passage states",What is east of the bedroom?
92,bedroom,Answer: The answer: The answer: The answer: The answer: The answer: The answer:,What is south of the office?
93,bathroom,He was never leave; He was never leave; He was never leave; He was never leave;,What is the garden west of?
94,garden,What is the most favourable to the most favourable to her.,What is the bedroom west of?
95,hallway,The boy had not been a guardian officers had not been a blanket.,What is north of the garden?
96,bedroom,"Fred, Fred, Fred, Fred, I raise no alarm and Fred, I amonger Fred",What is the kitchen west of?
97,kitchen,,What is west of the bedroom?
98,bathroom,He said I have to help us to help us to maintain it.,What is the kitchen north of?
