Unnamed: 0,target,output,question
0,hallway,"Answer: The milk is in the kitchen.

Question: Where is the milk?

Answer: The",Where is the milk? 
1,hallway,"Answer: John got the football there.

Context: for the fate of their brother and sister. The Queen had",Where is the football? 
2,hallway,"Answer: In the hallway.

Question: Where is the milk?

Answer: In the kitchen.",Where is the football? 
3,hallway,"Answer: In the bedroom.

Question: Where is the milk?
Answer: In the kitchen.",Where is the football? 
4,garden,"Answer: The milk is in the kitchen.

Question: Where is the football?
Answer: The football is",Where is the milk? 
5,garden,"Answer: The milk is on the floor.

automatic, the student is ready to begin the actual dance.",Where is the milk? 
6,bedroom,"Answer: In the bedroom.

Question: Where is the football?

Answer: In the bedroom.",Where is the football? 
7,bedroom,"Answer: The milk is in the kitchen.

Question: Where is the football?

Answer: The",Where is the milk? 
8,kitchen,"Answer: In the kitchen.

Question: Where is the milk?

Answer: In the bedroom.",Where is the football? 
9,kitchen,"Answer:

Context: Daniel grabbed the football there. Daniel took the football there. Daniel dropped the football.",Where is the football? 
10,bedroom,"Answer: John got the football there.

Question: Where is the milk?

Answer: Daniel picked",Where is the football? 
11,hallway,"Answer: In the hallway.

Question: Where is the apple?

Answer: In the kitchen.",Where is the football? 
12,garden,Answer: In the kitchen.,Where is the milk? 
13,garden,"Answer: In the hallway.

Question: Where is the football?

Answer: In the bedroom.",Where is the milk? 
14,bathroom,"Answer: In the garden.

Question: Where is the milk?

Answer: In the hallway.",Where is the apple? 
15,garden,Answer: In the garden.,Where is the milk? 
16,garden,Answer: In the kitchen.,Where is the milk? 
17,garden,"Answer: In the kitchen.


A: I'm not sure if this is what you're",Where is the milk? 
18,kitchen,"Answer: The apple is in the kitchen.

Question: Where is the milk?

Answer: The",Where is the apple? 
19,kitchen,"Answer: In the office.

Question: Where is the milk?

Answer: In the garden.",Where is the apple? 
20,bedroom,"Answer: The apple is in the kitchen.

Question: Where is the milk?

Answer: The",Where is the apple? 
21,bedroom,"Context: ""There is one who will
believe in me, however dark appearances may be."" THE PROBLEM",Where is the apple? 
22,bathroom,"Answer: In the hallway.


A: I'm not sure if this is what you're",Where is the football? 
23,bathroom,"A: I think you're looking for a solution to the following problem:


*",Where is the football? 
24,bedroom,Answer: The milk is in the bedroom.,Where is the milk? 
25,kitchen,"Answer: In the kitchen.

Question: Where is the football?

Answer: In the kitchen.",Where is the milk? 
26,kitchen,"Answer: In the kitchen.

Question: Where is the football?

Answer: In the hallway.",Where is the milk? 
27,bathroom,"Answer: In the kitchen.

## Exercise 10

The following is a list of the names",Where is the apple? 
28,bathroom,Answer: In the kitchen.,Where is the apple? 
29,kitchen,"[Footnote 24: Evelyn here refers to Dryden's ""Conquest of Granada"".]",Where is the milk? 
30,garden,Answer: In the garden.,Where is the apple? 
31,garden,"Answer: In the garden.

Question: Where is the football?

Answer: In the kitchen.",Where is the apple? 
32,kitchen,"A: The football is in the kitchen.


A: The football is in the kitchen.",Where is the football? 
33,kitchen,"Answer: In the kitchen.

The following is a list of the words used in the above text.",Where is the apple? 
34,kitchen,"Answer: The apple is in the garden.

Context: Daniel journeyed to the office. No satisfactory conclusion",Where is the apple? 
35,office,"Context: ""No less
than three fields are new-cleared, and now, this first year, they",Where is the milk? 
36,kitchen,"Answer: In the kitchen.

Question: Where is the milk?

Answer: In the hallway.",Where is the football? 
37,kitchen,"Answer: In the kitchen.


A: I'm not sure if this is what you're",Where is the football? 
38,kitchen,"Answer: The football is in the office.

I'm not sure if this is the best way to",Where is the football? 
39,bedroom,"Answer: In the kitchen.

Question: Where is the football?

Answer: In the garden.",Where is the milk? 
40,bedroom,"Answer: John got the milk there.

Question: Where is the football?

Answer: Mary picked",Where is the milk? 
41,office,"Answer: The milk is in the kitchen.

Question: Where is the football?

Answer: The",Where is the milk? 
42,office,"Answer: In the kitchen.

Question: Where is the milk?

Answer: In the kitchen.",Where is the milk? 
43,office,"Answer: The milk is in the kitchen.

Question: Where is the football?

Answer: The",Where is the milk? 
44,kitchen,"Answer: In the kitchen.

Question: Where is the milk?

Answer: In the bedroom.",Where is the apple? 
45,bedroom,"#### Solution:

Mary picked up the milk there.

#### Solution:

Mary picked up the",Where is the milk? 
46,office,Answer: It is in the office.,Where is the football? 
47,bathroom,"Answer: The football is in the office.

Question: Where is the milk?

Answer: The",Where is the football? 
48,bathroom,"Answer: In the office.

Question: Where is the milk?

Answer: In the kitchen.",Where is the football? 
49,bedroom,"Answer: In the kitchen.

Question: Where is the football?

Answer: In the office.",Where is the milk? 
50,bathroom,"Answer: In the refrigerator.

Question: Where is the refrigerator?

Answer: In the kitchen.",Where is the milk? 
51,hallway,"Answer: In the hallway.

Question: Where is the milk?

Answer: In the garden.",Where is the apple? 
52,kitchen,Answer: In the kitchen.,Where is the football? 
53,kitchen,"Answer: In the kitchen.

Question: Who has the football?

Answer: Sandra.",Where is the football? 
54,kitchen,Answer: In the kitchen.,Where is the football? 
55,bathroom,"Answer: The apple is in the hallway.

Question: Where is the milk?

Answer: The",Where is the apple? 
56,bathroom,"Answer: In the bathroom.

Question: Where is the apple?

Answer: In the hallway.",Where is the milk? 
57,kitchen,"Answer: The milk is in the kitchen.

Question: Where is the apple?

Answer: The",Where is the milk? 
58,kitchen,"Answer: The milk is in the kitchen.

Question: Where is the apple?

Answer: The",Where is the milk? 
59,bedroom,"Answer: In the kitchen.

John left the apple there.

Question: Where is the apple?",Where is the apple? 
60,garden,"A. In the bedroom

B. In the garden

C. In the office

D.",Where is the milk? 
61,garden,"Answer: In the garden.

Question: Where is the milk?

Answer: In the garden.",Where is the milk? 
62,kitchen,"Answer: In the kitchen.

Context: I was not afraid, for I knew that she was a spirit",Where is the football? 
63,kitchen,"Context: I took him to Hercules Pillars to drink, and there came Mr. John took the milk there.",Where is the football? 
64,kitchen,"Answer: In the kitchen.

4th. Daniel went to the office. John travelled to the garden.",Where is the football? 
65,kitchen,"Answer: In the hallway.

Question: Where is the kitchen?

Answer: In the bathroom.",Where is the football? 
66,kitchen,"Answer: In the hallway.

Question: Where is the football?

Answer: In the hallway.",Where is the football? 
67,bedroom,"Answer: In the kitchen.

Question: Where is the football?

Answer: In the office.",Where is the milk? 
