Unnamed: 0,target,output,question
0,football,"End of the Project Gutenberg EBook of The Love Knot,",What did Fred give to Jeff? 
1,Fred,"Answer: Bill.

Question: Who gave the football to Fred?

Answer: Bill.",Who gave the football to Jeff? 
2,football,"Answer: The football.

Question: What did Dan say to the gentleman?

Answer: ""Can",What did Fred give to Jeff? 
3,Jeff,"Answer: Fred handed the football to Jeff.

Question: What did Dan do when he saw Mike?",Who did Fred give the football to? 
4,Fred,"Answer: Jeff gave the football to Fred.

Question: Who did Jeff give the football to?",Who did Jeff give the football to? 
5,Jeff,"Answer: Jeff.

Question: Who gave the apple?

Answer: Jeff.

Question:",Who gave the apple? 
6,Bill,"Answer: The apple was given to Fred.

Question: Who gave the apple?

Answer: The",Who received the apple? 
7,apple,"Answer: The apple.





End of the Project Gutenberg EBook of The S",What did Bill give to Fred? 
8,apple,,What did Bill give to Fred? 
9,Fred,"Answer: Bill

Question: Who gave the apple to Bill?

Answer: Fred

Question:",Who received the apple? 
10,Mary,"Answer: Mary.

Question: What did Fred do with the money?

Answer: He gave it",Who received the milk? 
11,milk,"Answer: The milk.

Question: What did Fred do to the Confederates?

Answer: He",What did Mary give to Bill? 
12,Bill,"Answer: Mary passed the milk to Bill.

Question: What did Fred do?

Answer: Fred",Who received the milk? 
13,Bill,"Answer: Mary gave the milk to Bill.

Question: Who did Bill hand the milk to?",Who did Mary give the milk to? 
14,milk,"Answer: The milk.

Question: What did Bill give to Mary?

Answer: The milk.",What did Mary give to Bill? 
15,Jeff,"Answer: Fred.

Question: Who received the football?

Answer: Fred.

Question:",Who received the football? 
16,Fred,"Answer: Fred.

Question: Who passed the football to Jeff?

Answer: Sam.",Who gave the football to Jeff? 
17,football,"Answer: The football.

Question: What did Fred give to Jeff?

Answer: The football.",What did Fred give to Jeff? 
18,Jeff,"Answer: Jeff

Question: Who passed the football to Jeff?

Answer: Fred

Question:",Who received the football? 
19,Mary,"Answer: Mary.

Question: Who took the milk?

Answer: Jeff.

Question:",Who gave the milk? 
20,milk,"Answer: The milk.

Question: What did Jeff give to Mary?

Answer: The milk.",What did Jeff give to Mary? 
21,Mary,"on the days when Elsie Inglis was a student.

The first difficulty was the prejudice against women students. The",Who gave the milk to Jeff? 
22,Mary,"""He, on his secret course, with head declin'd,
  Like a deep diver down",Who gave the milk to Jeff? 
23,Bill,"Answer: Bill.

Question: Who took the milk?

Answer: Bill.

Question:",Who gave the apple to Jeff? 
24,Jeff,"Answer: The apple gave itself.

Question: Who gave the apple?

Answer: The apple gave",Who gave the apple? 
25,apple,"Answer: The apple.

Question: What did Fred give to Mark?

Answer: The apple.",What did Jeff give to Fred? 
26,Fred,"Answer: Ruby.

Question: Who received the apple?

Answer: Ruby.

Question:",Who received the apple? 
27,Jeff,"Answer: Fred passed the apple to Jeff.

Question: Who received the apple?

Answer: Fred",Who received the apple? 
28,Jeff,"End of the Project Gutenberg EBook of The Little Australian, by L.",Who gave the apple? 
29,Fred,"Answer: Fred

Question: Who did Fred pass the apple to?

Answer: Jeff

Question",Who did Jeff give the apple to? 
