Unnamed: 0,target,output,question
0,bedroom,"Answer: hallway

Question: What is the garden west of?
Answer: bedroom

Question: What is",What is the bathroom east of?
1,bedroom,"Answer: garden

Question: What is the kitchen south of?
Answer: bedroom

Question: What is",What is west of the kitchen?
2,bathroom,"Answer: bathroom

Example:
The garden is west of the bedroom. The bedroom is west of the kitchen.",What is north of the garden?
3,bedroom,"Answer: bedroom

Example:
The hallway is south of the kitchen. The hasty color went and came",What is south of the kitchen?
4,bedroom,"Answer: bedroom

Example:
The bedroom is north of the kitchen. The garden is west of the bedroom.",What is east of the kitchen?
5,garden,Answer: hallway,What is the bathroom west of?
6,kitchen,"Answer: kitchen

Question: What is west of the bedroom?
Answer: garden

Question: What is",What is east of the bedroom?
7,bathroom,"Answer: bedroom

Question: What is west of the bedroom?
Answer: garden

Question: What is",What is the garden south of?
8,kitchen,"Answer: kitchen

Example:
The garden is west of the bedroom. The bedroom is west of the kitchen",What is south of the office?
9,office,"Answer: office

Example:
The hallway is south of the kitchen. The bedroom is north of the kitchen.",What is east of the hallway?
10,garden,"Answer: hallway

Question: What is west of the garden?
Answer: bedroom

Question: What is",What is north of the office?
11,garden,"Answer: bedroom

Question: What is west of the bedroom?

Answer: garden

Question:",What is south of the kitchen?
12,bathroom,"Answer: bathroom

Example:
The garden is west of the bedroom. The bedroom is west of the kitchen.",What is east of the kitchen?
13,garden,"Answer: garden

Question: What is the bedroom south of?
Answer: hallway

Question: What is",What is west of the kitchen?
14,garden,"Answer: garden

Question: What is west of the bedroom?

Answer: garden

Question:",What is north of the bedroom?
15,garden,"Answer: garden

Example:
The garden is west of the bedroom. The bedroom is west of the kitchen.",What is east of the hallway?
16,hallway,"Answer: hallway

Question: What is west of the bathroom?

Answer: hallway

Question:",What is east of the office?
17,office,"Answer: kitchen

Example:
The kitchen is north of the bedroom. The bedroom is south of the bathroom.",What is south of the bathroom?
18,garden,"Answer: garden

Example:
The garden is west of the bedroom. The bedroom is west of the kitchen.",What is the bedroom north of?
19,garden,"Answer: garden

Example:
The garden is west of the bedroom. The bedroom is west of the kitchen.",What is the kitchen west of?
20,garden,"Answer: hallway

Question: What is the hallway south of?
Answer: kitchen

Question: What is",What is the office east of?
21,garden,"Answer: kitchen

Question: What is the bedroom south of?

Answer: hallway

Question:",What is the bathroom south of?
22,bathroom,"Answer: hallway

Question: What is west of the bedroom?
Answer: garden

Question: What is",What is north of the bedroom?
23,bathroom,"Answer: garden

Question: What is the garden west of?
Answer: bedroom

Question: What is",What is the bedroom south of?
24,hallway,"Answer: garden

Example:
The garden is west of the bedroom. The bedroom is west of the kitchen",What is the bedroom west of?
25,office,"Answer: kitchen

Example:
The kitchen is north of the bedroom. The bedroom is south of the garden.",What is east of the bathroom?
26,office,Answer: garden,What is north of the bedroom?
27,hallway,"Answer: hallway

Example:
The garden is west of the bedroom. The bedroom is west of the kitchen.",What is west of the bathroom?
28,garden,"Answer: bedroom

Example:
The bedroom is south of the kitchen. The kitchen is south of the garden.",What is the bathroom north of?
29,garden,,What is north of the office?
30,bedroom,"Answer: hallway




/Chap. LXXXIX./--_Of the Motions of the",What is east of the kitchen?
31,kitchen,"Answer: hallway




THE BATTLE OF FIVE FORKS

    The battle of Five",What is the bathroom east of?
32,bathroom,Answer: bedroom,What is north of the garden?
33,kitchen,Answer: garden,What is the bedroom west of?
34,bedroom,Answer: bedroom,What is the kitchen south of?
