,target,output,question
0,football,"Answer: Fred gave the football to Jeff.

Question: What did Fred give to Jeff?

Answer",What did Fred give to Jeff? 
1,Fred,Answer: Fred gave the football to Jeff. Question: Who gave the football to Jeff? Answer: Fred gave the football to,Who gave the football to Jeff? 
2,football,Answer: The football.,What did Fred give to Jeff? 
3,Jeff,"Answer: Jeff.

Question: Who did Jeff give the football to?

Answer: Fred.",Who did Fred give the football to? 
4,Fred,"Answer: Fred.

Question: Who did Fred give the football to?

Answer: Jeff.",Who did Jeff give the football to? 
5,Jeff,"Answer: Fred.

Question: Who gave the apple?

Answer: Fred.

Question:",Who gave the apple? 
6,Bill,"Answer: Bill. ""I'll tell you what I'll do,"" said Josiah Crabtree, after",Who received the apple? 
7,apple,Answer: Bill gave Fred an apple. Question: What did Bill give to Fred? Answer: Bill gave Fred an apple.,What did Bill give to Fred? 
8,apple,"Answer: The apple.

Question: What did Fred give to Bill?

Answer: The apple.",What did Bill give to Fred? 
9,Fred,"Answer: The apple was given to Fred.

Question: Who gave the apple to Fred?

Answer",Who received the apple? 
10,Mary,"Answer: Mary.

Question: Who received the milk?

Answer: Mary.

Question:",Who received the milk? 
11,milk,"Answer: The milk. The Orificial Surgeon is a great favorite with Osteopaths. He is a
physician who",What did Mary give to Bill? 
12,Bill,"Answer: Bill.

Question: Who was the doctor's patient?

Answer: Allan Cameron.",Who received the milk? 
13,Bill,"Answer: Bill. ""I am afraid I am not a very good nurse,"" said Mandy, ""for I am",Who did Mary give the milk to? 
14,milk,"Answer: The milk.

Question: What did Bill do with the milk?

Answer: He gave",What did Mary give to Bill? 
15,Jeff,"Answer: Fred.

Question: Who passed the football?

Answer: Jeff.

Question:",Who received the football? 
16,Fred,Answer: Fred. Question: Who gave the football to Fred? Answer: Jeff. Question: Who gave the football to Jeff,Who gave the football to Jeff? 
17,football,"Answer: The football.

Question: What did K. do with the football?

Answer: He",What did Fred give to Jeff? 
18,Jeff,"Answer: Fred

Question: Who received the football?

Answer: Fred

Question: Who received",Who received the football? 
19,Mary,"Answer: Mary

Question: Who grabbed the apple?

Answer: Bill

Question: Who dropped",Who gave the milk? 
20,milk,Answer: The milk.,What did Jeff give to Mary? 
21,Mary,"Answer: The milk was given to Jeff by Mary.




CHAPTER VI.


The ball of",Who gave the milk to Jeff? 
22,Mary,"Answer: The Duchess of Monmouth.

Question: Who was the Duchess of Monmouth?

Answer",Who gave the milk to Jeff? 
