Unnamed: 0,target,output,question
0,hallway,"Answer: The milk is in the hallway.

Question: Where is the screw driver?
Answer: The screw",Where is the milk? 
1,hallway,"Answer: The football is in the bedroom.

Question: Where is the milk?
Answer: The milk is",Where is the football? 
2,hallway,"Answer: The football is in the hallway.

Question: Where is the milk?

Answer: The",Where is the football? 
3,hallway,"Answer: The football is in the bedroom.

Question: Where is the milk?
Answer: The milk is",Where is the football? 
4,garden,Answer: The milk is in the kitchen.,Where is the milk? 
5,garden,"Answer: The milk is in the kitchen.

Example:
Alan moved to the garage. Alan got a screw",Where is the milk? 
6,bedroom,"Answer: The football is in the hallway.

Example:
Pauline went to the garden.

Example",Where is the football? 
7,bedroom,"Answer: The milk is in the garden.

Example:
Pauline went to the garden. ""I'",Where is the milk? 
8,kitchen,"Answer: The football is in the hallway.

Example:
Alan went to the kitchen. Alan got a screw",Where is the football? 
9,kitchen,"Answer: The football is in the hallway.

Example:
Charlie went to the kitchen. Charlie got a bottle",Where is the football? 
10,bedroom,Answer: The football is in the bedroom.,Where is the football? 
11,hallway,"Answer: The football is in the hallway.

Example:
Alan moved to the garage. Alan got a screw",Where is the football? 
12,garden,"Answer: The milk is in the hallway.

Example:
Alan went to the garage. Alan got a screw",Where is the milk? 
13,garden,Answer: The milk is in the garden.,Where is the milk? 
14,bathroom,"Answer: The apple is in the garden.

Question: Where is the milk?
Answer: The milk is",Where is the apple? 
15,garden,Answer: The milk is in the kitchen.,Where is the milk? 
16,garden,"Answer: The milk is in the kitchen.

Question: Where is the milk?
Answer: The milk is",Where is the milk? 
17,garden,"Answer: The milk is in the bedroom.

Question: Where is the football?
Answer: The football is",Where is the milk? 
18,kitchen,"Answer: The apple is in the kitchen.

Example:
Alan went to the kitchen. Alan got a screw",Where is the apple? 
19,kitchen,"Answer: The apple is in the hallway.

Context: ````Sic sum polhcitis captus",Where is the apple? 
20,bedroom,"Answer: The apple is in the bedroom.

Question: Where is the milk?

Answer: The",Where is the apple? 
21,bedroom,"Answer: The apple is in the office.

Question: Where is the football?

Answer: The",Where is the apple? 
22,bathroom,"Answer: The football is in the hallway.

Example:
Alan moved to the garage. Alan got a",Where is the football? 
23,bathroom,"Answer: The football is in the hallway.

Example:
The patient was a man about thirty who had suffered",Where is the football? 
24,bedroom,"Answer: The milk is in the kitchen.

Example:
The following is a case of chronic peritonitis",Where is the milk? 
25,kitchen,"Answer: The milk is in the kitchen.

Example:
Alan moved to the garage. Alan got a screw",Where is the milk? 
26,kitchen,"Answer: The milk is in the kitchen.

Question: Where is the football?
Answer: The football is",Where is the milk? 
27,bathroom,"Answer: The apple is in the garden.

Question: Where is the milk?
Answer: The milk is",Where is the apple? 
28,bathroom,"Answer: The apple is in the kitchen.








End of the Project Guten",Where is the apple? 
29,kitchen,"Answer: The milk is in the kitchen.

Example:
Alan moved to the garage. Alan got a screw",Where is the milk? 
30,garden,"Answer: The apple is in the garden.

Question: Where is the football?

Answer: The",Where is the apple? 
31,garden,"Answer: The apple is in the garden.

Example:
Alan moved to the garage. Alan got a screw",Where is the apple? 
32,kitchen,"Answer: The football is in the garden.

Question: Where is the apple?
Answer: The apple is",Where is the football? 
33,kitchen,Answer: The apple is in the garden.,Where is the apple? 
34,kitchen,"Answer: The apple is in the garden.




THE BATTLE OF THE WILDER",Where is the apple? 
35,office,Answer: The milk is in the bathroom.,Where is the milk? 
36,kitchen,"Answer: The football is in the garden.

Example:
Alan moved to the garage. Alan got a screw",Where is the football? 
