,target,output,result,question
0,football, the football,1.0,What did Jeff give to Mary? 
1,Fred,1,0.0,Who gave the apple? 
2,Fred, Fred,1.0,Who received the apple? 
3,Fred, Col.,0.0,Who received the football? 
4,Jeff, Mary,0.0,Who received the apple? 
5,Bill, Mary,0.0,Who gave the milk to Jeff? 
6,Bill, Jeff,0.0,Who did Mary give the football to? 
7,Fred, Mary,0.0,Who received the apple? 
8,Mary, Bill,0.0,Who did Fred give the apple to? 
9,apple,0,0.0,What did Mary give to Bill? 
10,apple, the apple,1.0,What did Mary give to Fred? 
11,Bill, Mary,0.0,Who gave the football? 
12,Fred, Fred,1.0,Who gave the apple? 
13,football, the football,1.0,What did Jeff give to Fred? 
14,Mary, Mary,1.0,Who gave the football to Fred? 
15,apple, apple,1.0,What did Fred give to Bill? 
16,Bill, Bill,1.0,Who did Fred give the milk to? 
17,Mary, Mary,1.0,Who did Bill give the milk to? 
18,Bill, Fred,0.0,Who gave the milk? 
19,Fred, Mary,0.0,Who gave the football to Mary? 
20,Bill, Mary,0.0,Who gave the football? 
21,milk, milk,1.0,What did Jeff give to Bill? 
22,Bill, Bill,1.0,Who gave the milk to Fred? 
23,Mary,1,0.0,Who gave the milk? 
24,Fred, Fred,1.0,Who gave the apple to Mary? 
25,milk, milk,1.0,What did Fred give to Mary? 
26,football, the football,1.0,What did Mary give to Bill? 
27,Mary, Mary,1.0,Who gave the milk to Fred? 
28,Fred, Mary,0.0,Who received the milk? 
29,apple, the apple,1.0,What did Mary give to Bill? 
30,Fred, Fred,1.0,Who gave the apple? 
31,Mary, Mary,1.0,Who gave the apple to Bill? 
32,apple, the apple,1.0,What did Fred give to Mary? 
33,Mary, Jeff,0.0,Who gave the milk to Jeff? 
34,apple, apple,1.0,What did Jeff give to Mary? 
35,Mary, Mary,1.0,Who did Bill give the football to? 
36,football, the football,1.0,What did Mary give to Jeff? 
37,Fred, Jeff,0.0,Who gave the apple to Bill? 
38,apple, apple,1.0,What did Fred give to Bill? 
39,Bill, Fred,0.0,Who received the apple? 
40,Mary, Mary,1.0,Who gave the apple? 
41,Mary, Mary,1.0,Who gave the football? 
42,Mary, Mary,1.0,Who did Bill give the apple to? 
43,Jeff, Jeff,1.0,Who gave the apple to Fred? 
44,apple,1,0.0,What did Bill give to Mary? 
45,Fred, Mary,0.0,Who received the apple? 
46,apple, apple,1.0,What did Mary give to Jeff? 
47,Jeff, Jeff,1.0,Who gave the apple? 
48,Fred, Fred,1.0,Who gave the milk? 
49,Jeff, Jeff,1.0,Who received the milk? 
50,Jeff, Bill,0.0,Who received the apple? 
51,Jeff, Jeff,1.0,Who did Mary give the apple to? 
52,Mary, Mary,1.0,Who received the apple? 
53,Bill, Bill,1.0,Who did Fred give the apple to? 
54,football, the football,1.0,What did Mary give to Fred? 
55,milk, milk,1.0,What did Mary give to Jeff? 
56,Mary, Jeff,0.0,Who received the football? 
57,Mary, Mary,1.0,Who gave the football? 
58,Mary, Mary,1.0,Who gave the apple? 
59,apple, the apple,1.0,What did Mary give to Bill? 
60,Bill, Bill,1.0,Who gave the apple to Fred? 
61,apple, the apple,1.0,What did Mary give to Jeff? 
62,Mary, Mary,1.0,Who did Bill give the football to? 
63,Mary, Mary,1.0,Who gave the apple? 
64,Jeff, Jeff,1.0,Who gave the apple to Fred? 
65,football, the football,1.0,What did Jeff give to Fred? 
66,apple, apple,1.0,What did Fred give to Bill? 
67,milk, milk,1.0,What did Jeff give to Fred? 
68,Fred, Fred,1.0,Who did Mary give the football to? 
69,Fred,1,0.0,Who received the football? 
70,Mary, Mary,1.0,Who received the apple? 
71,football,,0.0,What did Fred give to Mary? 
72,football, the apple,0.0,What did Bill give to Fred? 
73,football, the football,1.0,What did Fred give to Jeff? 
74,apple, the apple,1.0,What did Mary give to Fred? 
75,Mary, Mary,1.0,Who did Bill give the football to? 
76,Fred, Mary,0.0,Who gave the apple? 
77,apple, apple,1.0,What did Fred give to Bill? 
78,apple, the apple,1.0,What did Bill give to Mary? 
79,Bill, Fred,0.0,Who gave the apple to Mary? 
80,Fred, Fred,1.0,Who gave the apple to Bill? 
81,Jeff, Jeff,1.0,Who gave the milk? 
82,Fred, Fred,1.0,Who gave the apple to Bill? 
83,Bill, Bill,1.0,Who did Jeff give the apple to? 
84,Bill, Fred,0.0,Who gave the apple? 
85,Jeff,12.41 fluidounces,0.0,Who received the milk? 
86,Fred,12.41 fluidounces,0.0,Who received the milk? 
87,Fred, Mary,0.0,Who gave the apple? 
88,Mary, Mary,1.0,Who did Jeff give the football to? 
89,Bill, Mary,0.0,Who gave the apple to Fred? 
90,Bill, Bill,1.0,Who gave the apple to Jeff? 
91,milk, the apple,0.0,What did Mary give to Fred? 
92,football, football,1.0,What did Jeff give to Fred? 
93,Bill, Jeff,0.0,Who gave the football? 
94,Mary, Mary,1.0,Who gave the milk? 
95,Bill, Bill,1.0,Who did Mary give the apple to? 
96,apple, the apple,1.0,What did Bill give to Jeff? 
97,apple, the apple,1.0,What did Bill give to Fred? 
98,Fred, Bill,0.0,Who received the football? 
99,Mary, Mary,1.0,Who received the football? 
