,target,output,result,question
0,kitchen, Before the garden the football was in the bedroom.,0.0,Where was the football before the garden? 
1,bathroom, Before the $location_1$ the $item$ was in the $location_2$.,0.0,Where was the apple before the kitchen? 
2,kitchen, Before the garden the apple was in the bathroom.,0.0,Where was the apple before the garden? 
3,garden, Before the bedroom the apple was in the garden.,1.0,Where was the apple before the bedroom? 
4,kitchen, Before the bathroom the football was in the garden.,0.0,Where was the football before the bathroom? 
5,office, Before the hallway the football was in the front door.,0.0,Where was the football before the hallway? 
6,garden, Before the $location_1$ the $item$ was in the $location_2$.,0.0,Where was the apple before the bathroom? 
7,office, Before the $location_1$ the $item$ was in the $location_2$.,0.0,Where was the milk before the bathroom? 
8,hallway, Before the $location_1$ the $item$ was in the $location_2$.,0.0,Where was the apple before the bathroom? 
9,kitchen, Before the garden the milk was in the bedroom.,0.0,Where was the milk before the garden? 
10,kitchen, Before the bedroom the milk was in the kitchen.,1.0,Where was the milk before the bedroom? 
11,garden, Before the $location_1$ the $item$ was in the $location_2$.,0.0,Where was the football before the hallway? 
12,hallway, Before the $location_1$ the $item$ was in the $location_2$.,0.0,Where was the milk before the kitchen? 
13,bedroom, Before the $location_1$ the $item$ was in the $location_2$.,0.0,Where was the apple before the bathroom? 
14,bedroom, Before the $location_1$ the $item$ was in the $location_2$.,0.0,Where was the apple before the bathroom? 
15,kitchen, Before the office the milk was in the bedroom.,0.0,Where was the milk before the office? 
16,bedroom, Before the kitchen the milk was in the garden.,0.0,Where was the milk before the kitchen? 
17,bathroom, Before the $location_1$ the $item$ was in the $location_2$.,0.0,Where was the football before the kitchen? 
18,garden, Before the office the milk was in the bedroom.,0.0,Where was the milk before the office? 
19,bathroom, Before the bedroom the football was in the garden.,0.0,Where was the football before the bedroom? 
20,kitchen, Before the office the milk was in the basement.,0.0,Where was the milk before the office? 
21,kitchen, Before the $location_1$ the $item$ was in the $location_2$.,0.0,Where was the apple before the garden? 
22,bedroom, Before the office the milk was in the kitchen.,0.0,Where was the milk before the office? 
23,hallway, Before the bedroom the apple was in the garden.,0.0,Where was the apple before the bedroom? 
24,bedroom, Before the $location_1$ the $item$ was in the $location_2$.,0.0,Where was the apple before the kitchen? 
25,bathroom, Before the hallway the apple was in the living-room.,0.0,Where was the apple before the hallway? 
26,bathroom, Before the office the milk was in the kitchen.,0.0,Where was the milk before the office? 
27,office, Before the bedroom the football was in the garden.,0.0,Where was the football before the bedroom? 
28,bedroom, Before the hallway the football was in the garden.,0.0,Where was the football before the hallway? 
29,kitchen, Before the garden the football was in the garden.,0.0,Where was the apple before the bedroom? 
30,hallway, Before the bathroom the football was in the garden.,0.0,Where was the football before the bathroom? 
31,kitchen, Before the garden the milk was in the bedroom.,0.0,Where was the milk before the garden? 
