,target,output,result,question
0,kitchen," I dropped it.

[_Looking at the football._] You dropped it?

[_Looking at the",0.0,Where is the football? 
1,garden, The milk is on the table.,0.0,Where is the milk? 
2,bedroom, There is the apple.,0.0,Where is the apple? 
3,bedroom, There is an apple on the table.,0.0,Where is the apple? 
4,kitchen, There.,0.0,Where is the apple? 
5,hallway, The apple is gone.,0.0,Where is the apple? 
6,kitchen, John put down the milk there.,0.0,Where is the milk? 
7,garden, The milk is in the fridge.,0.0,Where is the milk? 
8,bedroom, The milk is in the fridge.,0.0,Where is the milk? 
9,bathroom, The milk is in the fridge.,0.0,Where is the milk? 
10,bathroom, It's on the table.,0.0,Where is the football? 
11,bedroom, The milk is in the pail.,0.0,Where is the milk? 
12,bathroom, The apple is there.,0.0,Where is the apple? 
13,kitchen, Mary has the football.,0.0,Where is the football? 
14,bedroom, The apple is on the tree.,0.0,Where is the apple? 
15,garden, Daniel discarded the apple.,0.0,Where is the apple? 
16,bedroom," Slaughter asks.

Slaughter, who started the St. A., Dumfries, Scotland",0.0,Where is the football? 
17,bedroom," The apple is in the basket.

The apple is in the basket.

The apple is in the",0.0,Where is the apple? 
18,garden," The milk is in the pitcher.

Where is the oat-meal?  The oat-meal",0.0,Where is the milk? 
19,garden, The milk is in the pail.  Where is the pail?  The pail,0.0,Where is the milk? 
20,office, Where is the apple?,0.0,Where is the apple? 
21,bedroom, The milk is there.,0.0,Where is the milk? 
22,garden, The milk is at the Hoffman House.,0.0,Where is the milk? 
23,bathroom, It is there.,0.0,Where is the milk? 
24,office, The apple is there.,0.0,Where is the apple? 
25,garden, Mary left the football under the beam that lay between the bulls.,0.0,Where is the football? 
26,garden, There is a football there.,0.0,Where is the football? 
27,bedroom, I don't know.,0.0,Where is the apple? 
28,hallway, Where is the apple?,0.0,Where is the apple? 
29,hallway, The apple is in the basket.,0.0,Where is the apple? 
30,hallway, The apple is on the ground.,0.0,Where is the apple? 
31,garden, The football is there.,0.0,Where is the football? 
32,hallway, The apple is on the table.,0.0,Where is the apple? 
33,kitchen, Mary left the football there.,0.0,Where is the football? 
34,hallway," I want some milk.

I want some milk.

I want some milk.

I want some milk",0.0,Where is the milk? 
35,kitchen, I can't see it.,0.0,Where is the apple? 
36,office, He eats his bread and milk very well now.,0.0,Where is the milk? 
37,hallway, I don't know.,0.0,Where is the milk? 
38,bathroom, Mary left the milk.,0.0,Where is the milk? 
39,bathroom, Where is the milk?  Where is the milk?  Where is the milk?  Where is,0.0,Where is the milk? 
40,bathroom, The football is there.,0.0,Where is the football? 
41,hallway, I don't know.,0.0,Where is the football? 
42,garden, The apple is on the table.,0.0,Where is the apple? 
43,bedroom, I don't know.  I don't know.  I don't know.  I,0.0,Where is the apple? 
44,kitchen, The milk is there.,0.0,Where is the milk? 
45,bedroom," The milk is in the
pan.

The milkman is a man who sells milk.",0.0,Where is the milk? 
46,hallway, It is in the vicinity of the tree.,0.0,Where is the apple? 
47,garden," I want to see the milk.

I want to see the
milk.

I want to",0.0,Where is the milk? 
48,kitchen, It is on the floor of the dome.,0.0,Where is the football? 
49,bathroom, The football is at the park.,0.0,Where is the football? 
50,garden, The milk is in the cities.,0.0,Where is the milk? 
