,target,output,result,question
0,hallway, A.,0.0,Where is the milk? 
1,hallway, J.,0.0,Where is the football? 
2,hallway, Mary put the football there.,0.0,Where is the football? 
3,hallway, John put it down.,0.0,Where is the football? 
4,garden, The milk is in the garden.,1.0,Where is the milk? 
5,garden, Sandra put down the milk there.,0.0,Where is the milk? 
6,bedroom, Daniel took the football there.,0.0,Where is the football? 
7,bedroom, It is there.,0.0,Where is the milk? 
8,kitchen, Mary moved the football to the office.,0.0,Where is the football? 
9,kitchen, There.,0.0,Where is the football? 
10,bedroom, There is only one position of the feet in the Boston--the 4th.,0.0,Where is the football? 
11,hallway, The football is in the garden.,0.0,Where is the football? 
12,garden, The milk is in the kitchen.,0.0,Where is the milk? 
13,garden, The milk is in the kitchen.,0.0,Where is the milk? 
14,bathroom, The apple is on the table.,0.0,Where is the apple? 
15,garden, Mary grabbed the milk there.,0.0,Where is the milk? 
16,garden, There is the milk.,0.0,Where is the milk? 
17,garden, Mary asked.,0.0,Where is the milk? 
18,kitchen, Mary went back to the office.,0.0,Where is the apple? 
19,kitchen, The apple is in the garden.,0.0,Where is the apple? 
20,bedroom, The apple is on the table.,0.0,Where is the apple? 
21,bedroom, Mary ate the apple.,0.0,Where is the apple? 
22,bathroom, Daniel put down the football.,0.0,Where is the football? 
23,bathroom, Daniel put down the football.,0.0,Where is the football? 
24,bedroom, The milk is in the kitchen.,0.0,Where is the milk? 
25,kitchen, John grabbed the milk there.,0.0,Where is the milk? 
26,kitchen, Daniel moved to the kitchen.,1.0,Where is the milk? 
27,bathroom, There,0.0,Where is the apple? 
28,bathroom, There.,0.0,Where is the apple? 
29,kitchen, The milk is in the kitchen.,1.0,Where is the milk? 
30,garden, The apple is on the floor.,0.0,Where is the apple? 
31,garden, The apple is on the ground.,0.0,Where is the apple? 
32,kitchen, Behind the city.,0.0,Where is the football? 
33,kitchen, The apple is on the table.,0.0,Where is the apple? 
34,kitchen, There.,0.0,Where is the apple? 
35,office, Mary went to the hallway.,0.0,Where is the milk? 
36,kitchen, John took the football there.,0.0,Where is the football? 
37,kitchen, John took the football there.,0.0,Where is the football? 
38,kitchen, John left the football.,0.0,Where is the football? 
39,bedroom, The milk is in the kitchen.,0.0,Where is the milk? 
40,bedroom, The milk is in the kitchen.,0.0,Where is the milk? 
41,office, John got the milk there.,0.0,Where is the milk? 
42,office, The milk is in the fridge.,0.0,Where is the milk? 
43,office, The milk is in the kitchen.,0.0,Where is the milk? 
44,kitchen, The apple is on the table.,0.0,Where is the apple? 
45,bedroom, Mary picked up the milk there.,0.0,Where is the milk? 
46,office, I put it there.,0.0,Where is the football? 
47,bathroom," I have got it here.

I have got it here.

I have got it here.

I",0.0,Where is the football? 
48,bathroom, The football is there.,0.0,Where is the football? 
49,bedroom, Mary picked it up there.,0.0,Where is the milk? 
50,bathroom," The milk is there, in the can,
    Just where the syrup had been found,
   ",0.0,Where is the milk? 
51,hallway, John grabbed the apple there.,0.0,Where is the apple? 
52,kitchen, John journeyed to the garden.,0.0,Where is the football? 
53,kitchen, The football is there.,0.0,Where is the football? 
54,kitchen, Sandra got the football there.,0.0,Where is the football? 
55,bathroom, John discarded the apple.,0.0,Where is the apple? 
56,bathroom, The milk is on the table.,0.0,Where is the milk? 
57,kitchen, The milk is there.,0.0,Where is the milk? 
58,kitchen, The milk is at the office.,0.0,Where is the milk? 
59,bedroom, The apple is there.,0.0,Where is the apple? 
60,garden," John had taken it to Tom.

Where is Tom?  He is wounded.

Where is John",0.0,Where is the milk? 
61,garden, Daniel drank it.,0.0,Where is the milk? 
62,kitchen, The football is in the garden.,0.0,Where is the football? 
63,kitchen, It is on the ground.,0.0,Where is the football? 
64,kitchen, John picked up the football there.,0.0,Where is the football? 
65,kitchen," I'll tell you where it is.

It's in the hands of the Rooie.

You",0.0,Where is the football? 
66,kitchen, I don't know.  I didn't see it.,0.0,Where is the football? 
67,bedroom, M: Where is the milk?,0.0,Where is the milk? 
68,bedroom, The milk is in the kitchen.,0.0,Where is the milk? 
69,bedroom, The football is on the floor.,0.0,Where is the football? 
70,garden, The apple is on the table.,0.0,Where is the apple? 
71,garden, The apple is on the table.,0.0,Where is the apple? 
72,bathroom, The apple is in the garden.,0.0,Where is the apple? 
73,bathroom, The apple is on the table.,0.0,Where is the apple? 
74,bathroom, The apple is there.,0.0,Where is the apple? 
75,office, The apple is in the kitchen.,0.0,Where is the apple? 
76,hallway, The milk is in the fridge.,0.0,Where is the milk? 
77,hallway, Mary left the milk there.,0.0,Where is the milk? 
78,hallway, The milk is there.,0.0,Where is the milk? 
79,hallway, The milk is there.,0.0,Where is the milk? 
80,bathroom," I don't know.  I'll look for it.

He went to the garden and
",0.0,Where is the football? 
81,bathroom, They have taken it away.,0.0,Where is the football? 
82,kitchen, The football is in the garden.,0.0,Where is the football? 
83,kitchen, The football is in the garden.,0.0,Where is the football? 
84,kitchen, The football is on the floor.,0.0,Where is the football? 
85,bathroom, John dropped the milk there.,0.0,Where is the milk? 
86,kitchen, I don't know.  I didn't see it fall.,0.0,Where is the apple? 
87,bathroom, The milk is in the kitchen.,0.0,Where is the milk? 
88,bedroom, A.,0.0,Where is the football? 
89,kitchen, The apple is on the table.,0.0,Where is the apple? 
90,kitchen, Mary dropped the milk there.,0.0,Where is the milk? 
91,kitchen, Mary dropped the milk there.,0.0,Where is the milk? 
92,kitchen, There.,0.0,Where is the milk? 
93,kitchen, Mary left the milk there.,0.0,Where is the milk? 
94,kitchen, Mary left the milk there.,0.0,Where is the milk? 
95,bathroom, The football is there.,0.0,Where is the football? 
96,bathroom, I have it here.,0.0,Where is the football? 
97,bathroom, The football is on the ground.,0.0,Where is the football? 
98,bathroom, There is the football there.,0.0,Where is the football? 
99,hallway, The milk is in the kitchen.,0.0,Where is the milk? 
100,office, The milk is in the kitchen.,0.0,Where is the milk? 
101,office, The milk is in the office.,1.0,Where is the milk? 
102,kitchen, Mary put the milk there.,0.0,Where is the milk? 
103,kitchen, The milk is in the kitchen.,1.0,Where is the milk? 
104,bedroom, John left the football.,0.0,Where is the football? 
105,bathroom, The football is in the room.,0.0,Where is the football? 
106,bedroom, The milk is in the kitchen.,0.0,Where is the milk? 
107,bathroom, The apple is on the table.,0.0,Where is the apple? 
108,bedroom, The milk is in the kitchen.,0.0,Where is the milk? 
109,bathroom, Mary discarded the apple there.,0.0,Where is the apple? 
110,bedroom, John dropped the football.,0.0,Where is the football? 
111,bedroom, The football is in the garden.,0.0,Where is the football? 
112,bedroom, There,0.0,Where is the football? 
113,bedroom, The football is there.,0.0,Where is the football? 
114,office, The apple is in the garden.,0.0,Where is the apple? 
115,office, The football is at the town.,0.0,Where is the football? 
116,hallway, He kicked it over the fence.,0.0,Where is the football? 
117,office, The milk is at the store.,0.0,Where is the milk? 
118,bedroom, The milk is at the store.,0.0,Where is the milk? 
119,bathroom, The apple is on the table.,0.0,Where is the apple? 
120,hallway, Miguel is the apple.,0.0,Where is the apple? 
121,bedroom, Mary grabbed the milk there.,0.0,Where is the milk? 
122,garden, John discarded the apple.,0.0,Where is the apple? 
123,garden, The football is on the ground.,0.0,Where is the football? 
124,garden, The football is there.,0.0,Where is the football? 
125,kitchen, Mary put it down.,0.0,Where is the football? 
126,kitchen, Mary put down the football.,0.0,Where is the football? 
127,kitchen, Mary put down the football.,0.0,Where is the football? 
128,bedroom, Mary put down the football.,0.0,Where is the football? 
129,bedroom, The football is there.,0.0,Where is the football? 
130,kitchen, The football is there.,0.0,Where is the football? 
131,kitchen, The football is there.,0.0,Where is the football? 
132,kitchen, I need it for my coffee.”,0.0,Where is the milk? 
133,hallway, The football is there.,0.0,Where is the football? 
134,hallway, The football is there.,0.0,Where is the football? 
135,office, Mary put down the football.,0.0,Where is the football? 
136,office, The milk is in the office.,1.0,Where is the milk? 
137,office, Mary took the football there.,0.0,Where is the football? 
138,kitchen, The football is there.,0.0,Where is the football? 
139,bathroom, The football is there.,0.0,Where is the football? 
140,bedroom, Daniel dropped the football.,0.0,Where is the football? 
141,bedroom, Daniel dropped the football.,0.0,Where is the football? 
142,bedroom, The football is on the ground.,0.0,Where is the football? 
143,bedroom, The football is on the ground.,0.0,Where is the football? 
144,garden, There,0.0,Where is the football? 
145,kitchen, The apple is in the tree.,0.0,Where is the apple? 
146,bathroom," Daniel asked.

Mary took the milk there.",0.0,Where is the milk? 
147,garden, Mary left the milk.,0.0,Where is the milk? 
148,kitchen, The apple is on the table.,0.0,Where is the apple? 
149,kitchen, The apple is on the table.,0.0,Where is the apple? 
150,bedroom, The apple is in the basket.,0.0,Where is the apple? 
151,bedroom, The apple is on the table.,0.0,Where is the apple? 
152,bedroom, The apple is on the table.,0.0,Where is the apple? 
153,kitchen, Mary took the football there.,0.0,Where is the football? 
154,kitchen, Mary took the football there.,0.0,Where is the football? 
155,hallway, Sandra put down the football.,0.0,Where is the football? 
156,hallway, Sandra put down the football.,0.0,Where is the football? 
157,bedroom, The milk is in the kitchen.,0.0,Where is the milk? 
158,bedroom, The milk is in the kitchen.,0.0,Where is the milk? 
159,hallway, The football is on the floor.,0.0,Where is the football? 
