,target,output,result,question
0,Jeff,1,0.0,Who did Fred give the football to? 
1,Bill, Bill,1.0,Who did Mary give the milk to? 
2,Jeff, Jeff,1.0,Who did Fred give the milk to? 
3,milk,1,0.0,What did Mary give to Fred? 
4,Fred, Mary,0.0,Who received the milk? 
5,apple, the apple,1.0,What did Mary give to Jeff? 
6,apple, the apple,1.0,What did Mary give to Jeff? 
7,apple,1,0.0,What did Fred give to Bill? 
8,Jeff, Jeff,1.0,Who gave the milk to Fred? 
9,Fred, Fred,1.0,Who gave the apple to Mary? 
10,Jeff, Jeff,1.0,Who received the football? 
11,Jeff, Jeff,1.0,Who did Mary give the football to? 
12,milk, milk,1.0,What did Mary give to Bill? 
13,Bill, Bill,1.0,Who did Mary give the milk to? 
14,milk, milk,1.0,What did Mary give to Bill? 
15,apple, apple,1.0,What did Fred give to Mary? 
16,Mary, Jeff,0.0,Who received the football? 
17,apple, apple,1.0,What did Fred give to Bill? 
18,Jeff, Mary,0.0,Who received the apple? 
19,Bill, Bill,1.0,Who did Mary give the football to? 
20,Fred, Bill,0.0,Who gave the milk to Jeff? 
21,Mary, Mary,1.0,Who received the milk? 
22,Mary,1,0.0,Who gave the milk? 
23,milk, milk,1.0,What did Bill give to Mary? 
24,milk, milk,1.0,What did Jeff give to Bill? 
25,football, football,1.0,What did Jeff give to Fred? 
26,Mary, Jeff,0.0,Who gave the football? 
27,Mary, Mary,1.0,Who gave the apple to Bill? 
28,Fred, Mary,0.0,Who received the apple? 
29,Mary, Mary,1.0,Who gave the milk to Bill? 
30,milk, milk,1.0,What did Mary give to Jeff? 
31,Mary, Mary,1.0,Who gave the milk? 
32,Fred, Mary,0.0,Who gave the apple to Mary? 
33,football, the apple,0.0,What did Bill give to Mary? 
34,apple, apple,1.0,What did Fred give to Mary? 
35,apple, apple,1.0,What did Fred give to Bill? 
36,Jeff, Mary,0.0,Who gave the milk? 
37,Bill, Bill,1.0,Who did Mary give the apple to? 
38,Fred, Mary,0.0,Who gave the football to Mary? 
39,milk, apple,0.0,What did Mary give to Fred? 
40,milk, milk,1.0,What did Fred give to Mary? 
41,Mary, Mary,1.0,Who gave the football? 
42,Fred, Jeff,0.0,Who received the apple? 
43,Mary, Mary,1.0,Who gave the apple? 
44,Fred, Mary,0.0,Who gave the apple to Bill? 
45,apple, apple,1.0,What did Fred give to Bill? 
46,Fred, Fred,1.0,Who received the apple? 
47,Fred, Jeff,0.0,Who received the milk? 
48,Mary, Bill,0.0,Who received the football? 
49,apple, milk,0.0,What did Bill give to Mary? 
50,apple, apple,1.0,What did Mary give to Fred? 
51,apple, apple,1.0,What did Fred give to Bill? 
52,apple, apple,1.0,What did Fred give to Bill? 
53,milk, milk,1.0,What did Jeff give to Fred? 
54,Mary, Mary,1.0,Who received the milk? 
55,Jeff, Jeff,1.0,Who gave the football? 
56,Bill, Bill,1.0,Who gave the football to Fred? 
57,Mary, Mary,1.0,Who received the football? 
58,Mary, Mary,1.0,Who gave the football to Fred? 
59,Jeff,1,0.0,Who did Bill give the milk to? 
60,Fred, Jeff,0.0,Who gave the football to Jeff? 
61,Jeff, Jeff,1.0,Who gave the apple to Fred? 
62,Bill, Bill,1.0,Who received the milk? 
63,Jeff, Fred,0.0,Who did Bill give the apple to? 
64,milk, milk,1.0,What did Mary give to Fred? 
65,Jeff, Jeff,1.0,Who received the apple? 
66,Jeff, Jeff,1.0,Who gave the apple to Bill? 
67,apple, apple,1.0,What did Mary give to Fred? 
68,Bill,1,0.0,Who did Fred give the apple to? 
69,Jeff, Jeff,1.0,Who gave the apple? 
70,Bill, Bill,1.0,Who gave the milk to Fred? 
71,Bill, Bill,1.0,Who did Jeff give the football to? 
72,Fred, Fred,1.0,Who gave the milk? 
73,apple, apple,1.0,What did Mary give to Bill? 
74,Jeff, Jeff,1.0,Who received the milk? 
75,Bill, Bill,1.0,Who did Fred give the milk to? 
76,Bill, Mary,0.0,Who gave the apple? 
77,Jeff, Jeff,1.0,Who gave the apple? 
78,Fred, Fred,1.0,Who received the football? 
79,football, the football,1.0,What did Mary give to Fred? 
80,Mary, Mary,1.0,Who did Jeff give the apple to? 
81,football, the football,1.0,What did Jeff give to Mary? 
82,Mary, Jeff,0.0,Who received the milk? 
83,milk, milk,1.0,What did Mary give to Fred? 
84,Mary, Mary,1.0,Who gave the milk? 
85,Bill, Bill,1.0,Who gave the milk to Mary? 
86,Mary, Mary,1.0,Who received the football? 
87,Fred, Mary,0.0,Who gave the apple? 
88,milk, milk,1.0,What did Fred give to Bill? 
89,Fred, Fred,1.0,Who did Bill give the milk to? 
90,Jeff, Mary,0.0,Who gave the apple? 
91,Fred, Fred,1.0,Who did Bill give the apple to? 
92,Bill, Jeff,0.0,Who gave the football to Jeff? 
93,Bill, Bill,1.0,Who did Jeff give the apple to? 
94,milk, milk,1.0,What did Mary give to Bill? 
95,Mary, Mary,1.0,Who did Bill give the milk to? 
96,Mary, Mary,1.0,Who gave the milk to Jeff? 
97,Fred, Mary,0.0,Who gave the milk? 
98,Bill, Jeff,0.0,Who received the milk? 
99,Fred, Bill,0.0,Who gave the football? 
