,target,output,result,question
0,football, Fred gave the football to Jeff.,1.0,What did Fred give to Jeff? 
1,Fred, Fred,1.0,Who gave the football to Jeff? 
2,football, The football,1.0,What did Fred give to Jeff? 
3,Jeff, Jeff,1.0,Who did Fred give the football to? 
4,Fred, Jeff gave the football to Fred.,1.0,Who did Jeff give the football to? 
5,Jeff, Jeff,1.0,Who gave the apple? 
6,Bill, Fred,0.0,Who received the apple? 
7,apple, The apple,1.0,What did Bill give to Fred? 
8,apple, The apple,1.0,What did Bill give to Fred? 
9,Fred, Fred,1.0,Who received the apple? 
10,Mary, Mary received the milk.,1.0,Who received the milk? 
11,milk, Mary gave the milk to Bill.,1.0,What did Mary give to Bill? 
12,Bill, Mary,0.0,Who received the milk? 
13,Bill, Bill,1.0,Who did Mary give the milk to? 
14,milk, Mary gave the milk to Bill.,1.0,What did Mary give to Bill? 
15,Jeff, Jeff,1.0,Who received the football? 
16,Fred, Jeff,0.0,Who gave the football to Jeff? 
17,football, Fred gave the football to Jeff.,1.0,What did Fred give to Jeff? 
18,Jeff, Jeff,1.0,Who received the football? 
19,Mary, Mary,1.0,Who gave the milk? 
20,milk, Jeff gave the milk to Mary.,1.0,What did Jeff give to Mary? 
21,Mary, Mary,1.0,Who gave the milk to Jeff? 
22,Mary, Mary,1.0,Who gave the milk to Jeff? 
23,Bill, Bill,1.0,Who gave the apple to Jeff? 
24,Jeff, Jeff,1.0,Who gave the apple? 
25,apple, Jeff gave the milk to Fred.,0.0,What did Jeff give to Fred? 
26,Fred, Jeff,0.0,Who received the apple? 
27,Jeff, Fred,0.0,Who received the apple? 
28,Jeff, Jeff,1.0,Who gave the apple? 
29,Fred, Fred,1.0,Who did Jeff give the apple to? 
30,Mary, Mary,1.0,Who gave the milk? 
31,Bill, Bill,1.0,Who gave the milk? 
32,Bill, Bill,1.0,Who gave the milk to Mary? 
33,milk, Bill gave the milk to Mary.,1.0,What did Bill give to Mary? 
34,apple, The milk,0.0,What did Mary give to Fred? 
35,Jeff, Sorry. I cannot find the answer based on the context.,0.0,Who did Fred give the milk to? 
36,Jeff, Jeff,1.0,Who did Fred give the milk to? 
37,milk, Jeff gave the milk to Mary.,1.0,What did Jeff give to Mary? 
38,milk, Jeff gave the milk to Mary.,1.0,What did Jeff give to Mary? 
39,Fred, Bill,0.0,Who gave the apple? 
40,Mary, Jeff,0.0,Who gave the milk? 
41,milk, Mary gave the milk to Fred.,1.0,What did Mary give to Fred? 
42,Jeff, Jeff,1.0,Who gave the milk? 
43,Fred,1,0.0,Who received the milk? 
44,Mary, Jeff,0.0,Who gave the milk? 
45,Bill, Bill,1.0,Who did Mary give the milk to? 
46,milk, Mary gave the milk to Bill.,1.0,What did Mary give to Bill? 
47,Mary, Mary,1.0,Who gave the milk? 
48,Mary, Mary,1.0,Who did Bill give the milk to? 
49,Bill, Bill,1.0,Who gave the milk to Mary? 
50,Mary, Mary,1.0,Who gave the apple to Fred? 
51,Fred, Mary gave the apple to Fred.,1.0,Who gave the apple to Mary? 
52,apple, The apple,1.0,What did Fred give to Mary? 
53,apple, Mary gave the apple to Jeff.,1.0,What did Mary give to Jeff? 
54,apple, Jeff grabbed the apple there.,1.0,What did Mary give to Jeff? 
55,Fred, Fred,1.0,Who received the football? 
56,football, Bill gave the football to Fred.,1.0,What did Bill give to Fred? 
57,Bill, Bill,1.0,Who gave the apple? 
58,Bill, Mary gave the apple to Bill.,1.0,Who did Mary give the apple to? 
59,Jeff, Mary,0.0,Who did Bill give the apple to? 
60,Jeff, Jeff,1.0,Who did Bill give the apple to? 
61,Bill, Bill,1.0,Who gave the apple to Jeff? 
62,Jeff, Jeff,1.0,Who gave the apple to Bill? 
63,Bill, Jeff,0.0,Who received the apple? 
64,Mary, Mary,1.0,Who gave the milk? 
65,Mary, Mary,1.0,Who gave the apple to Bill? 
66,Bill, Mary gave the apple to Bill.,1.0,Who did Mary give the apple to? 
67,Mary, Mary,1.0,Who did Bill give the apple to? 
68,apple, The apple,1.0,What did Bill give to Mary? 
69,Mary, Mary,1.0,Who did Bill give the apple to? 
70,apple, Fred gave Jeff an apple.,1.0,What did Fred give to Jeff? 
71,Jeff, Jeff,1.0,Who gave the football? 
72,Jeff, Jeff,1.0,Who gave the football? 
73,apple, Fred gave the apple to Bill.,1.0,What did Fred give to Bill? 
74,apple, Fred gave the apple to Bill.,1.0,What did Fred give to Bill? 
75,Fred, Fred,1.0,Who gave the football? 
76,Fred, Fred,1.0,Who gave the football? 
77,Mary, Mary,1.0,Who received the football? 
78,Mary, Mary,1.0,Who gave the football? 
79,football, Mary gave the football to Fred.,1.0,What did Mary give to Fred? 
80,milk, Jeff went back to the garden.,0.0,What did Fred give to Jeff? 
81,milk, Milk,1.0,What did Fred give to Jeff? 
82,Fred, Jeff gave the milk to Fred.,1.0,Who did Jeff give the milk to? 
83,milk, Jeff gave the milk to Fred.,1.0,What did Jeff give to Fred? 
84,Jeff, Jeff,1.0,Who gave the milk to Fred? 
85,Fred, Mary gave the apple to Fred.,1.0,Who did Mary give the apple to? 
86,Fred, Fred,1.0,Who gave the apple to Mary? 
87,Mary, Fred,0.0,Who gave the apple? 
88,Jeff, Mary gave the apple to Jeff.,1.0,Who did Mary give the apple to? 
89,Jeff, Mary,0.0,Who received the football? 
90,football, Jeff,0.0,What did Mary give to Jeff? 
91,Mary, Jeff,0.0,Who received the football? 
92,Mary, Mary,1.0,Who gave the football? 
93,Jeff, Jeff,1.0,Who did Mary give the football to? 
94,Bill, Bill,1.0,Who did Fred give the apple to? 
95,Jeff, Mary gave the apple to Jeff.,1.0,Who did Mary give the apple to? 
96,Mary, Mary,1.0,Who gave the apple to Jeff? 
97,apple, Jeff gave the apple to Fred.,1.0,What did Jeff give to Fred? 
98,Fred, Mary,0.0,Who did Jeff give the apple to? 
99,milk, Bill gave the milk to Mary.,1.0,What did Bill give to Mary? 
100,Bill, Bill,1.0,Who did Mary give the apple to? 
101,Bill, Bill,1.0,Who received the apple? 
102,Fred, Mary,0.0,Who gave the apple? 
103,Bill, Bill,1.0,Who gave the apple? 
104,apple, Mary gave the apple to Bill.,1.0,What did Mary give to Bill? 
105,Jeff, Jeff,1.0,Who received the milk? 
106,Mary, Mary,1.0,Who gave the milk? 
107,Jeff, Mary gave the milk to Jeff.,1.0,Who did Mary give the milk to? 
108,football, Bill gave the football to Mary.,1.0,What did Bill give to Mary? 
109,Mary, Bill,0.0,Who gave the football? 
110,apple, Jeff gave the apple to Mary.,1.0,What did Jeff give to Mary? 
111,apple, Jeff gave the apple to Mary.,1.0,What did Jeff give to Mary? 
112,Mary, Mary gave the apple to Jeff.,1.0,Who gave the apple? 
113,Mary, Mary,1.0,Who gave the apple? 
114,Mary, Mary,1.0,Who received the apple? 
115,Bill, Bill,1.0,Who gave the milk? 
116,milk, Mary gave the milk to Bill.,1.0,What did Mary give to Bill? 
117,Bill, Mary gave the milk to Bill.,1.0,Who did Mary give the milk to? 
118,milk, Bill gave the milk to Mary.,1.0,What did Bill give to Mary? 
119,Mary, Mary,1.0,Who did Bill give the milk to? 
120,milk, Mary gave the milk to Bill.,1.0,What did Mary give to Bill? 
121,Mary, Mary,1.0,Who gave the milk? 
122,Mary, Mary,1.0,Who gave the milk? 
123,Jeff, Jeff,1.0,Who did Bill give the football to? 
124,Bill, Bill,1.0,Who gave the football to Jeff? 
125,Jeff, Jeff,1.0,Who received the football? 
126,Jeff, Jeff,1.0,Who gave the football to Bill? 
127,football, Jeff gave the football to Bill.,1.0,What did Jeff give to Bill? 
128,football, Jeff gave the football to Bill.,1.0,What did Jeff give to Bill? 
129,apple, Fred gave the apple to Mary.,1.0,What did Fred give to Mary? 
130,Bill, Bill,1.0,Who received the apple? 
131,apple, Mary gave an apple to Bill.,1.0,What did Mary give to Bill? 
132,apple, The apple,1.0,What did Mary give to Bill? 
133,apple, Jeff gave the apple to Mary.,1.0,What did Jeff give to Mary? 
134,Fred, Bill,0.0,Who gave the apple? 
135,football, Fred handed the football to Jeff.,1.0,What did Fred give to Jeff? 
136,football, Fred gave the football to Jeff.,1.0,What did Fred give to Jeff? 
137,Jeff, Jeff,1.0,Who gave the football? 
138,Fred, Jeff gave the football to Fred.,1.0,Who did Jeff give the football to? 
139,football, Fred handed the football to Mary.,1.0,What did Fred give to Mary? 
140,football, Jeff gave the football to Mary.,1.0,What did Jeff give to Mary? 
141,Mary, Mary,1.0,Who received the football? 
142,football, Mary gave the football to Jeff.,1.0,What did Mary give to Jeff? 
143,Jeff, Jeff,1.0,Who gave the football? 
144,Bill, Bill,1.0,Who received the apple? 
145,Fred, Jeff,0.0,Who received the apple? 
146,Fred, Jeff,0.0,Who received the apple? 
147,Mary, Mary,1.0,Who did Bill give the football to? 
148,Bill, Bill,1.0,Who gave the football to Mary? 
149,Fred,1,0.0,Who received the football? 
150,Bill, Jeff,0.0,Who received the apple? 
151,Jeff, Bill got the apple there.,0.0,Who gave the apple to Bill? 
152,Bill, Bill,1.0,Who received the apple? 
153,Bill, Bill,1.0,Who gave the apple to Jeff? 
154,apple, Bill gave an apple to Jeff.,1.0,What did Bill give to Jeff? 
155,football, Mary gave the football to Bill.,1.0,What did Mary give to Bill? 
156,football, Mary gave the football to Bill.,1.0,What did Mary give to Bill? 
157,Mary, Mary,1.0,Who did Bill give the football to? 
158,football, Bill gave the football to Mary.,1.0,What did Bill give to Mary? 
159,Bill, Mary,0.0,Who received the apple? 
160,Bill, Bill,1.0,Who did Fred give the apple to? 
161,apple, Fred gave the apple to Bill.,1.0,What did Fred give to Bill? 
162,apple, Fred gave the apple to Bill.,1.0,What did Fred give to Bill? 
163,Fred, Fred,1.0,Who gave the apple? 
164,Jeff, Bill,0.0,Who received the apple? 
165,Jeff, Jeff,1.0,Who received the apple? 
166,Jeff, Jeff,1.0,Who received the apple? 
167,Jeff, Jeff,1.0,Who received the apple? 
168,apple, Mary gave Jeff an apple.,1.0,What did Mary give to Jeff? 
169,Bill, Bill,1.0,Who gave the milk to Fred? 
170,football, Mary gave the football to Bill.,1.0,What did Mary give to Bill? 
171,Bill, Bill,1.0,Who did Mary give the football to? 
172,football, Bill gave the football to Mary.,1.0,What did Bill give to Mary? 
173,football, Bill gave the football to Mary.,1.0,What did Bill give to Mary? 
174,Mary, Mary,1.0,Who did Bill give the football to? 
175,football, Jeff gave the football to Bill.,1.0,What did Jeff give to Bill? 
176,football, Bill gave the football to Mary.,1.0,What did Bill give to Mary? 
177,Mary, Jeff,0.0,Who received the football? 
178,Bill, Jeff,0.0,Who gave the football? 
179,football, Bill gave the football to Fred.,1.0,What did Bill give to Fred? 
180,Fred, Fred,1.0,Who gave the milk to Jeff? 
181,milk, Jeff gave the milk to Mary.,1.0,What did Jeff give to Mary? 
182,Mary, Mary,1.0,Who received the milk? 
183,Mary, Jeff,0.0,Who gave the milk? 
184,Fred, Mary,0.0,Who received the milk? 
185,football, Mary gave the football to Bill.,1.0,What did Mary give to Bill? 
186,football, Mary gave the football to Bill.,1.0,What did Mary give to Bill? 
187,football, Mary gave the football to Bill.,1.0,What did Mary give to Bill? 
188,Bill, Mary,0.0,Who gave the football? 
189,football, Bill gave the football to Mary.,1.0,What did Bill give to Mary? 
190,Fred, Jeff,0.0,Who gave the football? 
191,Fred, Jeff,0.0,Who gave the football to Jeff? 
192,football, Fred gave the football to Jeff.,1.0,What did Fred give to Jeff? 
193,apple, Bill gave an apple to Fred.,1.0,What did Bill give to Fred? 
194,Bill, Bill,1.0,Who gave the apple to Fred? 
195,milk, Mary handed the milk to Bill.,1.0,What did Mary give to Bill? 
196,Mary, Bill,0.0,Who gave the milk? 
197,Bill, Bill,1.0,Who gave the milk? 
198,milk, The milk,1.0,What did Bill give to Mary? 
199,Mary, Mary,1.0,Who gave the milk? 
200,milk,1,0.0,What did Jeff give to Bill? 
201,milk, Jeff gave the milk to Bill.,1.0,What did Jeff give to Bill? 
202,milk, Jeff gave the milk to Bill.,1.0,What did Jeff give to Bill? 
203,Mary, Mary,1.0,Who gave the football? 
204,Fred, Mary gave the football to Fred.,1.0,Who did Mary give the football to? 
205,Fred, Bill,0.0,Who received the football? 
206,Fred, Mary gave the football to Fred.,1.0,Who did Mary give the football to? 
207,Jeff, Jeff,1.0,Who did Fred give the football to? 
208,Fred, Mary,0.0,Who gave the football to Jeff? 
209,Jeff, Mary,0.0,Who gave the football to Fred? 
210,Fred, Fred,1.0,Who gave the milk to Jeff? 
211,Fred, Jeff,0.0,Who gave the milk? 
212,Jeff, Jeff,1.0,Who gave the milk to Fred? 
213,Jeff, Jeff,1.0,Who gave the milk to Fred? 
214,Fred, Fred,1.0,Who gave the milk? 
215,Fred, Fred,1.0,Who gave the apple to Mary? 
216,Mary, Mary,1.0,Who received the apple? 
217,Bill, Mary,0.0,Who received the apple? 
218,Mary, Mary,1.0,Who did Fred give the milk to? 
219,Mary, Fred,0.0,Who gave the apple? 
220,Bill, Bill,1.0,Who gave the apple to Mary? 
221,Bill, Bill,1.0,Who gave the apple to Mary? 
222,Mary, Mary,1.0,Who gave the apple to Bill? 
223,Bill, Bill,1.0,Who did Mary give the apple to? 
224,apple, Bill gave an apple to Mary.,1.0,What did Bill give to Mary? 
225,football, Jeff handed the football to Fred.,1.0,What did Jeff give to Fred? 
226,Jeff, Jeff,1.0,Who gave the football to Fred? 
227,football, Jeff gave the football to Fred.,1.0,What did Jeff give to Fred? 
228,football, Jeff gave the football to Fred.,1.0,What did Jeff give to Fred? 
229,football, Jeff gave the football to Fred.,1.0,What did Jeff give to Fred? 
230,apple, Fred gave the apple to Bill.,1.0,What did Fred give to Bill? 
231,Bill, Bill,1.0,Who did Fred give the apple to? 
232,Fred, Fred,1.0,Who gave the apple to Bill? 
233,Fred, Fred,1.0,Who gave the apple to Bill? 
234,Fred, Bill,0.0,Who gave the apple? 
235,Bill, Bill,1.0,Who gave the football to Mary? 
236,Bill, Bill,1.0,Who gave the football? 
237,football, Bill gave the football to Mary.,1.0,What did Bill give to Mary? 
238,Bill, Bill,1.0,Who gave the football to Mary? 
239,Bill, Bill,1.0,Who gave the football? 
240,Fred, Bill,0.0,Who gave the football to Bill? 
241,Fred, Bill,0.0,Who gave the football? 
242,Fred, Fred,1.0,Who gave the football to Bill? 
243,Bill, Fred,0.0,Who gave the football to Fred? 
244,football, Bill gave the football to Fred.,1.0,What did Bill give to Fred? 
245,football, Jeff handed the football to Mary.,1.0,What did Jeff give to Mary? 
246,Mary, Jeff,0.0,Who gave the football? 
247,Mary, Jeff handed the football to Mary.,1.0,Who gave the football? 
248,Bill, Mary,0.0,Who gave the apple? 
249,Mary, Mary,1.0,Who gave the apple to Bill? 
250,apple, Mary gave the apple to Fred.,1.0,What did Mary give to Fred? 
251,Fred, Mary,0.0,Who received the apple? 
252,Mary, Fred,0.0,Who gave the apple? 
253,Jeff, Mary,0.0,Who received the apple? 
254,apple, The apple,1.0,What did Fred give to Jeff? 
255,Fred, Fred,1.0,Who received the milk? 
256,Jeff, Jeff,1.0,Who gave the milk to Fred? 
257,Jeff,1,0.0,Who gave the milk? 
258,football, Bill gave the football to Mary.,1.0,What did Bill give to Mary? 
259,Mary, Mary,1.0,Who did Fred give the milk to? 
260,Jeff, Jeff,1.0,Who gave the apple to Mary? 
261,Fred, Jeff,0.0,Who gave the apple to Mary? 
262,Mary, Mary,1.0,Who gave the apple? 
263,apple, The apple,1.0,What did Mary give to Bill? 
264,apple, The apple,1.0,What did Mary give to Bill? 
265,football, Fred gave the football to Bill.,1.0,What did Fred give to Bill? 
266,Fred, Bill,0.0,Who gave the football? 
267,Fred, Fred,1.0,Who gave the football to Bill? 
268,Mary, Mary,1.0,Who did Bill give the football to? 
269,Mary, Fred,0.0,Who gave the football? 
270,Mary, Jeff,0.0,Who received the apple? 
271,Mary, Jeff,0.0,Who gave the apple? 
272,apple, Mary gave the apple to Jeff.,1.0,What did Mary give to Jeff? 
273,Bill, Mary,0.0,Who gave the apple to Jeff? 
274,apple, Jeff gave the apple to Fred.,1.0,What did Jeff give to Fred? 
275,Mary, Jeff,0.0,Who received the football? 
276,Mary, Mary,1.0,Who received the football? 
277,football, Jeff the football,1.0,What did Mary give to Jeff? 
278,Mary, Jeff gave the football to Mary.,1.0,Who did Jeff give the football to? 
279,Mary, Mary,1.0,Who received the football? 
280,Fred, Mary,0.0,Who gave the apple? 
281,apple, Mary gave the apple to Fred.,1.0,What did Mary give to Fred? 
282,Fred, Mary gave the apple to Mary.,0.0,Who gave the apple to Mary? 
283,Fred, Mary,0.0,Who received the apple? 
284,apple, The apple,1.0,What did Fred give to Mary? 
285,Fred, Bill,0.0,Who gave the apple? 
286,Fred, Fred,1.0,Who gave the apple to Bill? 
287,Fred, Fred,1.0,Who gave the apple to Bill? 
288,apple, The apple,1.0,What did Fred give to Bill? 
289,Bill, Bill,1.0,Who gave the apple to Mary? 
290,Mary, Bill gave the milk to Bill.,0.0,Who gave the milk to Bill? 
291,Bill, Bill,1.0,Who gave the milk? 
292,Mary, Mary handed the milk to Bill.,1.0,Who gave the milk to Bill? 
293,Bill, Mary gave the milk to Bill.,1.0,Who did Mary give the milk to? 
294,apple, Jeff gave an apple to Fred.,1.0,What did Jeff give to Fred? 
295,milk, Mary gave Jeff the milk.,1.0,What did Mary give to Jeff? 
296,Mary, Mary,1.0,Who gave the milk? 
297,milk, Mary gave the milk to Jeff.,1.0,What did Mary give to Jeff? 
298,milk, Mary gave the milk to Jeff.,1.0,What did Mary give to Jeff? 
299,Bill, Mary,0.0,Who gave the milk to Jeff? 
300,football, Mary gave the football to Fred.,1.0,What did Mary give to Fred? 
301,Fred, Mary gave the football to Fred.,1.0,Who did Mary give the football to? 
302,Mary, Mary,1.0,Who gave the football to Fred? 
303,Mary, Mary,1.0,Who did Fred give the apple to? 
304,Fred, Mary gave the apple to Fred.,1.0,Who gave the apple to Mary? 
305,Jeff, Jeff,1.0,Who gave the apple to Mary? 
306,Mary, Jeff gave the apple to Mary.,1.0,Who did Jeff give the apple to? 
307,milk, Mary gave the milk to Fred.,1.0,What did Mary give to Fred? 
308,Fred, Mary gave the milk to Fred.,1.0,Who did Mary give the milk to? 
309,Fred, Mary,0.0,Who received the milk? 
310,Mary, Mary,1.0,Who gave the football to Bill? 
311,Bill, Mary,0.0,Who gave the football? 
312,football, The apple,0.0,What did Bill give to Mary? 
313,apple, Bill gave the apple to Mary.,1.0,What did Bill give to Mary? 
314,Bill, Jeff gave the football to Bill.,1.0,Who did Jeff give the football to? 
315,milk,1,0.0,What did Jeff give to Bill? 
316,Bill,1. Jeff 2. Bill,1.0,Who received the milk? 
317,milk, Jeff gave the milk to Bill.,1.0,What did Jeff give to Bill? 
318,apple, Fred gave the apple to Mary.,1.0,What did Fred give to Mary? 
319,Fred, Mary gave the apple to Fred.,1.0,Who did Mary give the apple to? 
320,Mary, Mary.,1.0,Who gave the apple? 
321,apple, Mary gave the apple to Bill.,1.0,What did Mary give to Bill? 
322,Mary, Mary,1.0,Who did Jeff give the football to? 
323,Mary, Mary,1.0,Who received the football? 
324,Mary, Mary,1.0,Who received the football? 
325,Bill,5,0.0,Who gave the football to Mary? 
326,Bill, Bill,1.0,Who gave the football? 
327,Jeff, Bill,0.0,Who received the apple? 
328,apple, Bill gave the apple to Jeff.,1.0,What did Bill give to Jeff? 
329,apple, Bill gave the apple to Jeff.,1.0,What did Bill give to Jeff? 
330,apple, Fred gave an apple to Mary.,1.0,What did Fred give to Mary? 
331,apple, The apple,1.0,What did Fred give to Mary? 
332,Fred, Mary,0.0,Who gave the apple? 
333,Bill, Mary,0.0,Who received the apple? 
334,apple, Mary gave the apple to Bill.,1.0,What did Mary give to Bill? 
335,Mary, Mary,1.0,Who gave the apple? 
336,apple, Mary gave an apple to Fred.,1.0,What did Mary give to Fred? 
337,apple, The apple,1.0,What did Fred give to Mary? 
338,apple, Fred gave the apple to Mary.,1.0,What did Fred give to Mary? 
339,Mary, Mary,1.0,Who did Fred give the apple to? 
340,apple, The milk,0.0,What did Fred give to Bill? 
341,Bill, Bill,1.0,Who gave the apple to Fred? 
342,Bill, Bill received the apple.,1.0,Who received the apple? 
