,target,output,result,question
0,garden,,0.0,What is the bathroom south of?
1,bedroom, bedroom,1.0,What is west of the kitchen?
2,office,,0.0,What is the garden south of?
3,bedroom, hallway,0.0,What is south of the bathroom?
4,bedroom,2,0.0,What is the garden south of?
5,kitchen, bathroom,0.0,What is the office north of?
6,hallway,1,0.0,What is the office south of?
7,office, office,1.0,What is east of the kitchen?
8,kitchen, bathroom,0.0,What is east of the office?
9,bathroom, kitchen,0.0,What is the bedroom south of?
10,bedroom,,0.0,What is south of the hallway?
11,office, garden,0.0,What is the hallway north of?
12,kitchen, kitchen,1.0,What is the bedroom south of?
13,bathroom, bedroom,0.0,What is the garden west of?
14,office,20.,0.0,What is north of the hallway?
15,office,20.,0.0,What is north of the hallway?
16,hallway,238,0.0,What is the office east of?
17,garden,,0.0,What is the bathroom south of?
18,bedroom, office,0.0,What is west of the kitchen?
19,hallway, hallway,1.0,What is east of the office?
20,garden, bedroom,0.0,What is north of the hallway?
21,hallway, the bedroom,0.0,What is the garden north of?
22,garden, garden,1.0,What is west of the bedroom?
23,bedroom, the kitchen,0.0,What is the garden east of?
24,kitchen,96,0.0,What is west of the hallway?
25,office,,0.0,What is the garden north of?
26,hallway, hallway,1.0,What is east of the bathroom?
27,garden,1,0.0,What is the bedroom south of?
28,garden,250,0.0,What is the office north of?
29,garden,20.,0.0,What is south of the hallway?
30,hallway, hallway,1.0,What is north of the bedroom?
31,office, The office,1.0,What is west of the garden?
32,bathroom, kitchen,0.0,What is the bedroom west of?
33,bathroom,20.,0.0,What is north of the office?
34,hallway,,0.0,What is the bathroom south of?
35,office, office,1.0,What is east of the hallway?
36,garden,,0.0,What is west of the hallway?
37,bedroom, the hallway,0.0,What is the garden north of?
38,garden, kitchen,0.0,What is the bedroom west of?
39,office, office,1.0,What is east of the bathroom?
40,garden, The garden,1.0,What is north of the bedroom?
41,office,1,0.0,What is the kitchen north of?
42,hallway, bedroom,0.0,What is the garden east of?
43,hallway,,0.0,What is west of the kitchen?
44,garden, The hallway,0.0,What is south of the bedroom?
45,bathroom, bedroom,0.0,What is the kitchen west of?
46,hallway, garden,0.0,What is the bathroom north of?
47,bedroom,,0.0,What is west of the hallway?
48,bedroom,20,0.0,What is the hallway south of?
49,bathroom, bathroom,1.0,What is east of the kitchen?
50,bathroom, The hallway is west of the kitchen.,0.0,What is the hallway west of?
51,hallway, Hallway,1.0,What is south of the bedroom?
52,hallway, kitchen,0.0,What is the bedroom east of?
53,office,,0.0,What is south of the bathroom?
54,bedroom,20.,0.0,What is north of the office?
55,hallway, garden,0.0,What is west of the bedroom?
56,hallway, hallway,1.0,What is east of the bathroom?
57,garden, east,0.0,What is the office west of?
58,kitchen, south,0.0,What is the garden south of?
59,garden,,0.0,What is the office south of?
60,bathroom, The garden,0.0,What is the kitchen west of?
61,bathroom, bathroom,1.0,What is north of the garden?
62,bedroom, bedroom,1.0,What is west of the office?
63,bathroom, hallway,0.0,What is the bedroom north of?
64,garden,60,0.0,What is north of the office?
65,bedroom, bedroom,1.0,What is south of the kitchen?
66,kitchen,2,0.0,What is the garden south of?
67,garden,13 ft.,0.0,What is the bedroom west of?
68,garden,,0.0,What is the hallway east of?
69,bathroom, bathroom,1.0,What is east of the kitchen?
70,bedroom,20.,0.0,What is the hallway north of?
71,hallway,,0.0,What is the garden north of?
72,bathroom, The hallway,0.0,What is the bedroom west of?
73,kitchen,20.,0.0,What is north of the hallway?
74,kitchen,20,0.0,What is north of the bedroom?
75,hallway, bedroom,0.0,What is the garden east of?
76,hallway, hallway,1.0,What is south of the bathroom?
77,kitchen, kitchen,1.0,What is south of the bedroom?
78,hallway, kitchen,0.0,What is the bedroom south of?
79,hallway, Hallway,1.0,What is south of the bedroom?
80,kitchen,2,0.0,What is the garden south of?
81,hallway, bedroom,0.0,What is the kitchen south of?
82,garden, The garden,1.0,What is west of the office?
83,garden, bathroom,0.0,What is the hallway east of?
84,bathroom,1,0.0,What is the bedroom north of?
85,hallway, kitchen,0.0,What is the bedroom north of?
86,bathroom, bathroom,1.0,What is east of the bedroom?
87,garden, The garden,1.0,What is west of the office?
88,office, office,1.0,What is west of the bathroom?
89,hallway, The office is west of the bedroom.,0.0,What is the office west of?
90,office,1,0.0,What is the bedroom south of?
91,kitchen,13 ft,0.0,What is the bathroom west of?
92,bedroom, bedroom,1.0,What is north of the garden?
93,office,,0.0,What is the garden north of?
94,hallway,238,0.0,What is the office east of?
95,bedroom,1,0.0,What is west of the kitchen?
96,bathroom,,0.0,What is the kitchen east of?
97,garden,20.,0.0,What is the hallway east of?
98,kitchen, bedroom,0.0,What is the garden east of?
99,hallway,,0.0,What is the bedroom east of?
