,target,output,result,question
0,bathroom," I have been looking for you everywhere.

""Where is Mary?  I have been looking for you",0.0,Where is Mary? 
1,kitchen, Sandra is in the bathroom.,0.0,Where is Sandra? 
2,kitchen, Mary is in the kitchen.,1.0,Where is Mary? 
3,kitchen, John is in the hallway.,0.0,Where is John? 
4,bedroom, She's in the bedroom.,1.0,Where is Sandra? 
5,office, John is in the office.,1.0,Where is John? 
6,garden, Mary is in the office.,0.0,Where is Mary? 
7,bathroom, She's in the bathroom.,1.0,Where is Sandra? 
8,kitchen, Mary is in the kitchen.,1.0,Where is Mary? 
9,bedroom,1.,0.0,Where is John? 
10,office, Daniel is in the office.,1.0,Where is Daniel? 
11,office," Daniel is in the office.

Where is Daniel going?  Daniel is going to the bathroom.

",1.0,Where is Daniel? 
12,bathroom, Mary is in the bathroom.,1.0,Where is Mary? 
13,bathroom, Sandra moved to the kitchen.,0.0,Where is Sandra? 
14,bathroom, Sandra is in the bedroom.,0.0,Where is Sandra? 
15,hallway, Mary is in the hallway.,1.0,Where is Mary? 
16,kitchen," I haven't seen her since the party.

(_Sits._)

SUSAN.

She's",0.0,Where is Sandra? 
17,office, Daniel is in the office.,1.0,Where is Daniel? 
18,kitchen, Sandra is in the hallway.,0.0,Where is Sandra? 
19,bedroom, John is in the kitchen.,0.0,Where is John? 
20,hallway, I don't know.,0.0,Where is Sandra? 
21,bedroom,"1

   Mary, 1

   Mary, 1

   Mary, 1

",0.0,Where is Mary? 
22,bedroom, John is in the bedroom.,1.0,Where is John? 
23,bedroom, Mary is in the bedroom.,1.0,Where is Mary? 
24,bedroom,1 2 3 4 5 6 7 8 9 10 ,0.0,Where is Mary? 
25,garden," Mary is in the garden.

Mary went back to the hallway.

Mary went back to the hallway.

",1.0,Where is Mary? 
26,bedroom, I don't know.,0.0,Where is Daniel? 
27,office, Sandra is in the office.,1.0,Where is Sandra? 
28,office, Sandra is in the bathroom.,0.0,Where is Sandra? 
29,garden,1. She is in the garden.,1.0,Where is Sandra? 
30,garden, Where is Daniel?  Where is Daniel?  Where is Daniel?  Where is Daniel?,0.0,Where is Daniel? 
31,bathroom," she called.

""Mary didn't come, Aunt Beulah,"" said
the cook.

""",0.0,Where is Mary? 
32,office,"157.

Where is Miguel?  157.

Where is Spanish?  157.

Where is",0.0,Where is Mary? 
33,kitchen, Sandra moved to the garden.,0.0,Where is Sandra? 
34,garden, Sandra moved to the bathroom.,0.0,Where is Sandra? 
35,kitchen, She is in the kitchen.,1.0,Where is Sandra? 
36,kitchen,"525

Where is Sandra?  Where is Sandra?  Where is Sandra?  Where is Sandra",0.0,Where is Sandra? 
37,garden,1.  In the garden. 2.  In the house. 3.  In,1.0,Where is John? 
38,garden, Sandra is in the bedroom.,0.0,Where is Sandra? 
39,bathroom, Place.,0.0,Where is Sandra? 
40,bedroom, Mary is in the bathroom.,0.0,Where is Mary? 
41,kitchen," I
haven't seen her for a week.

I have not seen her for a week.

I",0.0,Where is Sandra? 
42,office, Mary is in the garden.,0.0,Where is Mary? 
43,bedroom,"1. In the kitchen.
2. At home.",0.0,Where is Mary? 
44,office, Daniel is in the kitchen.,0.0,Where is Daniel? 
45,office, Sandra is in the bathroom.,0.0,Where is Sandra? 
46,bathroom," I thought she was coming to the garden.

(_Sits._)

SANDRA.

I'm",0.0,Where is Sandra? 
47,bedroom, The bedroom.,1.0,Where is Sandra? 
48,office," Daniel moved to the office.

“Where is Miguel?” he asked.

[_Opening his eyes._",1.0,Where is Daniel? 
49,bedroom, She went back to the bedroom.,1.0,Where is Sandra? 
50,hallway, Daniel is in the hallway.,1.0,Where is Daniel? 
51,bedroom," I thought she was coming with you.

SILVINA

She's coming.  She's",0.0,Where is Sandra? 
52,office, John is in the office.,1.0,Where is John? 
53,garden, The hallway,0.0,Where is John? 
54,kitchen," I want to see him.

Daniel, I want to see you.

Daniel, I want to see",0.0,Where is Daniel? 
55,hallway, Mary is in the bedroom.,0.0,Where is Mary? 
56,hallway, Sandra is in the office.,0.0,Where is Sandra? 
57,hallway, John is in the garden.,0.0,Where is John? 
58,bedroom, Mary is in the kitchen.,0.0,Where is Mary? 
59,bedroom, Sandra is in the hallway.,0.0,Where is Sandra? 
60,bedroom, I don't know.  I haven't seen him since he left the house this morning. ,0.0,Where is Daniel? 
61,kitchen, She is in the kitchen.,1.0,Where is Sandra? 
62,bedroom, Where is the door?  Where is the window?  Where is the bed?  Where is,0.0,Where is Daniel? 
63,garden, John is in the garden.,1.0,Where is John? 
64,bathroom, Where is Miguel?,0.0,Where is Sandra? 
65,garden, She is in the garden.,1.0,Where is Sandra? 
66,office," Daniel is in the office.

Where is the office?  The office is in the church.

",1.0,Where is Daniel? 
67,bedroom, Mary moved to the kitchen.,0.0,Where is Mary? 
68,garden, I don't know.  I'm not her keeper.  I'm not her keeper.,0.0,Where is Sandra? 
69,bathroom, She's in the garden.,0.0,Where is Sandra? 
70,office, John is in the garden.,0.0,Where is John? 
71,kitchen, Daniel is in the garden.,0.0,Where is Daniel? 
72,bedroom, John is the son of Alexander Jardine and Elisabeth his wife.,0.0,Where is John? 
73,office, Daniel is in the office.,1.0,Where is Daniel? 
74,bathroom, Sandra moved to the hallway.,0.0,Where is Sandra? 
