,target,output,result,question
0,hallway, The milk is in the hallway.,1.0,Where is the milk? 
1,hallway, The football is in the bedroom.,0.0,Where is the football? 
2,hallway, The football is in the hallway.,1.0,Where is the football? 
3,hallway, The football is in the hallway.,1.0,Where is the football? 
4,garden, The milk is in the kitchen.,0.0,Where is the milk? 
5,garden, The milk is in the garden.,1.0,Where is the milk? 
6,bedroom, The football is in the office.,0.0,Where is the football? 
7,bedroom, The milk is in the kitchen.,0.0,Where is the milk? 
8,kitchen, The football is in the garden.,0.0,Where is the football? 
9,kitchen, The football is in the office.,0.0,Where is the football? 
10,bedroom, The football is in the Begum's palace.,0.0,Where is the football? 
11,hallway, The football is in the garden.,0.0,Where is the football? 
12,garden, The milk is in the office.,0.0,Where is the milk? 
13,garden, The milk is in the kitchen.,0.0,Where is the milk? 
14,bathroom, The apple is in the kitchen.,0.0,Where is the apple? 
15,garden, The milk is in the garden.,1.0,Where is the milk? 
16,garden, The milk is in the garden.,1.0,Where is the milk? 
17,garden, The milk is in the bathroom.,0.0,Where is the milk? 
18,kitchen, The apple is in the bedroom.,0.0,Where is the apple? 
19,kitchen, The apple is in the kitchen.,1.0,Where is the apple? 
20,bedroom, The apple is in the kitchen.,0.0,Where is the apple? 
21,bedroom, The apple is in the bedroom.,1.0,Where is the apple? 
22,bathroom, The football is in the office.,0.0,Where is the football? 
23,bathroom, The football is in the office.,0.0,Where is the football? 
24,bedroom, The milk is in the kitchen.,0.0,Where is the milk? 
25,kitchen, The milk is in the kitchen.,1.0,Where is the milk? 
26,kitchen, The milk is in the kitchen.,1.0,Where is the milk? 
27,bathroom, The apple is in the kitchen.,0.0,Where is the apple? 
28,bathroom, The apple is in the kitchen.,0.0,Where is the apple? 
29,kitchen, The milk is in the kitchen.,1.0,Where is the milk? 
30,garden, The apple is in the garden.,1.0,Where is the apple? 
31,garden, The apple is in the kitchen.,0.0,Where is the apple? 
32,kitchen, The football is in the bedroom.,0.0,Where is the football? 
33,kitchen, The apple is in the kitchen.,1.0,Where is the apple? 
34,kitchen, The apple is in the kitchen.,1.0,Where is the apple? 
35,office, The milk is in the kitchen.,0.0,Where is the milk? 
36,kitchen, The football is in the office.,0.0,Where is the football? 
37,kitchen, The football is in the office.,0.0,Where is the football? 
38,kitchen, The football is in the office.,0.0,Where is the football? 
39,bedroom, The milk is in the kitchen.,0.0,Where is the milk? 
40,bedroom, The milk is in the kitchen.,0.0,Where is the milk? 
41,office, The milk is in the garden.,0.0,Where is the milk? 
42,office, The milk is in the kitchen.,0.0,Where is the milk? 
43,office, The milk is in the garden.,0.0,Where is the milk? 
44,kitchen, The apple is in the garden.,0.0,Where is the apple? 
45,bedroom, The milk is in the bedroom.,1.0,Where is the milk? 
46,office, The football is in the British House of Commons.,0.0,Where is the football? 
47,bathroom, The football is in the bedroom.,0.0,Where is the football? 
48,bathroom, The football is in the bedroom.,0.0,Where is the football? 
49,bedroom, The milk is in the bedroom.,1.0,Where is the milk? 
50,bathroom, The milk is in the bathroom.,1.0,Where is the milk? 
51,hallway, The apple is in the garden.,0.0,Where is the apple? 
52,kitchen, The football is in the bedroom.,0.0,Where is the football? 
53,kitchen, The football is in the garden.,0.0,Where is the football? 
54,kitchen, The football is in the garden.,0.0,Where is the football? 
55,bathroom, The apple is in the office.,0.0,Where is the apple? 
56,bathroom, The milk is in the office.,0.0,Where is the milk? 
57,kitchen, The milk is in the office.,0.0,Where is the milk? 
58,kitchen, The milk is in the kitchen.,1.0,Where is the milk? 
59,bedroom, The apple is in the office.,0.0,Where is the apple? 
60,garden, The milk is in the kitchen.,0.0,Where is the milk? 
61,garden, The milk is in the office.,0.0,Where is the milk? 
62,kitchen, The football is in the garden.,0.0,Where is the football? 
63,kitchen, The football is in the garden.,0.0,Where is the football? 
64,kitchen, The football is in the garden.,0.0,Where is the football? 
65,kitchen, The football is in the garden.,0.0,Where is the football? 
66,kitchen, The football is in the field.,0.0,Where is the football? 
67,bedroom, The milk is in the kitchen.,0.0,Where is the milk? 
68,bedroom, The milk is in the kitchen.,0.0,Where is the milk? 
69,bedroom, The football is in the office.,0.0,Where is the football? 
70,garden, The apple is in the garden.,1.0,Where is the apple? 
71,garden, The apple is in the garden.,1.0,Where is the apple? 
72,bathroom, The apple is in the garden.,0.0,Where is the apple? 
73,bathroom, The apple is in the ground.,0.0,Where is the apple? 
74,bathroom, The apple is in the ground.,0.0,Where is the apple? 
75,office, The apple is in the kitchen.,0.0,Where is the apple? 
76,hallway, The milk is in the bedroom.,0.0,Where is the milk? 
77,hallway, The milk is in the bedroom.,0.0,Where is the milk? 
78,hallway, The milk is in the kitchen.,0.0,Where is the milk? 
79,hallway, The milk is in the kitchen.,0.0,Where is the milk? 
