,target,output,result,question
0,hallway, The milk is in the fridge.,0.0,Where is the milk? 
1,hallway, There.,0.0,Where is the football? 
2,hallway, There.,0.0,Where is the football? 
3,hallway, John put down the football.,0.0,Where is the football? 
4,garden, I don't know.  I'll ask Mary.,0.0,Where is the milk? 
5,garden, Where is the milk?,0.0,Where is the milk? 
6,bedroom, Daniel dropped the football.,0.0,Where is the football? 
7,bedroom, I left it there.,0.0,Where is the milk? 
8,kitchen, The football is in Daniel's chest.,0.0,Where is the football? 
9,kitchen, Daniel took the football there.,0.0,Where is the football? 
10,bedroom, There,0.0,Where is the football? 
11,hallway, I don't know.,0.0,Where is the football? 
12,garden,1.  In the pail.  2.  In the cow.  3,0.0,Where is the milk? 
13,garden, The milk is in the fridge.,0.0,Where is the milk? 
14,bathroom, The apple is on the ground.,0.0,Where is the apple? 
15,garden, I don't know.,0.0,Where is the milk? 
16,garden, Mary dropped it.,0.0,Where is the milk? 
17,garden," It is, I believe, in the writing desk.",0.0,Where is the milk? 
18,kitchen, I don't know.  I don't see it.  I don't see it.,0.0,Where is the apple? 
19,kitchen, The apple is on the table.,0.0,Where is the apple? 
20,bedroom, There is no apple.,0.0,Where is the apple? 
21,bedroom, The apple is in the church of St. Mary.,0.0,Where is the apple? 
22,bathroom, There is no football in the room.,0.0,Where is the football? 
23,bathroom," The football is on the side of the hill, where formerly stood the old castle.",0.0,Where is the football? 
24,bedroom, The milk is there.,0.0,Where is the milk? 
25,kitchen, The milk is in the fridge.,0.0,Where is the milk? 
26,kitchen, Where is the milk?  Where is the milk?  Where is the milk?  Where is,0.0,Where is the milk? 
27,bathroom, There,0.0,Where is the apple? 
28,bathroom, The apple is in the wagon box.,0.0,Where is the apple? 
29,kitchen, The milk is in the fridge.,0.0,Where is the milk? 
30,garden, There.,0.0,Where is the apple? 
31,garden," I dropped it.

[_Looking at the apple._]  What, the apple?

[_Looking",0.0,Where is the apple? 
32,kitchen," Mary left the football at Howkins, W., Hillmorton Grounds, Rugby.",0.0,Where is the football? 
33,kitchen, I don't know.,0.0,Where is the apple? 
34,kitchen, There.,0.0,Where is the apple? 
35,office," It is in the cupboard.

Where is the syrup?  It is on the shelf.",0.0,Where is the milk? 
36,kitchen, John took the football there.,0.0,Where is the football? 
