,target,output,result,question
0,office, The most recent location of Mary is bedroom.,0.0,Where is Mary? 
1,kitchen, The most recent location of Sandra is BAR.,0.0,Where is Sandra? 
2,bathroom, The most recent location of Daniel is yet to be determined.,0.0,Where is Daniel? 
3,bedroom, The most recent location of John is office.,0.0,Where is John? 
4,bedroom, The most recent location of John is R.,0.0,Where is John? 
5,bedroom, The most recent location of Daniel is kitchen.,0.0,Where is Daniel? 
6,garden, The most recent location of John is London.,0.0,Where is John? 
7,kitchen, The most recent location of Mary is garden.,0.0,Where is Mary? 
8,hallway, The most recent location of Sandra is hallway.,1.0,Where is Sandra? 
9,kitchen, The most recent location of Mary is kitchen.,1.0,Where is Mary? 
10,bathroom, The most recent location of Daniel is the bedroom.,0.0,Where is Daniel? 
11,bathroom, The most recent location of Sandra is bathroom.,1.0,Where is Sandra? 
12,office, The most recent location of John is office.,1.0,Where is John? 
13,kitchen, The most recent location of John is London.,0.0,Where is John? 
14,bedroom, The most recent location of Sandra is bedroom.,1.0,Where is Sandra? 
15,bedroom, The most recent location of John is bedroom.,1.0,Where is John? 
16,kitchen, The most recent location of Daniel is the kitchen.,1.0,Where is Daniel? 
17,hallway, The most recent location of Daniel is the hallway.,1.0,Where is Daniel? 
18,bedroom, The most recent location of Mary is bedroom.,1.0,Where is Mary? 
19,office, The most recent location of Sandra is garden.,0.0,Where is Sandra? 
20,kitchen, The most recent location of Daniel is kitchen.,1.0,Where is Daniel? 
21,garden, The most recent location of Sandra is garden.,1.0,Where is Sandra? 
22,bathroom, The most recent location of Mary is bathroom.,1.0,Where is Mary? 
23,garden, The most recent location of Sandra is kitchen.,0.0,Where is Sandra? 
24,office, The most recent location of Mary is hallway.,0.0,Where is Mary? 
25,garden, The most recent location of John is London.,0.0,Where is John? 
26,bathroom, The most recent location of John M. is in porta.,0.0,Where is John? 
27,hallway, The most recent location of Daniel is office.,0.0,Where is Daniel? 
28,office, The most recent location of Mary is bathroom.,0.0,Where is Mary? 
29,office, The most recent location of Sandra is the kitchen.,0.0,Where is Sandra? 
30,hallway, The most recent location of Daniel is hallway.,1.0,Where is Daniel? 
31,hallway, The most recent location of John is bedroom.,0.0,Where is John? 
32,office, The most recent location of Daniel is office.,1.0,Where is Daniel? 
33,kitchen, The most recent location of Mary is home.,0.0,Where is Mary? 
34,office, The most recent location of John is R.,0.0,Where is John? 
35,garden, The most recent location of Sandra is garden.,1.0,Where is Sandra? 
36,office, The most recent location of Sandra is office.,1.0,Where is Sandra? 
37,hallway, The most recent location of Daniel is kitchen.,0.0,Where is Daniel? 
38,garden, The most recent location of Daniel is office.,0.0,Where is Daniel? 
39,bathroom, The most recent location of John is bathroom.,1.0,Where is John? 
40,office, The most recent location of John is office.,1.0,Where is John? 
41,kitchen, The most recent location of Mary is the kitchen.,1.0,Where is Mary? 
42,garden, The most recent location of Mary is the kitchen.,0.0,Where is Mary? 
43,bathroom, The most recent location of Sandra is bathroom.,1.0,Where is Sandra? 
44,office, The most recent location of Daniel is office.,1.0,Where is Daniel? 
45,bedroom, The most recent location of Mary is the bedroom.,1.0,Where is Mary? 
