,target,output,result,question
0,garden, The bedroom,0.0,What is the bathroom south of?
1,bedroom, The dining room.,0.0,What is west of the kitchen?
2,office, The hallway,0.0,What is the garden south of?
3,bedroom, The bedroom,1.0,What is south of the bathroom?
4,bedroom, The bedroom,1.0,What is the garden south of?
5,kitchen, The bathroom,0.0,What is the office north of?
6,hallway, The garden,0.0,What is the office south of?
7,office, The bedroom,0.0,What is east of the kitchen?
8,kitchen, The kitchen,1.0,What is east of the office?
9,bathroom, The bathroom,1.0,What is the bedroom south of?
10,bedroom, The bedroom,1.0,What is south of the hallway?
11,office, The garden,0.0,What is the hallway north of?
12,kitchen, The kitchen,1.0,What is the bedroom south of?
13,bathroom, The garden is west of a gate where dragons met.,0.0,What is the garden west of?
14,office, The bedroom is north of the hallway.,0.0,What is north of the hallway?
15,office, The office,1.0,What is north of the hallway?
16,hallway, The garden,0.0,What is the office east of?
17,garden, The kitchen,0.0,What is the bathroom south of?
18,bedroom, The bedroom,1.0,What is west of the kitchen?
19,hallway, The hallway,1.0,What is east of the office?
20,garden, The bedroom,0.0,What is north of the hallway?
21,hallway, The garden is north of the hallway.,1.0,What is the garden north of?
22,garden, The garden,1.0,What is west of the bedroom?
23,bedroom, The kitchen,0.0,What is the garden east of?
24,kitchen,96.,0.0,What is west of the hallway?
25,office, The garden is north of the office.,1.0,What is the garden north of?
26,hallway, The hallway,1.0,What is east of the bathroom?
27,garden, The garden,1.0,What is the bedroom south of?
28,garden, The garden,1.0,What is the office north of?
29,garden, The garden,1.0,What is south of the hallway?
30,hallway, The hallway,1.0,What is north of the bedroom?
31,office, The office,1.0,What is west of the garden?
32,bathroom, The garden,0.0,What is the bedroom west of?
33,bathroom, The bathroom,1.0,What is north of the office?
34,hallway, The bedroom,0.0,What is the bathroom south of?
35,office, The garden,0.0,What is east of the hallway?
36,garden, The garden,1.0,What is west of the hallway?
37,bedroom, The hallway,0.0,What is the garden north of?
38,garden, The garden,1.0,What is the bedroom west of?
39,office, The kitchen,0.0,What is east of the bathroom?
40,garden, The garden,1.0,What is north of the bedroom?
41,office, The kitchen is north of the office.,1.0,What is the kitchen north of?
42,hallway, The hallway,1.0,What is the garden east of?
43,hallway, The west window.,0.0,What is west of the kitchen?
44,garden, The garden,1.0,What is south of the bedroom?
45,bathroom, The garden,0.0,What is the kitchen west of?
46,hallway, The garden,0.0,What is the bathroom north of?
47,bedroom, The bedroom is west of the hallway.,1.0,What is west of the hallway?
48,bedroom, The bedroom,1.0,What is the hallway south of?
49,bathroom, The bathroom,1.0,What is east of the kitchen?
50,bathroom, The kitchen,0.0,What is the hallway west of?
51,hallway, The hallway,1.0,What is south of the bedroom?
52,hallway, The kitchen,0.0,What is the bedroom east of?
53,office, The garden,0.0,What is south of the bathroom?
54,bedroom, The bedroom,1.0,What is north of the office?
55,hallway, The bathroom,0.0,What is west of the bedroom?
56,hallway, The hallway,1.0,What is east of the bathroom?
57,garden, The garden,1.0,What is the office west of?
58,kitchen, The hallway,0.0,What is the garden south of?
59,garden, The garden,1.0,What is the office south of?
60,bathroom, The garden.,0.0,What is the kitchen west of?
61,bathroom, The bathroom,1.0,What is north of the garden?
62,bedroom, The bathroom,0.0,What is west of the office?
63,bathroom, The hallway,0.0,What is the bedroom north of?
64,garden, The garden,1.0,What is north of the office?
65,bedroom, The bedroom,1.0,What is south of the kitchen?
66,kitchen, The kitchen,1.0,What is the garden south of?
67,garden, The hallway,0.0,What is the bedroom west of?
68,garden, The garden,1.0,What is the hallway east of?
69,bathroom, The bathroom,1.0,What is east of the kitchen?
70,bedroom, The bathroom,0.0,What is the hallway north of?
71,hallway, The kitchen,0.0,What is the garden north of?
72,bathroom, The bathroom,1.0,What is the bedroom west of?
73,kitchen, The kitchen is north of the hallway.,1.0,What is north of the hallway?
74,kitchen, The garden.,0.0,What is north of the bedroom?
75,hallway, The garden is west of the bedroom.,0.0,What is the garden east of?
76,hallway, The hallway,1.0,What is south of the bathroom?
77,kitchen, The kitchen,1.0,What is south of the bedroom?
78,hallway, The bathroom,0.0,What is the bedroom south of?
79,hallway, The hallway,1.0,What is south of the bedroom?
80,kitchen, The garden is south of the hallway.,0.0,What is the garden south of?
81,hallway, The verandah,0.0,What is the kitchen south of?
82,garden, The bathroom,0.0,What is west of the office?
83,garden, The bathroom,0.0,What is the hallway east of?
84,bathroom, The bedroom is north of the bathroom.,1.0,What is the bedroom north of?
85,hallway, The hallway,1.0,What is the bedroom north of?
86,bathroom, The bathroom,1.0,What is east of the bedroom?
87,garden, The garden,1.0,What is west of the office?
88,office, The office,1.0,What is west of the bathroom?
89,hallway, The bedroom,0.0,What is the office west of?
90,office, The garden,0.0,What is the bedroom south of?
91,kitchen, The bedroom,0.0,What is the bathroom west of?
92,bedroom, The bedroom,1.0,What is north of the garden?
93,office, The garden is north of the office.,1.0,What is the garden north of?
94,hallway, The hallway.,1.0,What is the office east of?
95,bedroom, The bedroom,1.0,What is west of the kitchen?
96,bathroom, The bathroom,1.0,What is the kitchen east of?
97,garden,20.,0.0,What is the hallway east of?
98,kitchen, The kitchen,1.0,What is the garden east of?
99,hallway, The hallway,1.0,What is the bedroom east of?
