,target,output,result,question
0,bedroom, The hallway,0.0,What is the bathroom east of?
1,bedroom,1,0.0,What is west of the kitchen?
2,bathroom,1.,0.0,What is north of the garden?
3,bedroom, bedroom,1.0,What is south of the kitchen?
4,bedroom,1,0.0,What is east of the kitchen?
5,garden, The hallway,0.0,What is the bathroom west of?
6,kitchen, The upper room of this box is called the kitchen.,1.0,What is east of the bedroom?
7,bathroom,2,0.0,What is the garden south of?
8,kitchen, kitchen,1.0,What is south of the office?
9,office, GARDEN,0.0,What is east of the hallway?
10,garden,360,0.0,What is north of the office?
11,garden,45 ft.,0.0,What is south of the kitchen?
12,bathroom, bathroom,1.0,What is east of the kitchen?
13,garden, garden,1.0,What is west of the kitchen?
14,garden, the office,0.0,What is north of the bedroom?
15,garden,62,0.0,What is east of the hallway?
16,hallway, hallway,1.0,What is east of the office?
17,office, the kitchen,0.0,What is south of the bathroom?
18,garden, kitchen,0.0,What is the bedroom north of?
19,garden, bedroom,0.0,What is the kitchen west of?
20,garden, hallway,0.0,What is the office east of?
21,garden, kitchen,0.0,What is the bathroom south of?
22,bathroom,1,0.0,What is north of the bedroom?
23,bathroom,1,0.0,What is the bedroom south of?
24,hallway,1,0.0,What is the bedroom west of?
25,office,104,0.0,What is east of the bathroom?
26,office,1,0.0,What is north of the bedroom?
27,hallway, The hallway,1.0,What is west of the bathroom?
28,garden, office,0.0,What is the bathroom north of?
29,garden, The garden,1.0,What is north of the office?
30,bedroom,1.,0.0,What is east of the kitchen?
31,kitchen, hallway,0.0,What is the bathroom east of?
32,bathroom, bathroom,1.0,What is north of the garden?
33,kitchen, kitchen,1.0,What is the bedroom west of?
34,bedroom, hallway,0.0,What is the kitchen south of?
35,garden, The garden,1.0,What is the bathroom east of?
36,office,1. The garden is west of the bedroom. 2. The bedroom is west of the kitchen,0.0,What is south of the hallway?
37,bedroom,1.,0.0,What is north of the bathroom?
38,bedroom, office,0.0,What is the bathroom east of?
39,office,1,0.0,What is north of the bedroom?
40,bathroom,1,0.0,What is south of the kitchen?
41,bedroom,,0.0,What is west of the office?
42,kitchen,1,0.0,What is the garden south of?
43,garden, The garden,1.0,What is south of the bedroom?
44,garden,,0.0,What is the office south of?
45,hallway, The hallway,1.0,What is the office east of?
46,garden,2,0.0,What is south of the office?
47,garden,1,0.0,What is west of the bedroom?
48,garden, bedroom,0.0,What is east of the hallway?
49,garden,,0.0,What is the office south of?
50,bedroom,1,0.0,What is the hallway north of?
51,garden, garden,1.0,What is north of the bathroom?
52,hallway, kitchen,0.0,What is the bedroom north of?
53,bathroom, bathroom,1.0,What is east of the garden?
54,bathroom,1,0.0,What is west of the bedroom?
55,garden,238,0.0,What is east of the hallway?
56,hallway, kitchen,0.0,What is the bedroom east of?
57,kitchen,,0.0,What is west of the hallway?
58,hallway, hallway,1.0,What is south of the bedroom?
59,kitchen, bathroom,0.0,What is the garden north of?
60,hallway, kitchen,0.0,What is the bedroom north of?
61,bedroom, bedroom,1.0,What is south of the hallway?
62,kitchen,10th,0.0,What is the hallway north of?
63,hallway,1,0.0,What is west of the bedroom?
64,bedroom, office,0.0,What is east of the garden?
65,office,1,0.0,What is the bedroom north of?
66,bathroom,1,0.0,What is the bedroom north of?
67,office, the office,1.0,What is the garden south of?
68,kitchen, The garden,0.0,What is the bathroom west of?
69,garden, bathroom,0.0,What is the hallway east of?
70,bathroom,1,0.0,What is south of the bedroom?
71,kitchen,1,0.0,What is the garden south of?
72,garden, kitchen,0.0,What is the bedroom south of?
73,bathroom,2,0.0,What is north of the office?
74,bathroom,,0.0,What is the hallway north of?
75,bedroom,1,0.0,What is south of the hallway?
76,bedroom, bathroom,0.0,What is the hallway east of?
77,bathroom,5 deg.,0.0,What is north of the office?
78,kitchen,,0.0,What is east of the garden?
79,hallway, office,0.0,What is the kitchen south of?
80,garden, The garden,1.0,What is west of the office?
81,office,1,0.0,What is the bedroom west of?
82,kitchen, The bathroom,0.0,What is the hallway south of?
83,garden,1,0.0,What is the office west of?
84,bathroom,1,0.0,What is north of the hallway?
85,office, office,1.0,What is west of the garden?
86,office, office,1.0,What is west of the garden?
87,garden, kitchen,0.0,What is east of the bathroom?
88,bathroom, bathroom,1.0,What is north of the office?
89,kitchen, The hallway,0.0,What is the bedroom west of?
90,office, office,1.0,What is the bathroom south of?
91,office, office,1.0,What is east of the bedroom?
92,bedroom, hallway,0.0,What is south of the office?
93,bathroom, bedroom,0.0,What is the garden west of?
94,garden, kitchen,0.0,What is the bedroom west of?
95,hallway, Hallway,1.0,What is north of the garden?
96,bedroom, bedroom,1.0,What is the kitchen west of?
97,kitchen, The garden is west of the bedroom.,0.0,What is west of the bedroom?
98,bathroom,1,0.0,What is the kitchen north of?
99,garden, south,0.0,What is the office north of?
100,bedroom,1863,0.0,What is east of the hallway?
101,kitchen,592 ft,0.0,What is south of the hallway?
102,bedroom,1,0.0,What is the office west of?
103,bathroom, the garden,0.0,What is the kitchen north of?
104,hallway,1,0.0,What is west of the bedroom?
105,bedroom,1,0.0,What is west of the kitchen?
106,office, the bedroom,0.0,What is the kitchen south of?
107,bathroom, bedroom,0.0,What is west of the garden?
108,bedroom, bedroom,1.0,What is the bathroom south of?
109,bathroom, bedroom,0.0,What is the kitchen west of?
110,garden, bathroom,0.0,What is the hallway west of?
111,hallway, the hallway,1.0,What is the kitchen south of?
112,office, office,1.0,What is south of the bathroom?
113,hallway, The garden,0.0,What is the office west of?
114,bedroom,,0.0,What is the kitchen north of?
115,office,1,0.0,What is the garden east of?
116,bedroom, The office,0.0,What is the hallway south of?
117,bedroom, bedroom,1.0,What is the garden west of?
118,hallway,1,0.0,What is north of the office?
119,office, office,1.0,What is west of the hallway?
120,bedroom, bedroom,1.0,What is the bathroom north of?
