,target,output,result,question
0,office, The milk was not in the garden before the garden.,0.0,Where was the milk before the garden? 
1,bedroom," Before the hallway, the football was in the living room.",0.0,Where was the football before the hallway? 
2,office, The milk was at the lady's house before John took it to the bathroom.,0.0,Where was the milk before the bathroom? 
3,bathroom, The football was in the hallway before Daniel left it there.,0.0,Where was the football before the hallway? 
4,bathroom, The football was in the garden.,0.0,Where was the football before the garden? 
5,garden, The football was in the office before the office began.,0.0,Where was the football before the office? 
6,office, The milk was in the fridge.,0.0,Where was the milk before the garden? 
7,bathroom, The milk was in the basement.,0.0,Where was the milk before the hallway? 
8,office, The apple was in the hallway.,0.0,Where was the apple before the hallway? 
9,hallway, In the living room.,0.0,Where was the football before the kitchen? 
10,hallway, The milk was in the gleaming cans that were being unloaded by men on the other side of,0.0,Where was the milk before the bedroom? 
11,garden, In the fridge.,0.0,Where was the milk before the office? 
12,bathroom, In the store.,0.0,Where was the apple before the kitchen? 
13,bedroom," Before the bathroom, the football was on the floor.",0.0,Where was the football before the bathroom? 
14,garden, In the fridge.,0.0,Where was the milk before the office? 
15,bedroom, The milk was at the door.,0.0,Where was the milk before the garden? 
16,office," Before the hallway, the apple was in the kitchen.",0.0,Where was the apple before the hallway? 
17,garden," Before the bathroom, the apple was in the kitchen.",0.0,Where was the apple before the bathroom? 
18,hallway, The apple was on the table before the bedroom.,0.0,Where was the apple before the bedroom? 
19,garden," Before the bathroom, the apple was in the kitchen.",0.0,Where was the apple before the bathroom? 
20,bathroom, The milk was in the basement.,0.0,Where was the milk before the bedroom? 
21,garden, In the hallway,0.0,Where was the football before the hallway? 
22,office, The apple was on the table in the living room.,0.0,Where was the apple before the kitchen? 
23,bathroom, The milk was in the refrigerator.,0.0,Where was the milk before the office? 
24,bedroom, In the basement.,0.0,Where was the milk before the office? 
25,kitchen, There was perfume burned before the office began.,0.0,Where was the apple before the office? 
26,garden, The football was in the play-room.,0.0,Where was the football before the bedroom? 
27,garden, In the kitchen.,0.0,Where was the apple before the bathroom? 
28,hallway, It was in the cans.,0.0,Where was the milk before the office? 
29,kitchen, The milk was in the kitchen.,1.0,Where was the milk before the bedroom? 
30,office, The football was in the living room before it was moved to the bedroom.,0.0,Where was the football before the bedroom? 
31,bedroom, The milk was in the truck.,0.0,Where was the milk before the hallway? 
32,garden, It was in the fridge.,0.0,Where was the milk before the office? 
33,hallway, The football was in the living room before John picked it up and took it to the bathroom.,0.0,Where was the football before the bathroom? 
34,bathroom, The apple was in John's hand before he dropped it in the bedroom.,0.0,Where was the apple before the bedroom? 
35,garden, Daniel grabbed the milk.,0.0,Where was the milk before the office? 
36,hallway, The apple was left by Mary.,0.0,Where was the apple before the garden? 
37,kitchen, It was in the basement.,0.0,Where was the milk before the office? 
38,garden, The apple was on the table before the bathroom.,0.0,Where was the apple before the bathroom? 
39,kitchen, The milk was in the glass before the garden.,0.0,Where was the milk before the garden? 
40,bathroom, The apple was on the table before the maid.,0.0,Where was the apple before the hallway? 
41,kitchen, The football was in the garden.,0.0,Where was the football before the garden? 
42,garden, The apple was in Daniel's hand before he discarded it in the bathroom.,0.0,Where was the apple before the bathroom? 
43,bathroom, The football was in the office before it was dropped.,0.0,Where was the football before the office? 
44,garden, It was in the basement.,0.0,Where was the milk before the hallway? 
45,kitchen, The apple was in the garden.,0.0,Where was the apple before the garden? 
46,hallway, The milk was in the kitchen before it was taken by Sandra.,0.0,Where was the milk before the bathroom? 
47,bathroom, The apple was in the kitchen.,0.0,Where was the apple before the office? 
48,garden, The milk was at the door.,0.0,Where was the milk before the office? 
49,garden," The apple was in the States, probably in Ohio.",0.0,Where was the apple before the office? 
50,garden, The apple was in front of the gate.,0.0,Where was the apple before the office? 
51,garden, It was in the kitchen.,0.0,Where was the milk before the bedroom? 
52,bathroom, The football was in the sitting room.,0.0,Where was the football before the kitchen? 
53,garden, The apple was in the living room before the hallway.,0.0,Where was the apple before the hallway? 
54,bathroom," It was a large old-fashioned garden, separated on the further side by a low hedge from the",0.0,Where was the football before the garden? 
55,bedroom, The milk was in the cans that the milkman was unloading.,0.0,Where was the milk before the hallway? 
56,kitchen, The milk was in the kitchen before it was grabbed by Sandra.,1.0,Where was the milk before the bathroom? 
57,bathroom, The apple was in Mary's hand.,0.0,Where was the apple before the garden? 
58,office, Sandra picked it up from the store.,0.0,Where was the milk before the kitchen? 
59,hallway, The football was in the bathroom before Daniel took it.,0.0,Where was the football before the bathroom? 
60,bedroom, The apple was in the living room.,0.0,Where was the apple before the bathroom? 
61,office," Before the hallway, the football was in the living room.",0.0,Where was the football before the hallway? 
62,garden, The milk was at the lady's house before Mary grabbed it.,0.0,Where was the milk before the hallway? 
63,bathroom, Daniel took the football.,0.0,Where was the football before the office? 
64,bathroom, The apple was in the living room.,0.0,Where was the apple before the kitchen? 
65,bathroom," Before the hallway, the milk was at the doorstep.",0.0,Where was the milk before the hallway? 
66,garden, It was in the refrigerator.,0.0,Where was the milk before the office? 
67,bathroom," Before the hallway, the football was with Mary.",0.0,Where was the football before the hallway? 
68,hallway, The milk was at the farm.,0.0,Where was the milk before the kitchen? 
69,office," Before the garden, the milk was in the fridge.",0.0,Where was the milk before the garden? 
70,bathroom," Before the hallway, the football was in the living room.",0.0,Where was the football before the hallway? 
71,kitchen, In the fridge.,0.0,Where was the milk before the office? 
72,garden, The football was in the bedroom before Mary got it.,0.0,Where was the football before the bedroom? 
73,hallway, The football was in the bedroom.,0.0,Where was the football before the bedroom? 
74,bedroom, The milk was in the fridge.,0.0,Where was the milk before the garden? 
75,hallway, Daniel left the milk.,0.0,Where was the milk before the kitchen? 
76,bathroom, The football was in the sitting room.,0.0,Where was the football before the kitchen? 
77,office, The football was in the field.,0.0,Where was the football before the garden? 
78,bathroom, The milk was in the kitchen.,0.0,Where was the milk before the bedroom? 
79,kitchen, The milk was at the store.,0.0,Where was the milk before the office? 
80,office, The milk was at the door before the bathroom.,0.0,Where was the milk before the bathroom? 
81,office, The milk was in the refrigerator before it was dropped in the bathroom.,0.0,Where was the milk before the bathroom? 
82,hallway," Mary picked up the milk.

John left the milk.",0.0,Where was the milk before the bedroom? 
83,office, The apple was in front of the gate.,0.0,Where was the apple before the garden? 
84,garden, The milk was in the basement.,0.0,Where was the milk before the bedroom? 
85,bedroom, The milk was in the office before the office began.,0.0,Where was the milk before the office? 
86,bedroom, The football was in the office.,0.0,Where was the football before the office? 
87,hallway, In the basement.,0.0,Where was the milk before the office? 
88,garden," Before the hallway, the football was in the front yard.",0.0,Where was the football before the hallway? 
89,bathroom, In the milkman's truck.,0.0,Where was the milk before the office? 
90,office, The milk was at the farm.,0.0,Where was the milk before the kitchen? 
91,kitchen, The milk was in the fridge.,0.0,Where was the milk before the office? 
92,bathroom, The milk was in the gleaming cans.,0.0,Where was the milk before the kitchen? 
93,bedroom, The football was in the bathroom before Mary travelled to the bathroom.,0.0,Where was the football before the bathroom? 
94,kitchen, The milk was in the fridge.,0.0,Where was the milk before the garden? 
95,office," Before the hallway, the football was in the hallway.",0.0,Where was the football before the hallway? 
96,office, The milk was in the kitchen.,0.0,Where was the milk before the bathroom? 
97,garden," Before the hallway, the football was in Sandra's hands.",0.0,Where was the football before the hallway? 
98,garden, The football was in the bedroom before Mary got it.,0.0,Where was the football before the bedroom? 
99,garden, The apple was in the kitchen.,0.0,Where was the apple before the kitchen? 
