,target,output,result,question
0,office, Mary is in the bedroom.,0.0,Where is Mary? 
1,kitchen, I don't know.  I don't know.  I don't know.  I don,0.0,Where is Sandra? 
2,bathroom, Daniel Carvel lives in the United States.,0.0,Where is Daniel? 
3,bedroom, John is in the bedroom.,1.0,Where is John? 
4,bedroom, John is in the kitchen.,0.0,Where is John? 
5,bedroom, Daniel is in the kitchen.,0.0,Where is Daniel? 
6,garden, John is in the garden.,1.0,Where is John? 
7,kitchen, Mary is in the kitchen.,1.0,Where is Mary? 
8,hallway, Sandra went to the hallway.,1.0,Where is Sandra? 
9,kitchen, Mary is in the kitchen.,1.0,Where is Mary? 
10,bathroom, Daniel is in the garden.,0.0,Where is Daniel? 
11,bathroom, Sandra is in the bathroom.,1.0,Where is Sandra? 
12,office, John is in the office.,1.0,Where is John? 
13,kitchen," I thought he was in California, but he is in London.",0.0,Where is John? 
14,bedroom, Sandra went back to the bedroom.,1.0,Where is Sandra? 
15,bedroom, John is in the bedroom.,1.0,Where is John? 
16,kitchen, Daniel is in the kitchen.,1.0,Where is Daniel? 
17,hallway, Daniel is in the office.,0.0,Where is Daniel? 
18,bedroom, Mary moved to the bedroom.,1.0,Where is Mary? 
19,office, Sandra is in the garden.  Sandra is in the garden.  Sandra is in the garden,0.0,Where is Sandra? 
20,kitchen, Daniel is in the garden.,0.0,Where is Daniel? 
21,garden, She is in the garden.,1.0,Where is Sandra? 
22,bathroom, Mary is in the bathroom.,1.0,Where is Mary? 
23,garden, Sandra is in the kitchen.,0.0,Where is Sandra? 
24,office, Mary is in the kitchen.,0.0,Where is Mary? 
25,garden, John is in London.,0.0,Where is John? 
26,bathroom, John C.,0.0,Where is John? 
27,hallway, Daniel is in the bathroom.,0.0,Where is Daniel? 
28,office, Mary is in the office.,1.0,Where is Mary? 
29,office, She's in the kitchen.,0.0,Where is Sandra? 
30,hallway, Daniel is in the garden.,0.0,Where is Daniel? 
31,hallway, John is in the bedroom.,0.0,Where is John? 
32,office, Daniel is in the office.,1.0,Where is Daniel? 
33,kitchen," I have not heard from her since she left
home.  I have not seen her since she",0.0,Where is Mary? 
34,office, John is in the door.,0.0,Where is John? 
35,garden, Sandra is in the garden.,1.0,Where is Sandra? 
36,office, I don't know.  I don't know.  I don't know.  I,0.0,Where is Sandra? 
37,hallway, Daniel is in the kitchen.,0.0,Where is Daniel? 
38,garden, Daniel is in the garden.,1.0,Where is Daniel? 
39,bathroom, John is in the bathroom.,1.0,Where is John? 
40,office, John is in London.,0.0,Where is John? 
41,kitchen, Mary is in the hallway.,0.0,Where is Mary? 
42,garden, Mary is in the garden.,1.0,Where is Mary? 
43,bathroom, She's in the bathroom.,1.0,Where is Sandra? 
44,office, Daniel is in the office.,1.0,Where is Daniel? 
45,bedroom, She is in the bedroom.,1.0,Where is Mary? 
46,bedroom," She is in the house.

Where is the house?  It is in the village.

Where",0.0,Where is Mary? 
47,hallway, Daniel moved to the bedroom.,0.0,Where is Daniel? 
48,garden, Sandra went to the garden.,1.0,Where is Sandra? 
49,office," I don't know.  I
don't know.

SABINA

        ST.

I",0.0,Where is Sandra? 
50,bedroom, Mary is in the bedroom.,1.0,Where is Mary? 
51,kitchen," I don't know.  I
haven't seen her since she left the house this morning.

",0.0,Where is Sandra? 
52,kitchen, Sandra is in the kitchen.,1.0,Where is Sandra? 
53,garden, Daniel is in the garden.,1.0,Where is Daniel? 
54,garden, Sandra is in the bedroom.,0.0,Where is Sandra? 
55,hallway, Daniel is in the bathroom.,0.0,Where is Daniel? 
56,hallway, Daniel is in the hallway.,1.0,Where is Daniel? 
57,office," I don't know.  She's not here.

SABINA

She's not here?",0.0,Where is Sandra? 
58,bedroom, Daniel Carvel?,0.0,Where is Daniel? 
59,hallway, John is in the hallway.,1.0,Where is John? 
60,hallway, Daniel is in the hallway.,1.0,Where is Daniel? 
61,office,1. Daniel went to the office. 2. Daniel went back to the bedroom. 3,1.0,Where is Daniel? 
62,garden," I don't know.  She's gone.""

""Where has she gone?""

""I don't know",0.0,Where is Sandra? 
63,kitchen, John is in the city.,0.0,Where is John? 
