,target,output,result,question
0,kitchen, The football was in the garden.,0.0,Where was the football before the garden? 
1,bathroom, The apple was in the kitchen.,0.0,Where was the apple before the kitchen? 
2,kitchen, The apple was in the garden.,0.0,Where was the apple before the garden? 
3,garden, The apple was in the kitchen.,0.0,Where was the apple before the bedroom? 
4,kitchen, The football was in the living room before it was moved to the bathroom.,0.0,Where was the football before the bathroom? 
5,office," Before the hallway, the football was in Daniel's hands.",0.0,Where was the football before the hallway? 
6,garden, The apple was in the kitchen.,0.0,Where was the apple before the bathroom? 
7,office, The milk was in the kitchen before it was taken to the bathroom.,0.0,Where was the milk before the bathroom? 
8,hallway," Before the bathroom, the apple was in the kitchen.",0.0,Where was the apple before the bathroom? 
9,kitchen, The milk was in the fridge before Mary picked it up.,0.0,Where was the milk before the garden? 
10,kitchen, The milk was at the farm before it was delivered to the bedroom.,0.0,Where was the milk before the bedroom? 
11,garden," Before the hallway, the football was in the yard.",0.0,Where was the football before the hallway? 
12,hallway, The milk was in the fridge before it was taken to the kitchen.,0.0,Where was the milk before the kitchen? 
13,bedroom," Before Mary moved to the bathroom, the apple was in the possession of John.",0.0,Where was the apple before the bathroom? 
14,bedroom, The apple was in the kitchen.,0.0,Where was the apple before the bathroom? 
15,kitchen," Before the office, the milk was in the fridge.",0.0,Where was the milk before the office? 
16,bedroom, The milk was in the fridge before it was taken by Sandra.,0.0,Where was the milk before the kitchen? 
17,bathroom, The football was in the kitchen.,0.0,Where was the football before the kitchen? 
18,garden," Before the office, the milk was in the fridge.",0.0,Where was the milk before the office? 
19,bathroom, The football was in the living room before it was taken by Mary and moved to the bedroom.,0.0,Where was the football before the bedroom? 
20,kitchen," Before the office, the milk was at John's house.",0.0,Where was the milk before the office? 
21,kitchen, The apple was in the garden.,0.0,Where was the apple before the garden? 
22,bedroom, The milk was at the store before the office.,0.0,Where was the milk before the office? 
23,hallway, The apple was in the bedroom before John left it there.,0.0,Where was the apple before the bedroom? 
24,bedroom, The apple was in the kitchen.,0.0,Where was the apple before the kitchen? 
25,bathroom," Before the hallway, the apple was in the kitchen.",0.0,Where was the apple before the hallway? 
26,bathroom, The milk was at the store before the office.,0.0,Where was the milk before the office? 
27,office, The football was in the bedroom before it was left there.,0.0,Where was the football before the bedroom? 
28,bedroom," Before the hallway, the football was in the room.",0.0,Where was the football before the hallway? 
29,kitchen, The apple was in John's hand.,0.0,Where was the apple before the bedroom? 
30,hallway, The football was in the bathroom before John picked it up.,0.0,Where was the football before the bathroom? 
31,kitchen, The milk was in the fridge before it was dropped in the garden.,0.0,Where was the milk before the garden? 
32,office," Before the garden, the milk was in the kitchen.",0.0,Where was the milk before the garden? 
33,bedroom, The milk was in the fridge before it was taken to the garden.,0.0,Where was the milk before the garden? 
34,hallway, The football was in the living room before it was moved to the bedroom.,0.0,Where was the football before the bedroom? 
35,hallway, The apple was in Daniel's hand before he dropped it in the bathroom.,0.0,Where was the apple before the bathroom? 
36,office," Before the bathroom, the milk was in the refrigerator.",0.0,Where was the milk before the bathroom? 
37,garden, The football was in the bedroom before it was left.,0.0,Where was the football before the bedroom? 
38,office, The milk was in the kitchen before it was put down by Mary.,0.0,Where was the milk before the kitchen? 
39,garden, The milk was in the kitchen.,0.0,Where was the milk before the bedroom? 
40,hallway, The football was with John before he travelled to the bathroom.,0.0,Where was the football before the bathroom? 
