,target,output,result,question
0,bedroom, hallway,0.0,What is the bathroom east of?
1,kitchen, headquarters,0.0,What is south of the office?
2,garden,1,0.0,What is north of the office?
3,garden,1,0.0,What is the bedroom north of?
4,garden,20,0.0,What is the bathroom south of?
5,office, office,1.0,What is north of the bedroom?
6,bathroom,1,0.0,What is north of the garden?
7,bedroom, nothing,0.0,What is west of the office?
8,kitchen, bedroom,0.0,What is the garden south of?
9,bathroom,20,0.0,What is the hallway north of?
10,bedroom,12th Street,0.0,What is south of the hallway?
11,office,238,0.0,What is east of the bedroom?
12,hallway, the hallway,1.0,What is north of the garden?
13,bedroom,1,0.0,What is the garden west of?
14,hallway, hallway,1.0,What is east of the bathroom?
15,bathroom,1,0.0,What is the office west of?
16,bathroom,1,0.0,What is west of the bedroom?
17,kitchen, kitchen,1.0,What is north of the hallway?
18,bathroom,1,0.0,What is south of the kitchen?
19,office, office,1.0,What is south of the bedroom?
20,bedroom, bathroom,0.0,What is west of the hallway?
21,office, office,1.0,What is east of the bedroom?
22,bedroom, kitchen,0.0,What is the hallway south of?
23,kitchen,1,0.0,What is west of the bedroom?
24,bedroom,1,0.0,What is south of the bathroom?
25,hallway,13 ft,0.0,What is west of the bathroom?
26,office,20.,0.0,What is south of the hallway?
27,bedroom,238,0.0,What is east of the office?
28,garden, office,0.0,What is west of the bathroom?
29,kitchen, bedroom,0.0,What is the garden north of?
30,office, office,1.0,What is east of the garden?
31,bathroom, vestibule,0.0,What is south of the hallway?
32,garden, The garden,1.0,What is east of the office?
33,bedroom, The garden,0.0,What is south of the hallway?
34,garden, kitchen,0.0,What is the hallway east of?
35,kitchen, kitchen,1.0,What is south of the hallway?
36,bathroom, sitting room,0.0,What is the kitchen west of?
37,kitchen, kitchen,1.0,What is the bathroom west of?
38,bathroom,2,0.0,What is the garden south of?
39,bedroom, bedroom,1.0,What is the garden south of?
40,bedroom, bedroom,1.0,What is west of the bathroom?
41,garden, The garden,1.0,What is west of the office?
42,bathroom, bathroom,1.0,What is west of the hallway?
43,hallway,60,0.0,What is north of the kitchen?
44,bathroom, kitchen,0.0,What is the hallway north of?
45,office,592 ft,0.0,What is the bedroom south of?
46,kitchen, The garden,0.0,What is west of the office?
47,bedroom,592 ft.,0.0,What is south of the office?
48,office,1,0.0,What is the kitchen east of?
49,hallway, hallway,1.0,What is south of the bathroom?
50,hallway, hallway,1.0,What is east of the bathroom?
51,bathroom, the kitchen,0.0,What is the office south of?
52,office, office,1.0,What is the hallway east of?
53,kitchen,,0.0,What is the bedroom south of?
54,kitchen, The hallway is west of the kitchen.,1.0,What is the hallway west of?
55,bathroom,2.6%,0.0,What is the bedroom east of?
56,bedroom, bedroom,1.0,What is the kitchen south of?
57,office, bedroom,0.0,What is the kitchen west of?
58,kitchen, office,0.0,What is the hallway south of?
59,office, kitchen,0.0,What is the bedroom east of?
60,bathroom, bathroom,1.0,What is east of the kitchen?
61,kitchen, hallway,0.0,What is the bathroom south of?
62,bedroom,2 doors,0.0,What is the kitchen north of?
63,kitchen, bedroom,0.0,What is the garden east of?
64,kitchen, kitchen,1.0,What is south of the hallway?
65,kitchen,,0.0,What is the garden east of?
66,hallway, hallway,1.0,What is north of the garden?
67,garden,1,0.0,What is the bedroom south of?
68,garden, bathroom,0.0,What is the hallway south of?
69,office, office,1.0,What is west of the kitchen?
70,bedroom,238,0.0,What is east of the office?
71,hallway,592 ft,0.0,What is south of the kitchen?
72,bedroom, hallway,0.0,What is east of the garden?
73,bedroom,,0.0,What is west of the kitchen?
74,kitchen, bathroom,0.0,What is the office west of?
75,bathroom, kitchen,0.0,What is the bedroom west of?
76,office, office,1.0,What is the bathroom south of?
77,hallway, hallway,1.0,What is north of the garden?
78,bathroom, The garden,0.0,What is west of the bedroom?
79,kitchen, office,0.0,What is the bedroom north of?
80,bedroom,1.93,0.0,What is the kitchen east of?
81,garden, The bedroom,0.0,What is the bathroom east of?
82,hallway, the bedroom,0.0,What is the garden west of?
83,kitchen, south,0.0,What is the office north of?
84,bedroom, office,0.0,What is east of the bathroom?
85,kitchen, hallway,0.0,What is the garden east of?
86,kitchen, garden,0.0,What is the hallway west of?
87,bathroom, bathroom,1.0,What is east of the garden?
88,hallway,60,0.0,What is the office north of?
89,bathroom, bathroom,1.0,What is east of the office?
90,bathroom, bathroom,1.0,What is north of the garden?
91,hallway, hallway,1.0,What is east of the bedroom?
92,kitchen, kitchen,1.0,What is south of the hallway?
93,hallway,1,0.0,What is north of the garden?
94,kitchen, The hallway,0.0,What is the bathroom west of?
95,bathroom, bedroom,0.0,What is the garden north of?
96,bathroom,1,0.0,What is south of the bedroom?
97,bathroom,1,0.0,What is west of the bedroom?
98,bedroom, The kitchen,0.0,What is the hallway south of?
99,kitchen,250,0.0,What is north of the bedroom?
