,target,output,result,question
0,hallway, Mary got the milk there.,0.0,Where is the milk? 
1,hallway, John got the football there.,0.0,Where is the football? 
2,hallway, It is there.,0.0,Where is the football? 
3,hallway, The football is there.,0.0,Where is the football? 
4,garden, Mary got the milk there.,0.0,Where is the milk? 
5,garden, Sandra put it there.,0.0,Where is the milk? 
6,bedroom, The football is in the office.,0.0,Where is the football? 
7,bedroom, It is there.,0.0,Where is the milk? 
8,kitchen, The football is in the office.,0.0,Where is the football? 
9,kitchen, It is in the corner.,0.0,Where is the football? 
10,bedroom, Mary picked up the football there.,0.0,Where is the football? 
11,hallway, The football is in the office.,0.0,Where is the football? 
12,garden, The milk is in the kitchen.,0.0,Where is the milk? 
13,garden, The milk is in the kitchen.,0.0,Where is the milk? 
14,bathroom, Mary took the apple there.,0.0,Where is the apple? 
15,garden, The milk is in the kitchen.,0.0,Where is the milk? 
16,garden, The milk is in the garden.,1.0,Where is the milk? 
17,garden, The milk is in the bathroom.,0.0,Where is the milk? 
18,kitchen," He waited a few minutes longer, and then said:

""Well, wouldn't you better let me",0.0,Where is the apple? 
19,kitchen, The apple is in the garden.,0.0,Where is the apple? 
20,bedroom, The apple is on the table.,0.0,Where is the apple? 
21,bedroom, The apple is in the kitchen.,0.0,Where is the apple? 
22,bathroom, The football is on the bench under the old elm.,0.0,Where is the football? 
23,bathroom, The football is on the ground.,0.0,Where is the football? 
24,bedroom, The milk is there.,0.0,Where is the milk? 
25,kitchen, The milk is in the kitchen.,1.0,Where is the milk? 
26,kitchen, The milk is in the kitchen.,1.0,Where is the milk? 
27,bathroom, The apple is on the table.,0.0,Where is the apple? 
28,bathroom, The apple is there.,0.0,Where is the apple? 
29,kitchen, The milk is on the counter.,0.0,Where is the milk? 
30,garden, Mary got the apple there.,0.0,Where is the apple? 
31,garden, The apple is on the floor.,0.0,Where is the apple? 
32,kitchen, Mary left the football there.,0.0,Where is the football? 
33,kitchen, The apple is there.,0.0,Where is the apple? 
34,kitchen, The apple is there.,0.0,Where is the apple? 
35,office, The milk is in the kitchen.,0.0,Where is the milk? 
36,kitchen, John took the football there.,0.0,Where is the football? 
37,kitchen, The football is there.,0.0,Where is the football? 
38,kitchen, The football is at the stadium.,0.0,Where is the football? 
39,bedroom, The milk is in the kitchen.,0.0,Where is the milk? 
40,bedroom, The milk is in the kitchen.,0.0,Where is the milk? 
41,office, Mary put the milk in the refrigerator.,0.0,Where is the milk? 
42,office, Mary put the milk on the table.,0.0,Where is the milk? 
43,office, John left the milk.,0.0,Where is the milk? 
44,kitchen, Mary picked it up there.,0.0,Where is the apple? 
45,bedroom, Mary put it in the fridge.,0.0,Where is the milk? 
46,office, John took the football there.,0.0,Where is the football? 
47,bathroom, John travelled to the bathroom.,1.0,Where is the football? 
48,bathroom, The football is at the house.,0.0,Where is the football? 
49,bedroom, Mary picked up the milk there.,0.0,Where is the milk? 
50,bathroom, The milk is at the journey's end.,0.0,Where is the milk? 
51,hallway, John grabbed the apple there.,0.0,Where is the apple? 
52,kitchen, The football is at the college party from the East.,0.0,Where is the football? 
53,kitchen, Sandra put down the football.,0.0,Where is the football? 
54,kitchen, Sandra put down the football.,0.0,Where is the football? 
55,bathroom, The apple is on the table.,0.0,Where is the apple? 
56,bathroom, The milk is on the table.,0.0,Where is the milk? 
57,kitchen, The milk is there.,0.0,Where is the milk? 
