,target,output,result,question
0,bathroom, The most recent location of Mary is bathroom.,1.0,Where is Mary? 
1,kitchen, The most recent location of Sandra is the kitchen.,1.0,Where is Sandra? 
2,kitchen, The most recent location of Mary is the kitchen.,1.0,Where is Mary? 
3,kitchen, The most recent location of John is the kitchen.,1.0,Where is John? 
4,bedroom, The most recent location of Sandra is bedroom.,1.0,Where is Sandra? 
5,office, The most recent location of John is office.,1.0,Where is John? 
6,garden, The most recent location of Mary is the bedroom.,0.0,Where is Mary? 
7,bathroom, The most recent location of Sandra is bathroom.,1.0,Where is Sandra? 
8,kitchen, The most recent location of Mary is kitchen.,1.0,Where is Mary? 
9,bedroom, The most recent location of John is the bedroom.,1.0,Where is John? 
10,office, The most recent location of Daniel is kitchen.,0.0,Where is Daniel? 
11,office, The most recent location of Daniel is Meade's headquarters.,0.0,Where is Daniel? 
12,bathroom, The most recent location of Mary is the garden.,0.0,Where is Mary? 
13,bathroom, The most recent location of Sandra is kitchen.,0.0,Where is Sandra? 
14,bathroom, The most recent location of Sandra is kitchen.,0.0,Where is Sandra? 
15,hallway, The most recent location of Mary is the office.,0.0,Where is Mary? 
16,kitchen, The most recent location of Sandra is bathroom.,0.0,Where is Sandra? 
17,office, The most recent location of Daniel is the kitchen.,0.0,Where is Daniel? 
18,kitchen, The most recent location of Sandra is the Stephens' home.,0.0,Where is Sandra? 
19,bedroom, The most recent location of John is the bathroom.,0.0,Where is John? 
20,hallway, The most recent location of Sandra is the kitchen.,0.0,Where is Sandra? 
21,bedroom, The most recent location of Mary is bedroom.,1.0,Where is Mary? 
22,bedroom, The most recent location of John is the bathroom.,0.0,Where is John? 
23,bedroom, The most recent location of Mary is bedroom.,1.0,Where is Mary? 
24,bedroom, The most recent location of Mary is bedroom.,1.0,Where is Mary? 
25,garden, The most recent location of Mary is the hallway.,0.0,Where is Mary? 
26,bedroom, The most recent location of Daniel is bedroom.,1.0,Where is Daniel? 
27,office, The most recent location of Sandra is the office.,1.0,Where is Sandra? 
28,office, The most recent location of Sandra is office.,1.0,Where is Sandra? 
29,garden, The most recent location of Sandra is garden.,1.0,Where is Sandra? 
30,garden, The most recent location of Daniel is garden.,1.0,Where is Daniel? 
31,bathroom, The most recent location of Mary is the bathroom.,1.0,Where is Mary? 
32,office, The most recent location of Mary is office.,1.0,Where is Mary? 
33,kitchen, The most recent location of Sandra is bathroom.,0.0,Where is Sandra? 
34,garden, The most recent location of Sandra is bathroom.,0.0,Where is Sandra? 
35,kitchen, The most recent location of Susan Lasco is BAR.,0.0,Where is Sandra? 
36,kitchen, The most recent location of Sandra is the kitchen.,1.0,Where is Sandra? 
37,garden, The most recent location of John is London.,0.0,Where is John? 
38,garden, The most recent location of Sandra is the garden.,1.0,Where is Sandra? 
39,bathroom, The most recent location of Sandra is kitchen.,0.0,Where is Sandra? 
40,bedroom, The most recent location of Mary is bathroom.,0.0,Where is Mary? 
41,kitchen, The most recent location of Sandra is the kitchen.,1.0,Where is Sandra? 
42,office, The most recent location of Mary is office.,1.0,Where is Mary? 
43,bedroom, The most recent location of Mary is the kitchen.,0.0,Where is Mary? 
44,office,1. The most recent location of Daniel is kitchen.,0.0,Where is Daniel? 
45,office, The most recent location of Sandra is bathroom.,0.0,Where is Sandra? 
46,bathroom, The most recent location of Sandra is the garden.,0.0,Where is Sandra? 
47,bedroom, The most recent location of Sandra is garden.,0.0,Where is Sandra? 
48,office, The most recent location of Daniel is office.,1.0,Where is Daniel? 
49,bedroom, The most recent location of Pierre is bedroom.,1.0,Where is Sandra? 
50,hallway, The most recent location of Daniel is hallway.,1.0,Where is Daniel? 
51,bedroom, The most recent location of Sandra is the bedroom.,1.0,Where is Sandra? 
52,office, The most recent location of Pierre is unknown.,0.0,Where is John? 
53,garden, The most recent location of John is garden.,1.0,Where is John? 
54,kitchen, The most recent location of Daniel is the kitchen.,1.0,Where is Daniel? 
55,hallway, The most recent location of Mary is the hallway.,1.0,Where is Mary? 
56,hallway, The most recent location of Sandra is the bedroom.,0.0,Where is Sandra? 
57,hallway, The most recent location of John M. is garden.,0.0,Where is John? 
58,bedroom, The most recent location of Mary is the kitchen.,0.0,Where is Mary? 
59,bedroom, The most recent location of Sandra is bedroom.,1.0,Where is Sandra? 
60,bedroom, The most recent location of Daniel is bedroom.,1.0,Where is Daniel? 
61,kitchen, The most recent location of Sandra is garden.,0.0,Where is Sandra? 
62,bedroom, The most recent location of Daniel is Danville.,0.0,Where is Daniel? 
63,garden, The most recent location of John is the office.,0.0,Where is John? 
64,bathroom, The most recent location of Sandra is bathroom.,1.0,Where is Sandra? 
65,garden, The most recent location of Sandra is the garden.,1.0,Where is Sandra? 
66,office, The most recent location of Daniel is the office.,1.0,Where is Daniel? 
67,bedroom, The most recent location of Mary is kitchen.,0.0,Where is Mary? 
68,garden, The most recent location of Sandra is garden.,1.0,Where is Sandra? 
69,bathroom, The most recent location of Sandra is bathroom.,1.0,Where is Sandra? 
70,office, The most recent location of John is office.,1.0,Where is John? 
71,kitchen, The most recent location of Daniel is bathroom.,0.0,Where is Daniel? 
72,bedroom, The most recent location of John is bedroom.,1.0,Where is John? 
73,office, The most recent location of Daniel is the office.,1.0,Where is Daniel? 
74,bathroom, The most recent location of Sandra is bathroom.,1.0,Where is Sandra? 
75,office, The most recent location of John is the kitchen.,0.0,Where is John? 
76,hallway, The most recent location of Mary is hallway.,1.0,Where is Mary? 
77,office, The most recent location of John is office.,1.0,Where is John? 
78,office, The most recent location of Sandra is office.,1.0,Where is Sandra? 
79,bathroom, The most recent location of John is the balcony.,0.0,Where is John? 
80,hallway, The most recent location of John is the President's left.,0.0,Where is John? 
81,hallway, The most recent location of Daniel is hallway.,1.0,Where is Daniel? 
82,hallway, The most recent location of Daniel is garden.,0.0,Where is Daniel? 
83,bathroom, The most recent location of Daniel is bathroom.,1.0,Where is Daniel? 
84,bathroom, The most recent location of John is kitchen.,0.0,Where is John? 
85,bathroom, The most recent location of Daniel is bathroom.,1.0,Where is Daniel? 
86,garden, The most recent location of John is America.,0.0,Where is John? 
87,bedroom, The most recent location of John is garden.,0.0,Where is John? 
88,office, The most recent location of Mary is office.,1.0,Where is Mary? 
89,garden, The most recent location of Sandra is the garden.,1.0,Where is Sandra? 
90,office, The most recent location of John is office.,1.0,Where is John? 
91,bedroom, The most recent location of Daniel is the hallway.,0.0,Where is Daniel? 
92,hallway, The most recent location of John is garden.,0.0,Where is John? 
93,kitchen, The most recent location of Daniel is the kitchen.,1.0,Where is Daniel? 
94,bedroom, The most recent location of Alan is shop.,0.0,Where is Daniel? 
95,hallway, The most recent location of Sandra is hallway.,1.0,Where is Sandra? 
96,garden, The most recent location of Sandra is bathroom.,0.0,Where is Sandra? 
97,bedroom, The most recent location of John is the bedroom.,1.0,Where is John? 
98,office, The most recent location of John is Essex-house.,0.0,Where is John? 
99,garden, The most recent location of Sandra is garden.,1.0,Where is Sandra? 
