,target,output,question
0,bedroom,"Answer: bedroom

Example:

The bedroom is west of the bathroom. The bedroom is west of the",What is the bathroom east of?
1,bedroom,"Answer: bedroom

Example:

The hallway is west of the kitchen. The bedroom is west of the",What is west of the kitchen?
2,bathroom,"Answer: north

Example:

The garden is north of the kitchen. The bedroom is north of the kitchen.",What is north of the garden?
3,bedroom,"Answer: south

Example:

The kitchen is south of the kitchen. The bedroom is north of the",What is south of the kitchen?
4,bedroom,"Answer: east of the kitchen

Example:

The kitchen is east of the kitchen. The bedroom is",What is east of the kitchen?
5,garden,"Answer: the bathroom

Example:

The garden is west of the bathroom. The bedroom is west of",What is the bathroom west of?
6,kitchen,"The answer was: the garden. The house was west of the bedroom. The

room was east of the",What is east of the bedroom?
7,bathroom,"Answer: the bedroom.

Example:

The garden is north of the bedroom. The bedroom is north",What is the garden south of?
8,kitchen,"Answer: south of the office

Example:

The office is south of the office. The house is",What is south of the office?
9,office,"Answer: east of the garden

Example:

The garden is west of the kitchen. The bedroom is north of",What is east of the hallway?
10,garden,"Answer: north

Example:

The garden is north of the office. The bedroom is north of the",What is north of the office?
11,garden,"Answer: south

Example:

The garden is south of the kitchen. The bedroom is north of the",What is south of the kitchen?
12,bathroom,"Answer: east

Example:

The bedroom is west of the kitchen. The bedroom is west of the",What is east of the kitchen?
13,garden,"Answer:

The garden is west of the kitchen. The bedroom is west of the kitchen. What is west of the",What is west of the kitchen?
14,garden,"Answer: north

Example:

The bedroom is north of the office. The bedroom is north of the",What is north of the bedroom?
15,garden,"Answer: east of the hallway

Example:

The garden is west of the bathroom. The bedroom is",What is east of the hallway?
16,hallway,"Answer: the office

Example:

The office is west of the kitchen. The bedroom is north of",What is east of the office?
17,office,"Answer: south of the bathroom

Example:

The entry is south of the kitchen. The bedroom is",What is south of the bathroom?
18,garden,"Answer: bedroom

Example:

The bedroom is north of the kitchen. The bedroom is north of the",What is the bedroom north of?
19,garden,"Answer: bedroom

Example:

The bedroom is west of the kitchen. What is the bedroom west of",What is the kitchen west of?
20,garden,"Answer: the office west of the office.

Example:

The office is west of the office.",What is the office east of?
21,garden,"Answer: the bathroom

Example:

The bathroom is south of the kitchen. The bedroom is north of",What is the bathroom south of?
22,bathroom,"Answer: north of the kitchen.

Example:

The kitchen is north of the bedroom. The bedroom is north",What is north of the bedroom?
23,bathroom,"Answer: the bedroom

Example:

The bedroom is south of the kitchen. The bedroom is south of",What is the bedroom south of?
24,hallway,"Answer: the bedroom

Example:

The hallway is west of the bedroom. The bedroom is west of",What is the bedroom west of?
25,office,"Answer: east of the bathroom

Example:

The kitchen is west of the bathroom. The bedroom is west of",What is east of the bathroom?
26,office,"Answer: north

Example:

The bedroom is north of the kitchen. The bedroom is north of the",What is north of the bedroom?
27,hallway,"Answer: the bathroom

Example:

The hallway is south of the kitchen. The bedroom is north of",What is west of the bathroom?
28,garden,"Answer: the bathroom

Example:

The bathroom is north of the kitchen. The bedroom is north of",What is the bathroom north of?
29,garden,"Answer: south

Example:

The garden is north of the office. The bedroom is north of the",What is north of the office?
30,bedroom,"Answer: east of the kitchen

Example:

The woods were dark and cold, and the wind was",What is east of the kitchen?
31,kitchen,"Answer: the kitchen

Example:

The kitchen is east of the kitchen. The bedroom is west of",What is the bathroom east of?
32,bathroom,"Answer: south of the garden

Example:

The garden is north of the kitchen. The bedroom is",What is north of the garden?
33,kitchen,"Answer: It's

the

house.

""I'm

going to

call",What is the bedroom west of?
34,bedroom,"Answer: bedroom

Example:

The bedroom is north of the kitchen. The bedroom is north of the",What is the kitchen south of?
35,garden,"Answer: bathroom

Example:

The bathroom is east of the kitchen. The bedroom is west of the",What is the bathroom east of?
36,office,"Answer: south

Example:

The hall is south of the kitchen. The bedroom is north of the",What is south of the hallway?
37,bedroom,"Answer: north

Example:

The room was north of the bathroom. The bedroom was north of the bathroom.",What is north of the bathroom?
38,bedroom,"Answer: the bathroom

Example:

The room was in a large room, with a large",What is the bathroom east of?
39,office,"Answer: south

Example:

The cave is south of the kitchen. The bedroom is north of the kitchen.",What is north of the bedroom?
40,bathroom,"Answer: south

Example:

The hallway is south of the kitchen. The bedroom is north of the",What is south of the kitchen?
41,bedroom,"Answer: the office

Example:

The office is west of the office. The office is west of",What is west of the office?
42,kitchen,"Answer: bedroom

Example:

The bedroom is north of the kitchen. The bedroom is north of the",What is the garden south of?
