,target,output,question
0,hallway,THE BROWNIES' MILK-PULL. [Illustration,Where is the milk? 
1,hallway,"Choices:
- the crib
- the spare room
- the room",Where is the football? 
2,hallway,"""Alfredly to her, and she's, and she's",Where is the football? 
3,hallway,,Where is the football? 
4,garden,"the
    the
    the
    the
    the
    the
    the",Where is the milk? 
5,garden,,Where is the milk? 
6,bedroom,"Output: Daniel journeyed to the garden.

Question: What is the name of",Where is the football? 
7,bedroom,he's.,Where is the milk? 
8,kitchen,"I's, and I's, and I's, and I's, and",Where is the football? 
9,kitchen,,Where is the football? 
10,bedroom,"and
and the
and the
and the
and the",Where is the football? 
11,hallway,,Where is the football? 
12,garden,,Where is the milk? 
13,garden,,Where is the milk? 
14,bathroom,,Where is the apple? 
15,garden,Answer: garden,Where is the milk? 
16,garden,"and Emilius and the
and
and
and
and
and",Where is the milk? 
17,garden,,Where is the milk? 
18,kitchen,,Where is the apple? 
19,kitchen,,Where is the apple? 
20,bedroom,,Where is the apple? 
21,bedroom,,Where is the apple? 
22,bathroom,,Where is the football? 
23,bathroom,"""I's, and
""I's, and
""I's,",Where is the football? 
24,bedroom,,Where is the milk? 
25,kitchen,,Where is the milk? 
26,kitchen,"and the


and the

and.",Where is the milk? 
27,bathroom,,Where is the apple? 
28,bathroom,"and the lesther, and the

and the",Where is the apple? 
29,kitchen,,Where is the milk? 
30,garden,,Where is the apple? 
31,garden,,Where is the apple? 
32,kitchen,,Where is the football? 
33,kitchen,,Where is the apple? 
34,kitchen,,Where is the apple? 
35,office,"and the water, and the water, and the water, and the water,",Where is the milk? 
36,kitchen,,Where is the football? 
37,kitchen,,Where is the football? 
38,kitchen,Context: John grabbed the football there. Daniel went to the office. John left,Where is the football? 
39,bedroom,London the,Where is the milk? 
40,bedroom,,Where is the milk? 
41,office,,Where is the milk? 
42,office,"and I's, and I's, and I's, and I's",Where is the milk? 
43,office,,Where is the milk? 
44,kitchen,,Where is the apple? 
45,bedroom,"I's, and I's, and I's, and I's, and",Where is the milk? 
46,office,,Where is the football? 
47,bathroom,,Where is the football? 
48,bathroom,,Where is the football? 
49,bedroom,,Where is the milk? 
50,bathroom,"Context: Harry was astounded at this information. Ben was exhausted, as though he",Where is the milk? 
51,hallway,,Where is the apple? 
52,kitchen,,Where is the football? 
53,kitchen,"I's. I's, and I'm, and I's, and I",Where is the football? 
54,kitchen,,Where is the football? 
55,bathroom,,Where is the apple? 
56,bathroom,,Where is the milk? 
57,kitchen,"Answer: Daniel went back to the bathroom.

Question: Where is the milk",Where is the milk? 
58,kitchen,,Where is the milk? 
59,bedroom,"and


them, and",Where is the apple? 
60,garden,"""I's
""I's
""I's
""",Where is the milk? 
61,garden,,Where is the milk? 
62,kitchen,,Where is the football? 
63,kitchen,,Where is the football? 
64,kitchen,,Where is the football? 
65,kitchen,,Where is the football? 
66,kitchen,"thusual
and
and



thusual",Where is the football? 
67,bedroom,"and
in the
and
as, and
and
as
in the
and",Where is the milk? 
68,bedroom,"10.
   10.
   110:
   11",Where is the milk? 
69,bedroom,Context: Mary went back to the office. The football was in the hallway.,Where is the football? 
70,garden,"Answer: the garden

Question: What is the name of the man who is the",Where is the apple? 
71,garden,the,Where is the apple? 
72,bathroom,"Context: ""I have looked over the Cape papers; the only thing that is",Where is the apple? 
73,bathroom,"Context: ""I have been told that you are in the Soudan, and I",Where is the apple? 
74,bathroom,"and
and
and
and
and
and

and",Where is the apple? 
75,office,,Where is the apple? 
76,hallway,,Where is the milk? 
77,hallway,Label: hallway,Where is the milk? 
78,hallway,"thought, and the",Where is the milk? 
79,hallway,,Where is the milk? 
80,bathroom,,Where is the football? 
