,target,output,question
0,bedroom,"Label: hallway

<context>
CHAPTER XXIII

THE",What is the bathroom east of?
1,bedroom,Label: bedroom,What is west of the kitchen?
2,bathroom,"Label: hallway

<context>
""Mr Morton,"" said the Duke",What is north of the garden?
3,bedroom,"Label: bedroom

<context>

The hallway is south of the",What is south of the kitchen?
4,bedroom,"Answer: bedroom

Question: What is the name of the person who is in",What is east of the kitchen?
5,garden,"Label: hallway

<example>
The hallway is south of the bath",What is the bathroom west of?
6,kitchen,"Output: garden

<context>
The sun rides high;--I must",What is east of the bedroom?
7,bathroom,Context: The hallway is south of the kitchen. The bedroom is north of the,What is the garden south of?
8,kitchen,"Label: bedroom

<context>
""I'm going to have a",What is south of the office?
9,office,Context: The hallway is south of the kitchen. The bedroom is north of the,What is east of the hallway?
10,garden,Context: The garden is west of the bedroom. The bedroom is west of the,What is north of the office?
11,garden,"Label: garden

<context>
The hallway is south of the kitchen.",What is south of the kitchen?
12,bathroom,Context: The hallway is south of the kitchen. The bedroom is north of the,What is east of the kitchen?
13,garden,"Output: garden

<context>
The hallway is south of the kitchen.",What is west of the kitchen?
14,garden,"Label: garden

<context>
""Tell me, in a word,",What is north of the bedroom?
15,garden,"Output: garden

<context>
""I'm glad you've come",What is east of the hallway?
16,hallway,Context: The hallway is east of the office. The bedroom is north of the,What is east of the office?
17,office,"Label: garden

<context>
The hallway is south of the kitchen.",What is south of the bathroom?
18,garden,"Answer: garden

<context>
The hallway is south of the kitchen.",What is the bedroom north of?
19,garden,"Output: bedroom

<context>
The hallway is south of the kitchen",What is the kitchen west of?
20,garden,"Label: the hallway

<context>
The color fled from her
face",What is the office east of?
21,garden,"Answer: bedroom
</context>

<context>
It doesn't",What is the bathroom south of?
22,bathroom,"Label: bathroom

<context>
""I don't see but what",What is north of the bedroom?
23,bathroom,"Output: hallway

<context>
I'd like to hear him and",What is the bedroom south of?
24,hallway,"Output: hallway

<context>
To minstrel meditation given,",What is the bedroom west of?
25,office,"Label: hallway

<context>
The hallway is south of the kitchen",What is east of the bathroom?
26,office,Context: The hallway is south of the kitchen. The bedroom is north of the,What is north of the bedroom?
27,hallway,"Output: hallway




CHAPTER XII

THE RU",What is west of the bathroom?
28,garden,"Context: It was probably
absurd, but it came like a great wave of comfort",What is the bathroom north of?
29,garden,"Context: ""I know it, Cousin Cyril,"" she murmured, with down",What is north of the office?
30,bedroom,"Label: bedroom




_A Selection from the Catalogue of_ G",What is east of the kitchen?
31,kitchen,"Answer: hallway

<context>
A year since I found my
he",What is the bathroom east of?
32,bathroom,"Label: bedroom

<context>
""I'm going to get a",What is north of the garden?
33,kitchen,"Label: hallway

<context>
""I'm glad you're",What is the bedroom west of?
34,bedroom,"Label: bedroom

<context>
I should like to stop here two or",What is the kitchen south of?
35,garden,Context: The hallway is south of the kitchen. The bedroom is north of the,What is the bathroom east of?
36,office,"Output: bedroom

<context>
""I am glad to see you,",What is south of the hallway?
37,bedroom,Context: The hallway is south of the bathroom. The bedroom is north of,What is north of the bathroom?
38,bedroom,"Label: bedroom

<context>
""The hallway is south of the",What is the bathroom east of?
39,office,Context: The garden is west of the bedroom. The bedroom is west of the,What is north of the bedroom?
40,bathroom,"Label: hallway

<context>
[10] There seems to be",What is south of the kitchen?
41,bedroom,"Label: bedroom

<context>
""Excuse my
eag",What is west of the office?
42,kitchen,"Label: bedroom

<context>
The future
opening before us looked",What is the garden south of?
43,garden,"Label: garden

<example>
The hallway is south of the kitchen.",What is south of the bedroom?
44,garden,"Label: hallway

<context>
The hallway is south of the office",What is the office south of?
45,hallway,"Label: The office is east of the bedroom.

<context>
The",What is the office east of?
46,garden,Context: The garden is west of the bedroom. The bedroom is west of the,What is south of the office?
47,garden,Context: The garden is west of the bedroom. The bedroom is west of the,What is west of the bedroom?
48,garden,"Label: bedroom




CHAPTER XVII.--THE MILLIN",What is east of the hallway?
49,garden,"Answer: bedroom

<context>
“You can’t
believe",What is the office south of?
50,bedroom,"Answer: bedroom

<context>
In the construction of their walls they ad",What is the hallway north of?
51,garden,"Options:
- the garden
 - the hallway
 - the bedroom
 -",What is north of the bathroom?
52,hallway,Context: The hallway is south of the kitchen. The bedroom is north of the,What is the bedroom north of?
53,bathroom,Context: The hallway is south of the kitchen. The bedroom is north of the,What is east of the garden?
54,bathroom,Context: The hallway is south of the kitchen. The bedroom is north of the,What is west of the bedroom?
55,garden,"Label: garden

<context>
Henty has developed for himself a type of",What is east of the hallway?
56,hallway,"Label: the hallway

<context>
But women will sometimes be wilful",What is the bedroom east of?
57,kitchen,"Output: garden

<context>
The smith took courage at the sincer",What is west of the hallway?
58,hallway,"Label: hallway

<context>
""We have heard,"" said he,",What is south of the bedroom?
59,kitchen,"Answer: bedroom
</example>
<example>
The hallway is south",What is the garden north of?
60,hallway,"Answer: hallway

<context>
The hallway is north of the bed",What is the bedroom north of?
61,bedroom,Context: The hallway is south of the kitchen. The bedroom is north of the,What is south of the hallway?
62,kitchen,"Output: bedroom

<context>
The hallway is north of the bed",What is the hallway north of?
63,hallway,"Label: hallway

<context>
""Onawata, the Si",What is west of the bedroom?
64,bedroom,"Label: bedroom

<context>
The hallway is south of the office",What is east of the garden?
65,office,"Context: The Chinese name for the drum is _kou_. [Illustration]

The",What is the bedroom north of?
66,bathroom,"Context: The instruments found at the present day in
Asia are scarcely superior to those",What is the bedroom north of?
67,office,"Output: bedroom

<context>
The hallway is south of the kitchen",What is the garden south of?
68,kitchen,"Context: Into Ruby’s heart a great,
sorrowful regret has come",What is the bathroom west of?
69,garden,"Label: bedroom

<context>
Hattie had been
very exclusive",What is the hallway east of?
70,bathroom,"Label: bathroom

<context>
Hattie came in, red-",What is south of the bedroom?
71,kitchen,"Label: bedroom

<context>
(But the etiquette editors",What is the garden south of?
72,garden,"Answer: hallway
</example>
<example>
The hallway is south",What is the bedroom south of?
73,bathroom,"Label: bedroom

<context>
""I'm going to marry him",What is north of the office?
74,bathroom,Context: The hallway is north of the bedroom. The bedroom is north of,What is the hallway north of?
75,bedroom,"Label: bedroom

<context>
""You see,"" he said gayly",What is south of the hallway?
76,bedroom,Context: The hallway is south of the kitchen. The bedroom is north of the,What is the hallway east of?
77,bathroom,Context: The garden is west of the bedroom. The bedroom is west of the,What is north of the office?
78,kitchen,Answer: bedroom,What is east of the garden?
79,hallway,"Label: bedroom

<context>
Hopps earned the ill-will",What is the kitchen south of?
80,garden,"Label: garden

<context>
She looked at Jessica with
wide-",What is west of the office?
81,office,"Label: garden




  [Illustration: From col. Copyright by",What is the bedroom west of?
82,kitchen,Context: The hallway is south of the kitchen. The bedroom is north of the,What is the hallway south of?
83,garden,Context: The office is east of the garden. The garden is west of the bedroom,What is the office west of?
84,bathroom,"Output: bedroom

<context>
The Church used painting, music and architecture",What is north of the hallway?
85,office,"Output: bedroom

<context>
The office is west of the garden.",What is west of the garden?
86,office,"Context: In the first place, he had interrupted him in his story
at the point",What is west of the garden?
87,garden,Context: The garden is west of the bedroom. The bedroom is west of the,What is east of the bathroom?
88,bathroom,Context: The office is north of the bathroom. The garden is west of the bed,What is north of the office?
89,kitchen,"Output: hallway

<context>
Under the old South African
burgher",What is the bedroom west of?
90,office,Context: The hallway is south of the office. The bathroom is north of the,What is the bathroom south of?
91,office,Context: The hallway is south of the kitchen. The bedroom is north of the,What is east of the bedroom?
92,bedroom,Context: The hallway is south of the office. The bedroom is north of the,What is south of the office?
93,bathroom,Context: The garden is west of the bedroom. The bedroom is west of the,What is the garden west of?
94,garden,Context: The hallway is south of the kitchen. The bedroom is north of the,What is the bedroom west of?
95,hallway,"Label: bedroom

<context>
He
hadn't felt it",What is north of the garden?
96,bedroom,Context: The hall is north of the bedroom. The bedroom is north of the,What is the kitchen west of?
97,kitchen,"Label: garden

<context>
""I have been thinking,"" said I,",What is west of the bedroom?
98,bathroom,"Output: bedroom

<context>
The office is south of the bathroom",What is the kitchen north of?
99,garden,"Context: ""I will; but I can't read very well,"" said he,",What is the office north of?
100,bedroom,Context: The hallway is south of the kitchen. The bedroom is north of the,What is east of the hallway?
101,kitchen,"Label: garden

<context>
The hallway is south of the kitchen.",What is south of the hallway?
102,bedroom,"Output: office

<context>
The hallway is south of the kitchen.",What is the office west of?
103,bathroom,"Output: bedroom

<context>
The pearl fishery is an",What is the kitchen north of?
104,hallway,Context: The garden is west of the bedroom. The bedroom is west of the,What is west of the bedroom?
105,bedroom,"Label: bedroom

<context>
Because
you would be making game",What is west of the kitchen?
106,office,"Output: bedroom

<context>
""I am glad to see you here",What is the kitchen south of?
107,bathroom,Context: The garden is west of the bedroom. The bedroom is west of the,What is west of the garden?
108,bedroom,"Label: bedroom

<context>
""Well,"" continued Alfred at the '",What is the bathroom south of?
109,bathroom,Context: The hallway is south of the kitchen. The bedroom is north of the,What is the kitchen west of?
110,garden,Context: The hallway is south of the kitchen. The bedroom is north of the,What is the hallway west of?
111,hallway,"Output: bedroom

<context>
In England, where the
rich have",What is the kitchen south of?
112,office,"Label: bedroom

<context>
The hallway is south of the kitchen",What is south of the bathroom?
113,hallway,"Answer: the hallway

Context: The hallway is west of the office. The",What is the office west of?
114,bedroom,"Label: bedroom

<context>
The hallway is south of the kitchen",What is the kitchen north of?
115,office,Context: The hallway is south of the kitchen. The bedroom is north of the,What is the garden east of?
116,bedroom,"Answer: bedroom


Question: What is the garden west of?",What is the hallway south of?
