,target,output,question
0,hallway,John is not present in the scene described in the text. The text focuses,Where is John? 
1,bathroom,Mary is dead. She died a little after midnight on the day K.,Where is Mary? 
2,kitchen,Sandra is not mentioned in the given context. The text focuses on the,Where is Sandra? 
3,hallway,Sandra travels to the hallway.,Where is Sandra? 
4,kitchen,Sandra is in the kitchen.,Where is Sandra? 
5,hallway,Sandra is a character in the text who travels to the kitchen.,Where is Sandra? 
6,garden,Sandra is in the hallway.,Where is Sandra? 
7,hallway,Daniel is journeying with the doctor and Moira up the Bow River.,Where is Daniel? 
8,office,Sandra is a character in the text who has traveled to the hallway.,Where is Sandra? 
9,office,Daniel is in the office.,Where is Daniel? 
10,kitchen,Mary is in the kitchen.,Where is Mary? 
11,garden,Mary moved to the kitchen.,Where is Mary? 
12,office,Daniel is a character in the text who had his hair cut short and disgu,Where is Daniel? 
13,bedroom,Mary is in the kitchen.,Where is Mary? 
14,bedroom,Mary is in the bedroom.,Where is Mary? 
15,kitchen,John is an artist and a friend of Shirley's. He is,Where is John? 
16,garden,"John is on a hilltop with Rosendo and Dona Maria, waiting",Where is John? 
17,kitchen,John is not mentioned in the given text. The text focuses on the journey,Where is John? 
18,office,Daniel is not mentioned in the provided text. The text focuses on Frank Mer,Where is Daniel? 
19,kitchen,John is in the kitchen.,Where is John? 
20,hallway,Mary travelled to the hallway.,Where is Mary? 
21,office,John is not mentioned in the provided text. The text discusses Thomas P,Where is John? 
22,office,John is at the office.,Where is John? 
23,hallway,Sandra is traveling to the garden.,Where is Sandra? 
24,bedroom,Daniel moved to the bedroom.,Where is Daniel? 
25,bedroom,Sandra moved to the bedroom.,Where is Sandra? 
26,bedroom,Mary has gone to the bedroom.,Where is Mary? 
27,kitchen,Daniel travelled to the kitchen.,Where is Daniel? 
28,kitchen,Daniel traveled to the kitchen.,Where is Daniel? 
29,kitchen,Daniel is at a party given by Julia Rogers. He is dancing with various,Where is Daniel? 
30,hallway,Sandra is currently residing at the Fifth Avenue Hotel in New York City,Where is Sandra? 
31,office,"John is in India, serving as a magistrate in Sealkote",Where is John? 
32,kitchen,Sandra is a friend of Elsie's who often accompanies her,Where is Sandra? 
33,kitchen,Sandra has moved to the kitchen.,Where is Sandra? 
34,bathroom,"Sandra is at the White Springs Hotel, where she has gone for a",Where is Sandra? 
35,office,"Mary is at the farmhouse, reading her Bible. She is a little",Where is Mary? 
36,bathroom,Mary is a chambermaid at the hotel where Fred is staying. She,Where is Mary? 
37,garden,Mary went back to the bedroom after Fred left the house.,Where is Mary? 
38,kitchen,Sandra moved to the hallway.,Where is Sandra? 
39,bedroom,Daniel is in the hallway.,Where is Daniel? 
40,bathroom,Sandra travelled to the bathroom.,Where is Sandra? 
41,garden,Daniel is in France. It is not clear whether he is still alive or,Where is Daniel? 
42,bathroom,Sandra has fainted after learning the truth about Cyril and Anita,Where is Sandra? 
43,hallway,Daniel is in the bedroom.,Where is Daniel? 
44,garden,Daniel went to the garden.,Where is Daniel? 
