,target,output,question
0,football,,What did Fred give to Jeff? 
1,Fred,Answer: Max Wilson,Who gave the football to Jeff? 
2,football,,What did Fred give to Jeff? 
3,Jeff,,Who did Fred give the football to? 
4,Fred,,Who did Jeff give the football to? 
5,Jeff,Answer: Fred,Who gave the apple? 
6,Bill,Answer: Fred,Who received the apple? 
7,apple,,What did Bill give to Fred? 
8,apple,Answer: Bill gave the apple to Fred.,What did Bill give to Fred? 
9,Fred,Answer: Fred,Who received the apple? 
10,Mary,Answer: Fred,Who received the milk? 
11,milk,Answer: Milk,What did Mary give to Bill? 
12,Bill,Answer: Bill,Who received the milk? 
13,Bill,Answer: Bill,Who did Mary give the milk to? 
14,milk,,What did Mary give to Bill? 
15,Jeff,,Who received the football? 
16,Fred,,Who gave the football to Jeff? 
17,football,,What did Fred give to Jeff? 
18,Jeff,Answer: Jeff,Who received the football? 
19,Mary,,Who gave the milk? 
20,milk,,What did Jeff give to Mary? 
21,Mary,Answer: Bill,Who gave the milk to Jeff? 
22,Mary,,Who gave the milk to Jeff? 
23,Bill,Answer: Bill,Who gave the apple to Jeff? 
24,Jeff,Answer: Gallegher,Who gave the apple? 
25,apple,,What did Jeff give to Fred? 
26,Fred,Answer: Fred,Who received the apple? 
27,Jeff,Answer: Jeff,Who received the apple? 
28,Jeff,Answer: Fred,Who gave the apple? 
29,Fred,Answer: Jeff gave the apple to Fred.,Who did Jeff give the apple to? 
30,Mary,Answer: Mary,Who gave the milk? 
31,Bill,Answer: Bill,Who gave the milk? 
32,Bill,,Who gave the milk to Mary? 
33,milk,Answer: Bill gave the milk to Mary.,What did Bill give to Mary? 
34,apple,,What did Mary give to Fred? 
35,Jeff,Answer: Fred gave the milk to Jeff.,Who did Fred give the milk to? 
36,Jeff,Answer: Jeff,Who did Fred give the milk to? 
37,milk,Answer: The answer to the question is not provided in the given,What did Jeff give to Mary? 
38,milk,,What did Jeff give to Mary? 
39,Fred,,Who gave the apple? 
40,Mary,,Who gave the milk? 
41,milk,,What did Mary give to Fred? 
42,Jeff,Answer: Fred,Who gave the milk? 
43,Fred,Answer: Fred,Who received the milk? 
44,Mary,Answer: Bill grabbed the milk there.,Who gave the milk? 
45,Bill,,Who did Mary give the milk to? 
46,milk,,What did Mary give to Bill? 
47,Mary,,Who gave the milk? 
48,Mary,,Who did Bill give the milk to? 
49,Bill,Answer: Bill,Who gave the milk to Mary? 
50,Mary,Answer: Mary,Who gave the apple to Fred? 
51,Fred,,Who gave the apple to Mary? 
52,apple,,What did Fred give to Mary? 
53,apple,,What did Mary give to Jeff? 
54,apple,,What did Mary give to Jeff? 
55,Fred,Answer: Bill,Who received the football? 
56,football,,What did Bill give to Fred? 
57,Bill,Answer: Fred,Who gave the apple? 
58,Bill,,Who did Mary give the apple to? 
59,Jeff,,Who did Bill give the apple to? 
60,Jeff,Answer: Bill gave the apple to Jeff.,Who did Bill give the apple to? 
61,Bill,,Who gave the apple to Jeff? 
62,Jeff,Answer: Jeff,Who gave the apple to Bill? 
63,Bill,Answer: Bill,Who received the apple? 
64,Mary,,Who gave the milk? 
65,Mary,Answer: Mary,Who gave the apple to Bill? 
66,Bill,Answer: Bill,Who did Mary give the apple to? 
67,Mary,Answer: Bill gave the apple to Mary.,Who did Bill give the apple to? 
68,apple,,What did Bill give to Mary? 
69,Mary,,Who did Bill give the apple to? 
70,apple,Answer: apple,What did Fred give to Jeff? 
71,Jeff,,Who gave the football? 
72,Jeff,,Who gave the football? 
73,apple,,What did Fred give to Bill? 
74,apple,,What did Fred give to Bill? 
75,Fred,,Who gave the football? 
76,Fred,Answer: Fred,Who gave the football? 
77,Mary,Answer: Fred,Who received the football? 
78,Mary,,Who gave the football? 
79,football,Answer: Apple,What did Mary give to Fred? 
80,milk,,What did Fred give to Jeff? 
81,milk,Answer: Fred gave the apple to Jeff.,What did Fred give to Jeff? 
82,Fred,Answer: Fred,Who did Jeff give the milk to? 
83,milk,,What did Jeff give to Fred? 
84,Jeff,,Who gave the milk to Fred? 
85,Fred,Answer: Mary gave the apple to Fred.,Who did Mary give the apple to? 
86,Fred,Answer: Fred,Who gave the apple to Mary? 
87,Mary,Answer: Mary,Who gave the apple? 
88,Jeff,Answer: Mary gave the apple to Fred.,Who did Mary give the apple to? 
89,Jeff,,Who received the football? 
90,football,,What did Mary give to Jeff? 
91,Mary,,Who received the football? 
92,Mary,,Who gave the football? 
93,Jeff,,Who did Mary give the football to? 
94,Bill,,Who did Fred give the apple to? 
95,Jeff,Answer: Mary gave the apple to Jeff.,Who did Mary give the apple to? 
96,Mary,,Who gave the apple to Jeff? 
97,apple,,What did Jeff give to Fred? 
98,Fred,,Who did Jeff give the apple to? 
99,milk,,What did Bill give to Mary? 
100,Bill,,Who did Mary give the apple to? 
101,Bill,Answer: Mary gave the apple to Bill.,Who received the apple? 
102,Fred,,Who gave the apple? 
103,Bill,Answer: Mary,Who gave the apple? 
104,apple,,What did Mary give to Bill? 
105,Jeff,,Who received the milk? 
106,Mary,,Who gave the milk? 
107,Jeff,Answer: Fred,Who did Mary give the milk to? 
108,football,,What did Bill give to Mary? 
109,Mary,Answer: Bill,Who gave the football? 
110,apple,Answer: Jeff gave the football to Mary.,What did Jeff give to Mary? 
111,apple,Answer: Jeff gave the apple to Mary.,What did Jeff give to Mary? 
112,Mary,Answer: Mary,Who gave the apple? 
113,Mary,,Who gave the apple? 
114,Mary,,Who received the apple? 
115,Bill,,Who gave the milk? 
116,milk,,What did Mary give to Bill? 
117,Bill,,Who did Mary give the milk to? 
118,milk,,What did Bill give to Mary? 
119,Mary,Answer: Bill gave the milk to Mary.,Who did Bill give the milk to? 
120,milk,,What did Mary give to Bill? 
121,Mary,Answer: Mary,Who gave the milk? 
