,target,output,question
0,football,,What did Fred give to Jeff? 
1,Fred,"so, so, so, so, so, so, so, so",Who gave the football to Jeff? 
2,football,"left, the same, the, the, the, the, the,",What did Fred give to Jeff? 
3,Jeff,,Who did Fred give the football to? 
4,Fred,Answer: Jeff gave the football to Fred.,Who did Jeff give the football to? 
5,Jeff,"Answer: Jeff gave the apple to Fred.

In this way",Who gave the apple? 
6,Bill,Answer: Fred received the apple.,Who received the apple? 
7,apple,"He knew thet, and he was, and he knew thet,",What did Bill give to Fred? 
8,apple,,What did Bill give to Fred? 
9,Fred,"the
in, the
in, the apple-all the apple-",Who received the apple? 
10,Mary,,Who received the milk? 
11,milk,,What did Mary give to Bill? 
12,Bill,"the
in's, the
in're, the
the",Who received the milk? 
13,Bill,"he, and the, and the, and the, and the, and",Who did Mary give the milk to? 
14,milk,"the, and, and, the, and, and, and, and",What did Mary give to Bill? 
15,Jeff,,Who received the football? 
16,Fred,"""I
""I
""I
""I
""I",Who gave the football to Jeff? 
17,football,"well-all the mosty, her, her, the most, her",What did Fred give to Jeff? 
18,Jeff,he wash. She had. She had. She wash. She,Who received the football? 
19,Mary,"and, and the milk",Who gave the milk? 
20,milk,"s, the, the, the, her, the, her, to",What did Jeff give to Mary? 
21,Mary,"their, the
appar, the
appar, the",Who gave the milk to Jeff? 
22,Mary,,Who gave the milk to Jeff? 
23,Bill,"and, and so, and so, and so, and so,",Who gave the apple to Jeff? 
24,Jeff,,Who gave the apple? 
25,apple,,What did Jeff give to Fred? 
26,Fred,"in the, the, the, the, the, the, the,",Who received the apple? 
27,Jeff,"the
the
the
the
nest, the
nest, the",Who received the apple? 
28,Jeff,,Who gave the apple? 
29,Fred,"y, the, his, his, the, his, the, his",Who did Jeff give the apple to? 
30,Mary,"he, and the
he, and the, and, and, and",Who gave the milk? 
31,Bill,,Who gave the milk? 
32,Bill,"and the milk and
and the door, and the milk, and the",Who gave the milk to Mary? 
33,milk,"A man'rely, and",What did Bill give to Mary? 
34,apple,"he, andy.",What did Mary give to Fred? 
35,Jeff,,Who did Fred give the milk to? 
36,Jeff,Answer: Fred gave the milk to Jeff.,Who did Fred give the milk to? 
37,milk,"Well, the other, the other, the other, the, but,",What did Jeff give to Mary? 
38,milk,"to the unknown, and the unknown, and the unknown, as the,",What did Jeff give to Mary? 
39,Fred,,Who gave the apple? 
40,Mary,,Who gave the milk? 
41,milk,Answer: She gave him a kiss.,What did Mary give to Fred? 
42,Jeff,"well, the",Who gave the milk? 
43,Fred,,Who received the milk? 
44,Mary,,Who gave the milk? 
45,Bill,Answer: Bill.,Who did Mary give the milk to? 
46,milk,"in the
in the
in the",What did Mary give to Bill? 
47,Mary,,Who gave the milk? 
48,Mary,"the, the, his, the, he, he, he,",Who did Bill give the milk to? 
49,Bill,"the, and, and, and, the, and, and,",Who gave the milk to Mary? 
50,Mary,,Who gave the apple to Fred? 
51,Fred,"to which, the, the, the, the, or, or,",Who gave the apple to Mary? 
52,apple,,What did Fred give to Mary? 
53,apple,,What did Mary give to Jeff? 
54,apple,"-some, and-some, and-some-some-some-",What did Mary give to Jeff? 
55,Fred,,Who received the football? 
56,football,,What did Bill give to Fred? 
57,Bill,"away from the, yet, yet, yet, yet, yet, yet",Who gave the apple? 
58,Bill,"to be, the",Who did Mary give the apple to? 
59,Jeff,Answer: Bill gave the apple to Jeff.,Who did Bill give the apple to? 
60,Jeff,,Who did Bill give the apple to? 
61,Bill,sight of the8.,Who gave the apple to Jeff? 
62,Jeff,17000000.,Who gave the apple to Bill? 
63,Bill,"its,its,its,its,its,its,its,its",Who received the apple? 
64,Mary,"and, and, and, and, and, and, and,",Who gave the milk? 
65,Mary,] his Majesty.,Who gave the apple to Bill? 
66,Bill,Answer: Bill.,Who did Mary give the apple to? 
67,Mary,Answer: Bill gave the apple to Mary.,Who did Bill give the apple to? 
68,apple,,What did Bill give to Mary? 
69,Mary,"he can do, and so, and so, and so, and so",Who did Bill give the apple to? 
70,apple,of the most of the most of the most of the most of the most,What did Fred give to Jeff? 
71,Jeff,,Who gave the football? 
72,Jeff,"lately, in his Majesty't
in his Majesty's",Who gave the football? 
73,apple,,What did Fred give to Bill? 
74,apple,"s.
   00000:

hewed.",What did Fred give to Bill? 
75,Fred,Answer: Mary dropped the football.,Who gave the football? 
76,Fred,"I's, and all the
""Well, and she's",Who gave the football? 
77,Mary,"Well, and so much, and so much, and so much, and",Who received the football? 
78,Mary,Answer: Fred passed the football to Mary.,Who gave the football? 
79,football,The,What did Mary give to Fred? 
80,milk,"he, the, and the, and the, and the, and the",What did Fred give to Jeff? 
81,milk,"""Well, and
Well,",What did Fred give to Jeff? 
82,Fred,"mad, and, and, and, and, and, and, and",Who did Jeff give the milk to? 
83,milk,"his, his, his, and to her, his, and his,",What did Jeff give to Fred? 
84,Jeff,"he could. He wasting, he could. He wasting, he",Who gave the milk to Fred? 
85,Fred,"well, who, who, who, in the
he washer",Who did Mary give the apple to? 
86,Fred,"well, the spot, and the",Who gave the apple to Mary? 
87,Mary,,Who gave the apple? 
88,Jeff,"he, which, he, he, which, he, which, he",Who did Mary give the apple to? 
89,Jeff,,Who received the football? 
90,football,"thet, and
"" thet. Thee, and by the",What did Mary give to Jeff? 
91,Mary,,Who received the football? 
92,Mary,Answer: Jeff.,Who gave the football? 
93,Jeff,Answer: Mary gave the football to Jeff.,Who did Mary give the football to? 
94,Bill,,Who did Fred give the apple to? 
95,Jeff,,Who did Mary give the apple to? 
96,Mary,the-r-,Who gave the apple to Jeff? 
97,apple,"in the, and the, and, and, and, and, and",What did Jeff give to Fred? 
98,Fred,"he was, to the, and so, the, and so,",Who did Jeff give the apple to? 
99,milk,"sitting, shewedell of a man's, shewedell",What did Bill give to Mary? 
100,Bill,"Christmas trees, the blue and the green and yellow and the blue and the",Who did Mary give the apple to? 
101,Bill,,Who received the apple? 
102,Fred,,Who gave the apple? 
103,Bill,,Who gave the apple? 
104,apple,"well-ro, the most beautiful, the most beautiful, the most beautiful",What did Mary give to Bill? 
105,Jeff,,Who received the milk? 
106,Mary,,Who gave the milk? 
107,Jeff,,Who did Mary give the milk to? 
108,football,"so, and so, he, and so, he, and so,",What did Bill give to Mary? 
109,Mary,"he, the, his, the, his, the, his, the",Who gave the football? 
110,apple,Answer: Jeff gave the apple to Mary.,What did Jeff give to Mary? 
111,apple,"in the
he, his, and the
he, and she,",What did Jeff give to Mary? 
112,Mary,,Who gave the apple? 
113,Mary,"he, and the
""Well, and the
""Well, and",Who gave the apple? 
114,Mary,"and, he, and
and, he, the",Who received the apple? 
115,Bill,"the
the nightsundy, the
the nights's",Who gave the milk? 
116,milk,Answer: She gave him milk.,What did Mary give to Bill? 
117,Bill,Answer: Mary gave the milk to Bill.,Who did Mary give the milk to? 
118,milk,"Theodore, the, the, and the, the, and, the",What did Bill give to Mary? 
119,Mary,"and so, and so, and so, and so, and so",Who did Bill give the milk to? 
120,milk,"the
the
the
and
and
the
the
the",What did Mary give to Bill? 
121,Mary,Answer: The milk was given by the cow.,Who gave the milk? 
122,Mary,"He, he, and he, and he, and he, and he",Who gave the milk? 
123,Jeff,"she, sheer, sheer, shewilling, sheer,",Who did Bill give the football to? 
124,Bill,,Who gave the football to Jeff? 
125,Jeff,"""


""",Who received the football? 
126,Jeff,Answer: Jeff passed the football to Bill.,Who gave the football to Bill? 
127,football,"alac,et,et non-et,et,et,et",What did Jeff give to Bill? 
128,football,What a,What did Jeff give to Bill? 
129,apple,,What did Fred give to Mary? 
130,Bill,"""someone, and some, and some, and some, and",Who received the apple? 
131,apple,"s because she's, and Mary's because she's because",What did Mary give to Bill? 
132,apple,"I, to be, and to, and Mary, to, and,",What did Mary give to Bill? 
133,apple,"’s heart, and hiss, and hiss, and hiss",What did Jeff give to Mary? 
134,Fred,Answer: Mary passed the apple to Mary.,Who gave the apple? 
135,football,"Shewould, and she was, and she did, and she was",What did Fred give to Jeff? 
136,football,"o, in his, and, and, and, and, and,",What did Fred give to Jeff? 
137,Jeff,"Well, and,Well,Well,Well,Well,Well,Well",Who gave the football? 
138,Fred,,Who did Jeff give the football to? 
139,football,,What did Fred give to Mary? 
140,football,,What did Jeff give to Mary? 
141,Mary,,Who received the football? 
142,football,"He, his, and she, and she, and she, and",What did Mary give to Jeff? 
143,Jeff,"he, and the, and to, he, and the, he,",Who gave the football? 
144,Bill,of the,Who received the apple? 
145,Fred,"s, and, and, and, and, and, and, and",Who received the apple? 
146,Fred,"It,merry,merry",Who received the apple? 
147,Mary,"Oh, she's, and so, and so, and so,",Who did Bill give the football to? 
148,Bill,--it--it--to--it--to--it--to--,Who gave the football to Mary? 
149,Fred,"""some, the, and, the,",Who received the football? 
