Unnamed: 0,target,output,question
0,office,"Options:

- In the kitchen
- In the office
- In the garden
- In the bedroom",Where was the apple before the bathroom? 
1,office,"Options:

- bedroom
- kitchen
- office
- garden
- bathroom
- hallway
-",Where was the apple before the hallway? 
2,office,Answer: Before the hallway the apple was in the bathroom.,Where was the apple before the hallway? 
3,bathroom,"Answer: Before the garden the football was in the hallway.

Question: Where was the milk before the kitchen",Where was the football before the garden? 
4,bathroom,"Options:

- office
- kitchen
- bedroom
- bathroom
- hallway

Answer: office",Where was the football before the garden? 
5,garden,"Options:

1. In the office
2. In the hallway
3. In the kitchen
4",Where was the apple before the bathroom? 
6,kitchen,,Where was the milk before the office? 
7,kitchen,"Answer: The apple was in the kitchen.

Question: Where was the milk before the office?",Where was the apple before the office? 
8,kitchen,"Options:

1. In the office
2. In the kitchen
3. In the garden
4",Where was the apple before the office? 
9,bedroom,"Options:

1. In the office
2. In the kitchen
3. In the hallway
4",Where was the apple before the office? 
10,garden,"Options:

1. In the office
2. In the hallway
3. In the kitchen
4",Where was the apple before the bedroom? 
11,garden,Answer: Before the bedroom the apple was in the kitchen.,Where was the apple before the bedroom? 
12,garden,Answer: The milk was in the kitchen.,Where was the milk before the bathroom? 
13,garden,Answer: The milk was in the kitchen before the bathroom.,Where was the milk before the bathroom? 
14,garden,Answer: The milk was in the kitchen.,Where was the milk before the bathroom? 
15,kitchen,Answer: The football was in the bedroom.,Where was the football before the garden? 
16,kitchen,Options: (A) the office (B) the bedroom (C) the kitchen (D) the bathroom,Where was the football before the garden? 
17,garden,"Answer: Before the bedroom the milk was in the kitchen.

Question: Where was the milk before the kitchen",Where was the milk before the bedroom? 
18,garden,"Options:

1. In the kitchen
2. In the garden
3. In the bathroom
4",Where was the milk before the bedroom? 
19,bedroom,Options: (A) the office (B) the garden (C) the kitchen (D) the bedroom,Where was the football before the bathroom? 
20,garden,"Options:

1. The kitchen
2. The bedroom
3. The bathroom
4. The garden",Where was the football before the hallway? 
21,garden,"Options:

1. In the office
2. In the kitchen
3. In the garden
4",Where was the football before the office? 
22,hallway,"Options:

- A: in the kitchen
- B: in the hallway
- C: in the",Where was the football before the garden? 
23,office,"Answer: Before the kitchen the milk was in the office.

Question: Where was the apple before the kitchen",Where was the milk before the kitchen? 
24,kitchen,Answer: The milk was in the kitchen.,Where was the milk before the bedroom? 
25,bathroom,Answer: The football was in the office.,Where was the football before the bedroom? 
26,office,"Options:

- The garden
- The office
- The hallway
- The kitchen
- The bathroom",Where was the football before the bedroom? 
27,garden,"Answer: The football was in the garden.

Question: Where was the apple before the office?",Where was the football before the office? 
28,garden,"Options:

- In the office
- In the garden
- In the kitchen
- In the bedroom",Where was the football before the office? 
29,garden,"Options:

1. In the office
2. In the kitchen
3. In the bedroom
4",Where was the apple before the office? 
30,bathroom,"Options:

- In the office
- In the kitchen
- In the bathroom
- In the garden",Where was the apple before the hallway? 
31,office,"Answer: Before the kitchen the apple was in the bedroom.

    The Rev. Mr. Warner, of",Where was the apple before the kitchen? 
32,office,"Options:

- In the office
- In the hallway
- In the bathroom
- In the kitchen",Where was the apple before the kitchen? 
33,hallway,"Option A: In the kitchen

 Option B: In the hallway

 Option C: In the office",Where was the milk before the bedroom? 
34,bedroom,"Answer: The milk was in the office before the garden.

Question: Where was the apple before the office",Where was the milk before the garden? 
35,hallway,"Options:

- hallway
- kitchen
- garden
- bedroom

Answer:

kitchen",Where was the apple before the bathroom? 
36,hallway,"Options:

1. The bedroom
2. The hallway
3. The garden
4. The bathroom",Where was the football before the kitchen? 
37,bathroom,"Options:

1. In the kitchen
2. In the office
3. In the garden
4",Where was the apple before the kitchen? 
38,garden,"Option A: in the kitchen

 Option B: in the garden

 Option C: in the bathroom",Where was the apple before the bathroom? 
39,garden,Answer: The apple was in the kitchen.,Where was the apple before the bathroom? 
40,garden,,Where was the football before the hallway? 
41,garden,"Options:

1. The bedroom
2. The office
3. The garden
4. The bathroom",Where was the football before the hallway? 
42,garden,"Option A:  in the kitchen

 Option B:  in the office

 Option C:  in",Where was the milk before the hallway? 
43,hallway,"Answer: The milk was in the kitchen.

Question: Where was the milk after the kitchen?",Where was the milk before the bathroom? 
44,bathroom,Answer: The football was in the office.,Where was the football before the hallway? 
45,bedroom,"Option A: In the kitchen

 Option B: In the bedroom

 Option C: In the bathroom",Where was the apple before the bathroom? 
46,bedroom,"Answer: Before the bathroom the apple was in the garden.

Question: Where was the milk before the kitchen",Where was the apple before the bathroom? 
47,bedroom,"Options:

1. The kitchen
2. The bedroom
3. The hallway
4. The garden",Where was the apple before the bathroom? 
48,bedroom,"Answer: Before the bathroom the apple was in the hallway.

Question: Where was the milk before the hallway",Where was the apple before the bathroom? 
49,bedroom,"Answer: In the kitchen.

Question: Where was the milk before the kitchen?

Answer: In",Where was the milk before the hallway? 
