Unnamed: 0,target,output,question
0,hallway,"Option A:  in the kitchen

 Option B: in the bedroom

 Option C: in the hallway",Where is the milk? 
1,hallway,Answer: The football is in the bedroom.,Where is the football? 
2,hallway,"Answer: The football is in the garden.

Question: Where is the football?

Answer: The",Where is the football? 
3,hallway,"Options: - On the street - In the park - In the house - not enough information

In the house",Where is the football? 
4,garden,Options: (A) In the kitchen (B) In the balcony (C) In the dining room (D,Where is the milk? 
5,garden,"Answer: The milk is in the kitchen.

Question: Where is the milk?

Answer: The",Where is the milk? 
6,bedroom,"Answer: The football is in the kitchen.

Question: Where is the milk?

Answer: The",Where is the football? 
7,bedroom,"Answer: The milk is in the kitchen.

Question: Where is the football?

Answer: The",Where is the milk? 
8,kitchen,"Question: Where is the milk?

  Question: Where is the football?

  Question:",Where is the football? 
9,kitchen,"Options:

  - The bedroom
  - The kitchen
  - The hallway
  - The office",Where is the football? 
10,bedroom,"Option A: in the garden

 Option B: in the kitchen

 Option C: in the bedroom",Where is the football? 
11,hallway,"Options:

1. In the kitchen
2. In the bedroom
3. In the hallway
4",Where is the football? 
12,garden,"Answer: The milk is in the kitchen.

Question: Who put the milk in the kitchen?",Where is the milk? 
13,garden,"Answer: In the kitchen.

Question: Where is the milk?
Answer: In the kitchen.",Where is the milk? 
14,bathroom,"Answer: The apple is in the kitchen.

Question: Where is the football? Answer: The football is in the",Where is the apple? 
15,garden,"Answer: The milk is in the kitchen.

Question: Where is the football?

Answer: The",Where is the milk? 
16,garden,"Answer: The milk is in the kitchen.

Question: Where is the milk?

Answer: The",Where is the milk? 
17,garden,"Answer: In the kitchen.

Question: Where is the kitchen?

Answer: In the back part",Where is the milk? 
18,kitchen,"Answer: In the basket.

_March_ 1.--We have been to the Academy to-night",Where is the apple? 
19,kitchen,"Answer: The apple is in the kitchen.

Question: Where is the milk?

Answer: The",Where is the apple? 
20,bedroom,"Answer: The apple is in the bedroom.

Question: Where is the milk?

Answer: The",Where is the apple? 
21,bedroom,"Answer: The apple is in the kitchen.

Question: Where is the football?

Answer: The",Where is the apple? 
22,bathroom,"Options:

1). The kitchen
2). The hallway
3). The bedroom
4",Where is the football? 
23,bathroom,"Answer: The football is in the hallway.

Question: Where is the milk?

Answer: The",Where is the football? 
24,bedroom,"Options:

1. In the kitchen
2. In the bedroom
3. In the hallway
4",Where is the milk? 
