Unnamed: 0,target,output,question
0,bedroom,,What is the bathroom east of?
1,bedroom,Answer: bedroom,What is west of the kitchen?
2,bathroom,"Answer: The bathroom

Question: What is west of the bedroom?

Answer: The garden",What is north of the garden?
3,bedroom,"Fact: The bedroom is north of the kitchen.

Fact: The kitchen is south of the bathroom.",What is south of the kitchen?
4,bedroom,Answer: bedroom,What is east of the kitchen?
5,garden,,What is the bathroom west of?
6,kitchen,"The answer is ""kitchen"".",What is east of the bedroom?
7,bathroom,,What is the garden south of?
8,kitchen,,What is south of the office?
9,office,Answer: office,What is east of the hallway?
10,garden,Answer: garden,What is north of the office?
11,garden,"Example:
The garden is south of the kitchen.

Example:
The kitchen is south of the garden",What is south of the kitchen?
12,bathroom,,What is east of the kitchen?
13,garden,"Answer: garden

Example:
The bathroom is east of the kitchen. And if you observe, you will",What is west of the kitchen?
14,garden,"Answer: garden

Example:
The bedroom is north of the office. The office is east of the garden",What is north of the bedroom?
15,garden,"Answer: garden

Question: What is south of the kitchen?

Answer: bedroom

Question:",What is east of the hallway?
16,hallway,"Example:

The hallway is east of the office.

Example:

The hallway is west of",What is east of the office?
17,office,Answer: kitchen,What is south of the bathroom?
18,garden,,What is the bedroom north of?
19,garden,"Example:

The bedroom is north of the kitchen. The kitchen is north of the garden. What is the",What is the kitchen west of?
20,garden,,What is the office east of?
21,garden,,What is the bathroom south of?
22,bathroom,,What is north of the bedroom?
23,bathroom,,What is the bedroom south of?
24,hallway,"Answer: office

Example:

The hallway is south of the kitchen. The bedroom is north of the",What is the bedroom west of?
25,office,Answer: office,What is east of the bathroom?
26,office,Answer: hallway,What is north of the bedroom?
27,hallway,Answer: hallway,What is west of the bathroom?
28,garden,,What is the bathroom north of?
29,garden,,What is north of the office?
30,bedroom,Answer: bedroom,What is east of the kitchen?
31,kitchen,,What is the bathroom east of?
32,bathroom,"Fact: The bedroom is north of the garden.

Answer: bedroom

Question: What is south of",What is north of the garden?
33,kitchen,"Answer: hallway









End of the Project Gutenberg EBook of",What is the bedroom west of?
34,bedroom,,What is the kitchen south of?
35,garden,Answer: bedroom,What is the bathroom east of?
36,office,,What is south of the hallway?
37,bedroom,Answer: bedroom,What is north of the bathroom?
38,bedroom,Answer: office,What is the bathroom east of?
39,office,"Answer: office

Example:

The office is south of the kitchen. The bedroom is north of the",What is north of the bedroom?
40,bathroom,"Example:

The hallway is south of the kitchen.

Example:

The hallway is south of",What is south of the kitchen?
41,bedroom,"Fact: The bedroom is west of the office.

Answer: bedroom

Question: What is west of",What is west of the office?
42,kitchen,Answer: kitchen,What is the garden south of?
43,garden,"Fact: The garden is south of the bedroom.

Answer: garden

Question: What is north of",What is south of the bedroom?
44,garden,"Answer: hallway

Question: What is the hallway south of?

Answer: office

Question:",What is the office south of?
45,hallway,,What is the office east of?
46,garden,,What is south of the office?
