Unnamed: 0,target,output,question
0,bathroom,"Answer: She is in the kitchen.

Question: What is the use of the kitchen?

Answer",Where is Mary? 
1,kitchen,"Answer: Sandra is at the hospital.

Question: What is Sandra's condition?",Where is Sandra? 
2,kitchen,"Answer: Mary is in the kitchen.

Question: What is the name of the Colonel's servant?",Where is Mary? 
3,kitchen,"""He is in the Glen,"" she said, ""and he is waiting for me."" ""He is waiting for you?""",Where is John? 
4,bedroom,"Answer: In the Transvaal.

The question was asked by a Boer who was a friend of",Where is Sandra? 
5,office,"""I am dying, and I have no
     time to wait for him."" ""I am dying, and I have",Where is John? 
6,garden,"Answer: Mary is in the kitchen.

Question: What is Mary doing?

Answer: Mary is",Where is Mary? 
7,bathroom,"Answer: Sandra is in the Big Horn Ranch.

Question: What is the name of the Chief",Where is Sandra? 
8,kitchen,"Answer: Mary is in the lone house by the bay.

""I'm going to kill you",Where is Mary? 
9,bedroom,"""He is not here,"" said the smith, ""and I will go to the other church to
see him.""",Where is John? 
10,office,"Answer: Daniel is in the kitchen.

Question: What is the name of the dog?

Answer",Where is Daniel? 
11,office,"Answer: Daniel is in the bathroom.

Question: Where is Mary?

Answer: Mary is",Where is Daniel? 
12,bathroom,"Answer: Mary is in the bathroom.

Question: What is Mary doing?

Answer: Mary",Where is Mary? 
13,bathroom,"Answer: Sandra is in the cottage near Jackson Park Avenue.

Question: What is the name",Where is Sandra? 
14,bathroom,"Answer: Sandra is in the village by the sea.

Question: Where is the village by the sea",Where is Sandra? 
15,hallway,"Answer: Mary is in the hallway.

Question: Where is Mary?

Answer: Mary is",Where is Mary? 
16,kitchen,"Answer: Sandra is in the kitchen.

Question: Where is Daniel?
Answer: Daniel is in the",Where is Sandra? 
17,office,"Answer: He is in the lions' den.

Question: Where is the lion?",Where is Daniel? 
18,kitchen,"Answer: Sandra is in the city.

Chapter L

The city was a great place for L",Where is Sandra? 
19,bedroom,"Answer: John is in the bedroom.

""I will send him to you, my lady, and",Where is John? 
20,hallway,"Answer: Sandra is in the hallway.

Question: What is the name of the housekeeper?",Where is Sandra? 
21,bedroom,"Answer: She is in the castle.

""I am sorry to hear it,"" said the Duke, """,Where is Mary? 
22,bedroom,Answer: John is in the bedroom. Question: What is he doing? Answer: He is lying down. Question:,Where is John? 
23,bedroom,"Answer: Mary is in the house.

Question: Where is the child?

Answer: The child",Where is Mary? 
24,bedroom,Answer: She is at the house of Mrs. Read. Paine said he would go to see her. Paine and,Where is Mary? 
25,garden,"Where is the mother of Jesus? Where is the
woman who was the mother of the Son of God? Where is",Where is Mary? 
26,bedroom,"""He's not here, sir,"" said the auctioneer. ""He's gone to the
s",Where is Daniel? 
27,office,"Answer: Sandra is at home.

Question: What is the name of the eagle?",Where is Sandra? 
28,office,"Answer: Sandra is at the Clifford home.

Question: What is the name of the man",Where is Sandra? 
29,garden,"Answer: Sandra is in the garden.

Question: Where is Sandra?

Answer: Sand",Where is Sandra? 
30,garden,"Answer: In the desert.

""And you and I,"" she added, ""are just the same as",Where is Daniel? 
31,bathroom,"Answer: She is in the Tower.

(51) The story is told (Plutarch,",Where is Mary? 
32,office,"Answer: Mary is in her room.

Question: What is the name of the young noble?",Where is Mary? 
33,kitchen,"Answer: She is in the house.

Question: What is the colour of the flag?

Answer",Where is Sandra? 
34,garden,"Answer: Sandra is in the office.

Question: Where is John?
Answer: John is in the",Where is Sandra? 
35,kitchen,"Answer: Sandra is in the city of Lucknow, India.

Question: What is Sandra",Where is Sandra? 
36,kitchen,"Answer: Sandra is at home.

""I'll go with you, mother.""

""",Where is Sandra? 
37,garden,"Answer: John is in the Clan Chattan.

Question: What is the name of the Clan",Where is John? 
38,garden,"Answer: Sandra is in the garden.

Question: What is the name of the man who was seen",Where is Sandra? 
39,bathroom,"Answer: Sandra is in the kitchen, preparing supper.

Question: What is Sandra doing",Where is Sandra? 
40,bedroom,"Answer: Mary is in the city.

Question: What is the name of the city?

Answer",Where is Mary? 
41,kitchen,"Answer: Sandra is at home.

""I was sent to the front, and I was in the",Where is Sandra? 
42,office,"Answer: Mary is in the village of Kwa.

Question: What is the name of the village where",Where is Mary? 
43,bedroom,"Answer: Mary is in the bedroom.

Question: What is the weather like?

Answer:",Where is Mary? 
44,office,"Answer: Daniel is in the library.

Question: What is the name of the library?

Answer",Where is Daniel? 
45,office,"Answer: Sandra is at the office.

“I’m sure they’ll be glad to help",Where is Sandra? 
46,bathroom,"Answer: She is in the office.

Question: What is the purpose of the chapter?

Answer",Where is Sandra? 
47,bedroom,I was not a little surprised to find that the begum was a girl of about sixteen or seventeen years,Where is Sandra? 
48,office,"Answer: Daniel is in the parlor.

Question: What is the name of the girl?",Where is Daniel? 
49,bedroom,"Answer: Sandra is not mentioned in the provided text.

Question: What is the significance of the red",Where is Sandra? 
50,hallway,"Answer: In the lions' den.

28th July, 1690. I went",Where is Daniel? 
51,bedroom,"Answer: Sandra is in the jail.

Question: What is the name of the girl?",Where is Sandra? 
52,office,"Answer: John is in the office.

Question: Where is the maiden?
Answer: The maiden",Where is John? 
53,garden,"Answer: John is in the hallway.

Question: Where is Mary?
Answer: Mary is in the",Where is John? 
54,kitchen,"Answer: Daniel is in the lion's den.

Question: What is the lion's",Where is Daniel? 
55,hallway,"Answer: Mary is in the hallway.

Question: Where is John?

Answer: John is",Where is Mary? 
56,hallway,"Answer: Sandra is in the bedroom.

Question: Where is Daniel?

Answer: Daniel",Where is Sandra? 
57,hallway,"Answer: John is in the hallway.

Question: Where is Mary?

Answer: Mary is",Where is John? 
58,bedroom,"Answer: She is in the house.

Question: Where is the child?

Answer: He is",Where is Mary? 
59,bedroom,"Answer: Sandra is in the parsonage.

Question: What is the name of the clerg",Where is Sandra? 
60,bedroom,"Answer: He is in the library.

Question: What is he doing?

Answer: He is",Where is Daniel? 
61,kitchen,"Answer: Sandra is in the kitchen.

Question: Where is Daniel?

Answer: Daniel is",Where is Sandra? 
62,bedroom,"""I have not seen him since he left Geralton. I have sent a man to
follow",Where is Daniel? 
63,garden,"""I am not dead, Ailie,"" said Henry, ""but I have been
away a long time, and",Where is John? 
64,bathroom,Answer: Sandra is in the bathroom. Question: Where is the mother? Answer: The mother is in the kitchen,Where is Sandra? 
65,garden,"Answer: Sandra is in the kitchen.

Question: What is the name of the bird that was known",Where is Sandra? 
66,office,"Answer: Daniel is in the room.

Question: Where is Sandra?

Answer: Sandra",Where is Daniel? 
67,bedroom,"Answer: She is at the Wardrobe.

Question: Where is the Queen? Answer: She is at the",Where is Mary? 
68,garden,"Answer: Sandra is in the library.

Question: Where is the library?

Answer: The",Where is Sandra? 
69,bathroom,"Answer: Sandra is in the kitchen.

Question: Where is Sandra?

Answer: Sand",Where is Sandra? 
70,office,"Answer: John is in the Clifford home.

Question: Where is Webb?

Answer",Where is John? 
71,kitchen,"Answer: Daniel is in the kitchen.

Question: Where is Mary?

Answer: Mary is in",Where is Daniel? 
72,bedroom,Answer: In the House of Commons. Question: Where is the other? Answer: In the House of Lords. Question,Where is John? 
73,office,"""The world is not yet ready for the truth. It is not yet ready for the
truth. It",Where is Daniel? 
74,bathroom,"Answer: Sandra is at the lighthouse.

Question: What is the name of the lighth",Where is Sandra? 
75,office,"Answer: In the garden.

Question: Where is Mary?

Answer: In the kitchen.",Where is John? 
76,hallway,"Answer: Mary is in the house.

Question: What is the weather like?

Answer: The",Where is Mary? 
77,office,"Answer: John is in the fort.

[Illustration: THE FORTS OF PETERSBUR",Where is John? 
78,office,"Answer: Sandra is in the hospital.

Question: What is the name of the hospital?",Where is Sandra? 
79,bathroom,"Answer: He is at the Queen Elizabeth.

Question: How much is that?

Answer: One",Where is John? 
80,hallway,"Answer: He is dead. Question: Where is the
captain? Answer: He is dead. Question: Where is",Where is John? 
81,hallway,"Answer: He is in the kitchen.

Question: What is the name of the girl?

Answer",Where is Daniel? 
82,hallway,"Answer: In the mills. Question: Where is the
mill? Answer: In Avon. Question: Where is",Where is Daniel? 
83,bathroom,"Answer: Daniel is in the garden, inspecting the cabbages.

Question: What is Daniel doing",Where is Daniel? 
84,bathroom,"Answer: John is in the United States.

Question: What is the name of the country where John is",Where is John? 
85,bathroom,"""I am here,"" said Stephen, ""and I am
sorry to have disturbed you."" ""I am glad",Where is Daniel? 
86,garden,"Answer: In the Shining Light Chapel.

Question: What is the name of the town?",Where is John? 
87,bedroom,Answer: In the garden.,Where is John? 
88,office,"Answer: She is in the cave.

Question: How did she get there?

Answer: She",Where is Mary? 
89,garden,"Answer: Sandra is in the garden.

Question: What is the name of the girl who is in",Where is Sandra? 
90,office,"""He's in the rear rank, an' he'll be
first to the flag staff, an' he",Where is John? 
91,bedroom,"Answer: He is in the bedroom.

'I'll go and see 'im,' said S",Where is Daniel? 
92,hallway,"""He's in the hospital."" ""I'm going to see him."" ""I'll go with you.""",Where is John? 
93,kitchen,"Answer: In the kitchen.

Question: Where is Sandra?

Answer: In the hallway",Where is Daniel? 
94,bedroom,"Answer: Daniel is in the General Orphan Asylum, up on Twenty-third street.",Where is Daniel? 
95,hallway,"Answer: Sandra is in the church.

Question: What is the name of the girl who is with",Where is Sandra? 
96,garden,"Answer: Sandra is in the garden.

Question: What is the most important factor in the causation of",Where is Sandra? 
97,bedroom,"Answer: John is in the barn.

""I've been thinking, Pauline, that you",Where is John? 
98,office,"Answer: John is in the prison.

Question: What is the reason for his imprisonment?",Where is John? 
99,garden,"Answer: Sandra is not present in the scene described.

Question: What is the cause of poverty",Where is Sandra? 
