Unnamed: 0,target,output,question
0,hallway,"Answer: The milk is in the kitchen.

Question: Where is the screw driver?
Answer: The",Where is the milk? 
1,hallway,"Answer: The football is in the hallway.

Question: Where is the watchcoat?
Answer:",Where is the football? 
2,hallway,"Answer: The football is in the hallway.

Question: Where is the bottle?
Answer: The",Where is the football? 
3,hallway,"Answer: The football is in the hallway.

Question: Where is the milk?
Answer: The milk",Where is the football? 
4,garden,"Answer: The milk is in the hallway.

Question: Where is the football?
Answer: The football",Where is the milk? 
5,garden,"Answer: The milk is in Sandra's hand.

Question: Where is the camera?
Answer:",Where is the milk? 
6,bedroom,"Answer: The football is in the bedroom.

Question: Where is the camera?
Answer: The camera",Where is the football? 
7,bedroom,"Answer: The milk is in the garden.

Question: Where is the guitar?
Answer: The guitar is",Where is the milk? 
8,kitchen,"Answer: The football is in the garden.

Question: Where is the milk?
Answer: The milk is",Where is the football? 
9,kitchen,"Answer: The football is in the kitchen.

Question: Where is the milk?
Answer: The milk is",Where is the football? 
10,bedroom,"Answer: The football is in the bedroom.

Question: Where is the apple?
Answer: The apple",Where is the football? 
11,hallway,"Answer: The football is in the hallway.

Example:
John got the football there. John moved to",Where is the football? 
12,garden,"Answer: The milk is in the hallway.

Example:
John went to the garden. John got the",Where is the milk? 
13,garden,"Answer: The milk is in the bathroom.

Question: Where is the football?
Answer: The football",Where is the milk? 
14,bathroom,"Answer: The apple is in the garden.

Question: Where is the football?
Answer: The football is",Where is the apple? 
15,garden,Answer: The milk is in the garden.,Where is the milk? 
16,garden,"Answer: The milk is in the garden.

Question: Where is the football?
Answer: The football is",Where is the milk? 
17,garden,"Answer: The milk is in the garden.

Question: Where is the football?
Answer: The football is",Where is the milk? 
18,kitchen,"Answer: The apple is in the kitchen.

Example:
John travelled to the garden. John got the",Where is the apple? 
19,kitchen,"Answer: The apple is in the hallway.

[Footnote 022: The shield.--Ver.",Where is the apple? 
20,bedroom,"Answer: The apple is in the kitchen.

Question: Where is the milk?
Answer: The milk is",Where is the apple? 
21,bedroom,"Answer: The apple is in the hallway.

Question: Where is the football?
Answer: The football",Where is the apple? 
22,bathroom,"Answer: The football is in the hallway.

Question: Where is the apple?
Answer: The apple",Where is the football? 
23,bathroom,"Answer: The football is in the kitchen.

Question: Where is the screw driver?
Answer: The",Where is the football? 
24,bedroom,"Answer: The milk is in the kitchen.

Question: Where is the football?
Answer: The football is",Where is the milk? 
25,kitchen,"Answer: The milk is in the kitchen.

Question: Where is the football?
Answer: The football is",Where is the milk? 
26,kitchen,"Answer: The milk is in the kitchen.

Question: Where is the football?
Answer: The football is",Where is the milk? 
27,bathroom,"Answer: The apple is in the garden.

Question: Where is the football?
Answer: The football is",Where is the apple? 
28,bathroom,"Answer: The apple is in the garden.

Question: Where is the football?
Answer: The football is",Where is the apple? 
29,kitchen,"Answer: The milk is in the kitchen.

Question: Where is the football?
Answer: The football is",Where is the milk? 
30,garden,"Answer: The apple is in the garden.

Example:
Charlie went to the kitchen. Charlie got a",Where is the apple? 
31,garden,"Answer: The apple is in the garden.

Example:
Charlie went to the kitchen. Charlie got a",Where is the apple? 
32,kitchen,"Answer: The football is in the garden.

Question: Where is the apple?
Answer: The apple is",Where is the football? 
33,kitchen,"Answer: The apple is in the kitchen.

Question: Where is the football?
Answer: The football is",Where is the apple? 
34,kitchen,"Answer: The apple is in the garden.

Question: Where is the football?
Answer: The football is",Where is the apple? 
35,office,"Answer: The milk is in the hallway.

Question: Where is the screw driver?
Answer:",Where is the milk? 
36,kitchen,"Answer: The football is in the kitchen.

Question: Where is the milk?
Answer: The milk is",Where is the football? 
37,kitchen,"Answer: The football is in the kitchen.

Example:
Charlie went to the kitchen. Charlie got a",Where is the football? 
38,kitchen,"Answer: The football is in the kitchen.

Question: Where is the sock?
Answer: The so",Where is the football? 
39,bedroom,"Answer: The milk is in the bedroom.

Question: Where is the football?
Answer: The football",Where is the milk? 
40,bedroom,"Answer: The milk is in the bedroom.

Example:
Alan moved to the garage. Alan",Where is the milk? 
41,office,"Answer: The milk is in the bedroom.

Question: Where is the goose?
Answer: The",Where is the milk? 
42,office,"Answer: John went to the bedroom.

Question: Where is the spire?
Answer: The old",Where is the milk? 
43,office,"Answer: The milk is in the bedroom.

Example:
John went to the office. Then you '",Where is the milk? 
44,kitchen,"Answer: The apple is in the kitchen.

Question: Where is the football?
Answer: The football is",Where is the apple? 
45,bedroom,"Answer: The milk is in the barn.

Question: Where is the bull-dog?",Where is the milk? 
46,office,"Answer: Sandra took the football there.

Question: Where is the snake?
Answer: The s",Where is the football? 
47,bathroom,"Answer: The football is in the city.

Question: Where is the pocketbook?
Answer: The pocket",Where is the football? 
48,bathroom,"Answer: The football is in the bedroom.

Question: Where is the pocketbook?
Answer: The",Where is the football? 
49,bedroom,"Answer: The milk is in the bedroom.

Question: Where is the football?
Answer: The football",Where is the milk? 
50,bathroom,"Answer: The milk is in the vacant house.

Question: Where is the candy?
Answer:",Where is the milk? 
51,hallway,"Answer: The apple is in the kitchen.

Question: Where is the milk?
Answer: The milk is",Where is the apple? 
52,kitchen,"Answer: The football is in the kitchen.

[#] I.D.B. stands for ""I",Where is the football? 
53,kitchen,"Answer: The football is in the kitchen.

Question: Where is the milk?
Answer: The milk is",Where is the football? 
54,kitchen,"Answer: The football is in the kitchen.

Example:
Charlie went to the kitchen. Charlie got a",Where is the football? 
55,bathroom,"Answer: The apple is in the kitchen.

Question: Where is the screw driver?
Answer: The",Where is the apple? 
56,bathroom,"Answer: The milk is in the office.

Question: Where is the apple?
Answer: The apple is",Where is the milk? 
57,kitchen,"Answer: The milk is in the kitchen.

Question: Where is the apple?
Answer: The apple is",Where is the milk? 
