Unnamed: 0,target,output,question
0,bedroom,"Answer: The bathroom is east of the bedroom.

Question: What is the bedroom west of",What is the bathroom east of?
1,kitchen,Answer: The kitchen is south of the office.,What is south of the office?
2,garden,"Answer: The garden is north of the office.

Question: What is south of the office?
Answer:",What is north of the office?
3,garden,"Answer: The bedroom is north of the kitchen.

Question: What is the name of the island that",What is the bedroom north of?
4,garden,"Answer: The bathroom is south of the kitchen.

Question: What is the kitchen south of?",What is the bathroom south of?
5,office,"Answer: The hallway is north of the bedroom.

Question: What is south of the bedroom",What is north of the bedroom?
6,bathroom,"Answer: The bedroom is north of the garden.

Question: What is south of the garden?",What is north of the garden?
7,bedroom,"Answer: The bathroom is west of the office.




THE MANUFACTURE",What is west of the office?
8,kitchen,"Answer: The garden is south of the kitchen.

Question: What is the age of the husband in the",What is the garden south of?
9,bathroom,"Answer: The hallway is north of the bathroom.

Question: What is the hallway south of",What is the hallway north of?
10,bedroom,"Answer: The bedroom is south of the hallway.

Question: What did Paine do during the",What is south of the hallway?
11,office,"Answer: The office is east of the bedroom.

Question: What is west of the bedroom?",What is east of the bedroom?
12,hallway,"Answer: The garden is north of the kitchen.

Question: What is the name of the boat on the",What is north of the garden?
13,bedroom,"Answer: The garden is west of the mansion house.

Question: What is the name of the young",What is the garden west of?
14,hallway,"Answer: The garden is east of the bathroom.

Question: What is the name of the Indian chief?",What is east of the bathroom?
15,bathroom,"Answer: The office is west of the garden.

Question: What is the garden east of?",What is the office west of?
16,bathroom,"Answer: The kitchen is west of the bedroom.

Question: What did the girl do when she saw",What is west of the bedroom?
17,kitchen,"Answer: The kitchen is north of the hallway.

Question: What is the kitchen like?",What is north of the hallway?
18,bathroom,Answer: The garden is south of the kitchen.,What is south of the kitchen?
19,office,"Answer: The office is south of the bedroom.

Question: What is the name of the mountain system that",What is south of the bedroom?
20,bedroom,Answer: The bedroom is west of the hallway.,What is west of the hallway?
21,office,"Answer: The office is east of the bedroom.

Question: What is west of the bedroom?",What is east of the bedroom?
22,bedroom,"Answer: The hallway is south of the bedroom.

Question: What is the bedroom north of",What is the hallway south of?
23,kitchen,Answer: The kitchen is west of the bedroom.,What is west of the bedroom?
24,bedroom,Answer: The bedroom is south of the bathroom.,What is south of the bathroom?
