Unnamed: 0,target,output,question
0,kitchen,"Answer: The football is in the hall.

Question: Where is the football?

Answer: The",Where is the football? 
1,garden,"Answer: At the door.

     * The following letter is in the writing of John Hall. ""Bordent",Where is the milk? 
2,bedroom,"Answer: The apple is in the kitchen.

Question: Where is the milk?

Answer: The",Where is the apple? 
3,bedroom,"Answer: The apple is in the office.

Question: Where is the milk?

Answer: The",Where is the apple? 
4,kitchen,"Answer: In the Garden of Eden.

Question: Where is the serpent?

Answer:",Where is the apple? 
5,hallway,"Answer: The apple is in the basket.

Question: Where is the basket?

Answer: The",Where is the apple? 
6,kitchen,"Answer: In the kitchen.

Question: Where is the milk? Answer: In the kitchen.

Question:",Where is the milk? 
7,garden,"Answer: The milk is in the kitchen.

""I'll go and fetch it,"" said Cud",Where is the milk? 
8,bedroom,"Answer: In the kitchen.

Question: Where is the milk?

Answer: In the kitchen.",Where is the milk? 
9,bathroom,"""I have it,"" said the page, ""and I will bring it to you."" ""I will not have it,""",Where is the milk? 
10,bathroom,"Answer: In the corner of the room.

Barrington was about to ask a question when the speaker",Where is the football? 
11,bedroom,"Answer: The milk is in the kitchen.

Question: Where is the football?

Answer: The",Where is the milk? 
12,bathroom,"Answer: The apple is in the kitchen.

Question: Where is the milk?

Answer: The",Where is the apple? 
13,kitchen,"Answer: The football is in the kitchen.

Question: What is the name of the baby?",Where is the football? 
14,bedroom,"Answer: The apple is in the kitchen.

Question: Where is the apple?

Answer: The",Where is the apple? 
15,garden,"Answer: The apple is in the bluff.

Question: Where is the apple?

Answer:",Where is the apple? 
16,bedroom,"""I'm going to the city to-morrow,"" he said, in a low tone. ""I'",Where is the football? 
17,bedroom,"""I'll tell you where it is,"" said Barney, ""but I'll
not tell you where I",Where is the apple? 
18,garden,"Answer: In the pail.

Question: Where is the pail?

Answer: In the",Where is the milk? 
19,garden,"Answer: The milk is in the fridge.

Question: Where is the fridge?

Answer",Where is the milk? 
20,office,"Answer: The apple is in the basket.

Question: Where is the apple?

Answer: The",Where is the apple? 
21,bedroom,"""Oh, I forgot,"" said Cissy, ""I'll go and get it."" ""I'll go",Where is the milk? 
22,garden,"Answer: The milk is in the kitchen.

Question: Where is the milk?

Answer: The",Where is the milk? 
23,bathroom,"Answer: In the kitchen.

The question is, where is the milk? The answer is, in the kitchen.",Where is the milk? 
24,office,Answer: In the kitchen.,Where is the apple? 
25,garden,"""I've left it at home,"" said Stephen. ""I'll go and get it."" ""No, sir",Where is the football? 
26,garden,"Answer: The football is in the garden.

Question: Where is the milk?

Answer: The",Where is the football? 
27,bedroom,"Answer: The apple is in the middle of the story.

The Beano Meeting


The",Where is the apple? 
28,hallway,"Answer: The apple is in the basket.

Question: Where is the apple?

Answer: The",Where is the apple? 
29,hallway,"Answer: In the

'The Socialist does not say that he will ""share out"" all the
money",Where is the apple? 
30,hallway,"Answer: In the

Question: Where is the apple?

Answer: In the

Question:",Where is the apple? 
31,garden,"""I'll go and look for it.""

""I'll go and look for it.""",Where is the football? 
32,hallway,Answer: In the boy's hand. Question: What is the boy doing? Answer: Eating the apple. Question,Where is the apple? 
33,kitchen,"Answer: The football is in the hallway.

Question: What is the football made of?",Where is the football? 
34,hallway,"Answer: The milk is in the kitchen.

Question: Where is the apple?

Answer: The",Where is the milk? 
35,kitchen,"Answer: The apple is in the tree.

Question: Where is the cherry?

Answer:",Where is the apple? 
36,office,"Answer: In the pail.

Question: Where is the milk?

Answer: In the p",Where is the milk? 
37,hallway,"Answer: In the garden.

The ""Age of Reason"" is a work of the highest order. It is",Where is the milk? 
38,bathroom,"Answer: The milk is in the refrigerator.

Question: Where is the refrigerator",Where is the milk? 
39,bathroom,"Answer: The milk is in the bedroom.

Question: Where is the milk?

Answer:",Where is the milk? 
40,bathroom,"Answer: The football is in the garden.

Question: Where is the football?

Answer: The",Where is the football? 
41,hallway,Answer: The football is in the garden. Question: Where is the apple? Answer: The apple is in the kitchen.,Where is the football? 
42,garden,"The Fair Maid of Perth, who had been
brought in by the magistrates, was seated in a",Where is the apple? 
43,bedroom,"Answer: The apple is in the basket.

Question: Where is the key?

Answer: The",Where is the apple? 
44,kitchen,"Answer: In the kitchen.

Question: Where is the milk?

Answer: In the kitchen.",Where is the milk? 
45,bedroom,"Answer: In the refrigerator.

Question: Where is the refrigerator?",Where is the milk? 
46,hallway,"Answer: The apple is in the kitchen.

Question: Where is the kitchen?

Answer: The",Where is the apple? 
47,garden,Answer: In the kitchen. Question: Where is the bread? Answer: In the pantry. Question: Where is the,Where is the milk? 
48,kitchen,"""I'll get it,"" said K. ""I'll get it."" He went out into the
yard,",Where is the football? 
49,bathroom,"Answer: The football is in the hands of the little girl who is guiding Morton.

Question:",Where is the football? 
50,garden,"Answer: In the bathroom.

Question: Where is the bathroom?
Answer: In the kitchen.",Where is the milk? 
51,bedroom,"""I'll do them all, and more, if you will marry me!"" ""I'll marry you, Mr",Where is the apple? 
52,hallway,"""I'll get it for you,"" said Donovan, with a sneer. ""I'll get it",Where is the milk? 
53,hallway,Answer: In the kitchen. Question: Where is the milk? Answer: In the kitchen. Question: Where is the milk,Where is the milk? 
54,office,"Answer: The milk is in the kitchen.

Question: Where is the milk?
Answer: The milk is",Where is the milk? 
55,kitchen,"Answer: The apple is in the kitchen.

Question: Where is the milk?

Answer: The",Where is the apple? 
56,bathroom,"The milk is in the pantry.

    The milk is in the pantry.",Where is the milk? 
57,bathroom,"Answer: In the kitchen.

'I will go myself,' said Lady Monmouth, 'and see what is the",Where is the milk? 
58,office,"Answer: The football is in the garden.

Question: Where is the garden?

Answer: The",Where is the football? 
59,garden,"Answer: The football is in the hallway.

Question: Where is the apple?

Answer:",Where is the football? 
60,kitchen,"Answer: The apple is in the kitchen.

Senna, use of, in pseudo-memb",Where is the apple? 
61,bathroom,"Answer: The apple is in the basket.

Question: Where is the basket?

Answer: The",Where is the apple? 
62,garden,"Answer: The football is in the garden.

Question: Where is the football?

Answer: The",Where is the football? 
63,bathroom,"""I have not seen it,"" said Edith, ""but I will look for it."" ""I will go and fetch",Where is the milk? 
64,bathroom,"""I'll get it,"" said Sidney. ""I'll get it myself."" ""I'll go with",Where is the milk? 
65,hallway,"Answer: The milk is in the refrigerator.

Question: Where is the milk?",Where is the milk? 
66,bedroom,"Answer: The football is in the backyard.

Question: Where is the backyard?

Answer",Where is the football? 
67,garden,"Answer: The football is in the garden.

Question: Where is the garden?

Answer: The",Where is the football? 
68,bedroom,"Answer: The football is in the smith's hand.

Question: Where is the smith?",Where is the football? 
69,bathroom,"Answer: The apple is in the basin.

Question: What is the bolus?

Answer",Where is the apple? 
70,garden,"""I'll go and get it,"" he ses, and he went out and got it. ""I'm sorry",Where is the milk? 
71,office,"Answer: The milk is in the refrigerator.

Question: What is the milk for?",Where is the milk? 
72,office,"Answer: The football is in the garden.

Question: Where is the apple?

Answer: The",Where is the football? 
73,hallway,"Answer: The football is in the hands of the man who is playing with it.

Question: Where is",Where is the football? 
74,garden,"Answer: The football is in the hallway.

Question: Where is the football?

Answer:",Where is the football? 
75,office,"Answer: In the cave. ""I will not,"" said Morton, ""be so unjust to myself, or to",Where is the milk? 
76,kitchen,"Answer: The football is in the garden.

Question: Where is the apple?

Answer: The",Where is the football? 
77,office,"Answer: In the kitchen. ""I'll go and get it."" ""No, no, I'll get it",Where is the milk? 
78,kitchen,"Answer: The apple is in the basket.

""And I'll have a pearl necklace",Where is the apple? 
79,kitchen,"""I'll go and get it,"" said the doctor,
rising. ""I'll be back in a",Where is the football? 
80,office,"Answer: The football is in the garden.

Question: Where did Mary go?
Answer: Mary went to",Where is the football? 
81,kitchen,"Answer: The apple is in the basket.

Question: Where is the basket?
Answer: The basket is",Where is the apple? 
82,office,"Answer: The apple is in the basket.

'But,' said Millbank, 'I do not think that",Where is the apple? 
83,bathroom,"Answer: The football is in the hallway.

Question: Where is the football?

Answer:",Where is the football? 
84,bathroom,"Answer: The football is not mentioned in the text.

Question: What is the history of the basil",Where is the football? 
85,office,"Answer: In the kitchen.

Question: Where is the milk?

Answer: In the kitchen.",Where is the milk? 
86,bathroom,"""Here,"" said Smith, ""but I am afraid it is not hot enough."" ""I will heat it for you,""",Where is the apple? 
87,bedroom,"Answer: Sandra dropped the milk there.

Question: What did the commissary on duty say when",Where is the milk? 
88,hallway,"""I have it here,"" replied the Alcalde, ""and I will
pay you for it."" ""I will",Where is the apple? 
89,bedroom,"Answer: Mary discarded the milk.

Question: Where is the football?

Answer: Sandra",Where is the milk? 
90,bedroom,"Where is the serpent? Where is the tree? Where is the
garden? Where is the woman? Where is",Where is the apple? 
91,bathroom,"Answer: In the hallway.



CHAPTER XXI



The next morning Dan was",Where is the football? 
92,bedroom,"Answer: The football is in the end zone.

Question: What is the name of the football team?",Where is the football? 
93,bedroom,"Answer: The football is in the hands of the <DW64>s.

Question: What",Where is the football? 
94,bedroom,"Answer: The apple is in the basket.

Question: Where is the basket?

Answer: The",Where is the apple? 
95,kitchen,"Answer: The football is in the Quarter.

Question: Where is the football?

Answer:",Where is the football? 
96,garden,"Answer: The milk is in the refrigerator.

Question: Where is the refrigerator",Where is the milk? 
97,office,"Answer: The milk is in the kitchen.

Question: Where is the milk?

Answer: The",Where is the milk? 
98,bedroom,Answer: In the bedroom. Question: Where is the milk? Answer: In the bedroom. Question: Where is,Where is the milk? 
99,kitchen,"Answer: In the kitchen.

The apple is in the kitchen.

The apple is in the kitchen.",Where is the apple? 
