target,output,question
football,football,What did Jeff give to Mary? 
fred,fred,Who gave the apple? 
fred,fred,Who received the apple? 
fred,fred,Who received the football? 
jeff,jeff,Who received the apple? 
bill,bill,Who gave the milk to Jeff? 
bill,bill,Who did Mary give the football to? 
fred,fred,Who received the apple? 
mary,mary,Who did Fred give the apple to? 
apple,apple,What did Mary give to Bill? 
apple,apple,What did Mary give to Fred? 
bill,bill,Who gave the football? 
fred,fred,Who gave the apple? 
football,football,What did Jeff give to Fred? 
mary,mary,Who gave the football to Fred? 
apple,apple,What did Fred give to Bill? 
bill,bill,Who did Fred give the milk to? 
mary,mary,Who did Bill give the milk to? 
bill,bill,Who gave the milk? 
fred,fred,Who gave the football to Mary? 
