target,output,question
kitchen,kitchen,Where is the football? 
garden,garden,Where is the milk? 
bedroom,bedroom,Where is the apple? 
bedroom,bedroom,Where is the apple? 
kitchen,kitchen,Where is the apple? 
hallway,hallway,Where is the apple? 
kitchen,kitchen,Where is the milk? 
garden,garden,Where is the milk? 
bedroom,bedroom,Where is the milk? 
bathroom,bathroom,Where is the milk? 
bathroom,bathroom,Where is the football? 
bedroom,bedroom,Where is the milk? 
bathroom,bathroom,Where is the apple? 
kitchen,kitchen,Where is the football? 
bedroom,bedroom,Where is the apple? 
garden,garden,Where is the apple? 
bedroom,bedroom,Where is the football? 
bedroom,bedroom,Where is the apple? 
garden,garden,Where is the milk? 
garden,garden,Where is the milk? 
