target,output,question
office,office,Where was the milk before the garden? 
bedroom,bedroom,Where was the football before the hallway? 
office,office,Where was the milk before the bathroom? 
bathroom,bathroom,Where was the football before the hallway? 
bathroom,bathroom,Where was the football before the garden? 
garden,garden,Where was the football before the office? 
office,office,Where was the milk before the garden? 
bathroom,bathroom,Where was the milk before the hallway? 
office,office,Where was the apple before the hallway? 
hallway,hallway,Where was the football before the kitchen? 
hallway,hallway,Where was the milk before the bedroom? 
garden,garden,Where was the milk before the office? 
bathroom,bathroom,Where was the apple before the kitchen? 
bedroom,bedroom,Where was the football before the bathroom? 
garden,garden,Where was the milk before the office? 
bedroom,bedroom,Where was the milk before the garden? 
office,office,Where was the apple before the hallway? 
garden,garden,Where was the apple before the bathroom? 
hallway,hallway,Where was the apple before the bedroom? 
garden,garden,Where was the apple before the bathroom? 
