target,output,question
hallway,hallway,Where is the milk? 
bathroom,bathroom,Where is the milk? 
bedroom,bedroom,Where is the milk? 
bathroom,bathroom,Where is the apple? 
office,office,Where is the football? 
office,office,Where is the apple? 
garden,garden,Where is the football? 
office,office,Where is the apple? 
office,office,Where is the football? 
garden,garden,Where is the football? 
bedroom,bedroom,Where is the football? 
kitchen,kitchen,Where is the milk? 
office,office,Where is the football? 
bathroom,bathroom,Where is the milk? 
bedroom,bedroom,Where is the apple? 
bathroom,bathroom,Where is the apple? 
garden,garden,Where is the football? 
kitchen,kitchen,Where is the milk? 
bedroom,bedroom,Where is the football? 
office,office,Where is the milk? 
