target,output,question
kitchen,kitchen,Where was the football before the garden? 
bathroom,bathroom,Where was the apple before the kitchen? 
kitchen,kitchen,Where was the apple before the garden? 
garden,garden,Where was the apple before the bedroom? 
kitchen,kitchen,Where was the football before the bathroom? 
office,office,Where was the football before the hallway? 
garden,garden,Where was the apple before the bathroom? 
office,office,Where was the milk before the bathroom? 
hallway,hallway,Where was the apple before the bathroom? 
kitchen,kitchen,Where was the milk before the garden? 
kitchen,kitchen,Where was the milk before the bedroom? 
garden,garden,Where was the football before the hallway? 
hallway,hallway,Where was the milk before the kitchen? 
bedroom,bedroom,Where was the apple before the bathroom? 
bedroom,bedroom,Where was the apple before the bathroom? 
kitchen,kitchen,Where was the milk before the office? 
bedroom,bedroom,Where was the milk before the kitchen? 
bathroom,bathroom,Where was the football before the kitchen? 
garden,garden,Where was the milk before the office? 
bathroom,bathroom,Where was the football before the bedroom? 
