target,output,question
bedroom,bedroom,What is the bathroom east of?
kitchen,kitchen,What is south of the office?
garden,garden,What is north of the office?
garden,garden,What is the bedroom north of?
garden,garden,What is the bathroom south of?
office,office,What is north of the bedroom?
bathroom,bathroom,What is north of the garden?
bedroom,bedroom,What is west of the office?
kitchen,kitchen,What is the garden south of?
bathroom,bathroom,What is the hallway north of?
bedroom,bedroom,What is south of the hallway?
office,office,What is east of the bedroom?
hallway,hallway,What is north of the garden?
bedroom,bedroom,What is the garden west of?
hallway,hallway,What is east of the bathroom?
bathroom,bathroom,What is the office west of?
bathroom,bathroom,What is west of the bedroom?
kitchen,kitchen,What is north of the hallway?
bathroom,bathroom,What is south of the kitchen?
office,office,What is south of the bedroom?
