target,output,question
kitchen,kitchen,Where was the football before the garden? 
garden,garden,Where was the football before the hallway? 
office,office,Where was the football before the hallway? 
kitchen,kitchen,Where was the apple before the office? 
garden,garden,Where was the milk before the hallway? 
hallway,hallway,Where was the milk before the office? 
kitchen,kitchen,Where was the milk before the office? 
hallway,hallway,Where was the football before the kitchen? 
garden,garden,Where was the milk before the hallway? 
kitchen,kitchen,Where was the milk before the bedroom? 
office,office,Where was the football before the kitchen? 
kitchen,kitchen,Where was the milk before the office? 
bedroom,bedroom,Where was the milk before the kitchen? 
kitchen,kitchen,Where was the football before the garden? 
kitchen,kitchen,Where was the football before the garden? 
hallway,hallway,Where was the milk before the kitchen? 
hallway,hallway,Where was the apple before the office? 
bathroom,bathroom,Where was the apple before the office? 
hallway,hallway,Where was the apple before the bedroom? 
bedroom,bedroom,Where was the milk before the office? 
