target,output,question
garden,garden,What is the bathroom south of?
bedroom,bedroom,What is west of the kitchen?
office,office,What is the garden south of?
bedroom,bedroom,What is south of the bathroom?
bedroom,bedroom,What is the garden south of?
kitchen,kitchen,What is the office north of?
hallway,hallway,What is the office south of?
office,office,What is east of the kitchen?
kitchen,kitchen,What is east of the office?
bathroom,bathroom,What is the bedroom south of?
bedroom,bedroom,What is south of the hallway?
office,office,What is the hallway north of?
kitchen,kitchen,What is the bedroom south of?
bathroom,bathroom,What is the garden west of?
office,office,What is north of the hallway?
office,office,What is north of the hallway?
hallway,hallway,What is the office east of?
garden,garden,What is the bathroom south of?
bedroom,bedroom,What is west of the kitchen?
hallway,hallway,What is east of the office?
