target,output,question
jeff,jeff,Who did Fred give the football to? 
bill,bill,Who did Mary give the milk to? 
jeff,jeff,Who did Fred give the milk to? 
milk,milk,What did Mary give to Fred? 
fred,fred,Who received the milk? 
apple,apple,What did Mary give to Jeff? 
apple,apple,What did Mary give to Jeff? 
apple,apple,What did Fred give to Bill? 
jeff,jeff,Who gave the milk to Fred? 
fred,fred,Who gave the apple to Mary? 
jeff,jeff,Who received the football? 
jeff,jeff,Who did Mary give the football to? 
milk,milk,What did Mary give to Bill? 
bill,bill,Who did Mary give the milk to? 
milk,milk,What did Mary give to Bill? 
apple,apple,What did Fred give to Mary? 
mary,mary,Who received the football? 
apple,apple,What did Fred give to Bill? 
jeff,jeff,Who received the apple? 
bill,bill,Who did Mary give the football to? 
