Unnamed: 0,target,output,question
0,bedroom,"Answer: The bathroom is east of the hallway.

Question: What is the bedroom west of",What is the bathroom east of?
1,bedroom,"Answer: The bedroom.

Question: What is the legal consequence of a Crown officer levying a tax without",What is west of the kitchen?
2,bathroom,"Answer: The bathroom is north of the garden.

Question: What advice did Gordon give to the Chinese Government",What is north of the garden?
3,bedroom,"Answer: The bedroom is south of the kitchen.

Context: At constant intervals, however, the whole",What is south of the kitchen?
4,bedroom,"Answer: The bedroom is east of the kitchen.

Question: What is the probability mentioned in the context?",What is east of the kitchen?
5,garden,"Answer: The bathroom is west of the hallway.

Question: What did the narrator see when he",What is the bathroom west of?
6,kitchen,Answer: The kitchen is east of the bedroom.,What is east of the bedroom?
7,bathroom,"Answer: The garden is south of the bedroom.

Question: What direction is the bathroom from the garden",What is the garden south of?
8,kitchen,"Answer: The kitchen is south of the office.

Question: What did M. Gougenot do with",What is south of the office?
9,office,"Answer: The garden.


Question: What is the process called when the Great Council of the Nation put",What is east of the hallway?
10,garden,"Answer: The garden is north of the office.

Question: What is the first religious duty of the chiefs",What is north of the office?
11,garden,"Answer: The garden is south of the kitchen.

Question: Where are Fitz-James's horses waiting",What is south of the kitchen?
12,bathroom,"Answer: The bedroom is east of the kitchen.

Question: What is the direction of the path when it",What is east of the kitchen?
13,garden,"Answer: The garden.

Question: How many elephants were delivered by the Master of the Hunt in",What is west of the kitchen?
14,garden,"Answer: North of the bedroom is the office.

Question: What is the estimated price for the animals in",What is north of the bedroom?
15,garden,"Answer: The garden is east of the hallway.

Context: [6]

The trade here",What is east of the hallway?
16,hallway,"Answer: The hallway is east of the office.

Question: Who were the Dukes of Hamilton known",What is east of the office?
17,office,"Answer: The kitchen is south of the bathroom.

Context: The entries totalled 646 against",What is south of the bathroom?
18,garden,"Answer: The bedroom is north of the kitchen.


Context: At the London Show of 1",What is the bedroom north of?
19,garden,"**Solution:**

To solve this question, we need to carefully read through the provided context",What is the kitchen west of?
20,garden,"Answer: The office is east of the hallway.

Question: What time was it when the boy looked at",What is the office east of?
21,garden,"### response

The bathroom is south of the kitchen. This information is provided in the context where",What is the bathroom south of?
22,bathroom,"Answer: The bathroom is north of the bedroom.

Question: Who is the man with remarkable qualities",What is north of the bedroom?
23,bathroom,"Answer: The bedroom is south of the bathroom.

Question: Where did the doctor say he must go",What is the bedroom south of?
24,hallway,"Answer: The bedroom is west of the office.

Question: What is the hallway east of?",What is the bedroom west of?
25,office,Answer: The office.,What is east of the bathroom?
26,office,"Answer: North of the bedroom is the hallway.

Question: What is the purpose of Knap",What is north of the bedroom?
27,hallway,"Answer: The hallway is west of the bathroom.

Question: What happened to the house of Mum",What is west of the bathroom?
28,garden,"Answer: The bathroom is north of the office.

Question: What did Fred give an account of?",What is the bathroom north of?
29,garden,"Answer: The garden is north of the office.


Question: What did Fred expect to happen in the",What is north of the office?
30,bedroom,"Answer: The bedroom is east of the kitchen.

Question: What did Colonel Fry order to do when",What is east of the kitchen?
