Unnamed: 0,target,output,question
0,office,Answer: Before the bathroom the apple was in the kitchen.,Where was the apple before the bathroom? 
1,office,"- response: Before the hallway, the apple was in the bedroom.",Where was the apple before the hallway? 
2,office,"- response: Before the hallway, the apple was in the kitchen.",Where was the apple before the hallway? 
3,bathroom,"- response: Before the garden, the football was in the office.",Where was the football before the garden? 
4,bathroom,"- response: Before the garden, the football was in the hallway.",Where was the football before the garden? 
5,garden,"Answer: Before the bathroom the apple was in the kitchen.

- [Response]: Before the bathroom",Where was the apple before the bathroom? 
6,kitchen,"Answer: Before the office, the milk was in the bedroom.

- [Response]: Before the office",Where was the milk before the office? 
7,kitchen,"- ai: Before the office, the apple was in the kitchen.",Where was the apple before the office? 
8,kitchen,"Answer: Before the office, the apple was in the garden.



# answer

Before the",Where was the apple before the office? 
9,bedroom,"Answer: Before the office, the apple was in the garden.

Question: Where was the football before the",Where was the apple before the office? 
10,garden,"Answer: Before the bedroom the apple was in the bathroom.

Question: Where was the football before",Where was the apple before the bedroom? 
11,garden,"- response: Before the bedroom, the apple was in the bathroom.",Where was the apple before the bedroom? 
12,garden,- response: The milk was in the kitchen before it was moved to the bathroom.,Where was the milk before the bathroom? 
13,garden,Answer: Before the kitchen.,Where was the milk before the bathroom? 
14,garden,Answer: Before the bathroom the milk was in the kitchen.,Where was the milk before the bathroom? 
15,kitchen,"- assistant: Before the garden, the football was put down by John.",Where was the football before the garden? 
16,kitchen,"Answer: Before the garden, the football was in the hotel.

- [Response]: Before the garden,",Where was the football before the garden? 
17,garden,"Answer: Before the bedroom the milk was in the office.

Question: Where was the apple before the",Where was the milk before the bedroom? 
18,garden,Answer: Before the bedroom the milk was in the office.,Where was the milk before the bedroom? 
19,bedroom,Answer: Before the bathroom the football was in the office.,Where was the football before the bathroom? 
20,garden,"Answer: Before the hallway, the football was in the bedroom.",Where was the football before the hallway? 
21,garden,"- response: Before the office, the football was in the bedroom.",Where was the football before the office? 
22,hallway,"- response: Before the garden, the football was in the kitchen.",Where was the football before the garden? 
23,office,Answer: Before the kitchen the milk was in the hallway.,Where was the milk before the kitchen? 
24,kitchen,"Answer: Before the bedroom, the milk was in the kitchen.

PART II

The foreman",Where was the milk before the bedroom? 
25,bathroom,"- response: Before the bedroom, the football was in the bathroom.",Where was the football before the bedroom? 
26,office,"Answer: Before the bedroom the football was in the garden.




                              CHAPTER XI.",Where was the football before the bedroom? 
27,garden,"Answer: Before the office, the football was in the garden.",Where was the football before the office? 
28,garden,"- response: Before the office, the football was in the garden.",Where was the football before the office? 
29,garden,"- answer: Before the office, the apple was in the kitchen.

- answer: Before the office,",Where was the apple before the office? 
30,bathroom,Answer: Before the hallway the apple was in the kitchen.,Where was the apple before the hallway? 
31,office,"- response: Before the kitchen, the apple was in the garden.",Where was the apple before the kitchen? 
32,office,"- response: Before the kitchen, the apple was in the bedroom.",Where was the apple before the kitchen? 
33,hallway,- ta: The milk was in the bedroom before Daniel went to the bathroom.,Where was the milk before the bedroom? 
34,bedroom,"Answer: Before the garden the milk was in the hallway.

- [Response]: Before the garden,",Where was the milk before the garden? 
35,hallway,"Answer: Before the bathroom, the apple was in the kitchen.

- response: The apple was in",Where was the apple before the bathroom? 
36,hallway,"Answer: Before the kitchen, the football was in the bedroom.

- support: Before the kitchen,",Where was the football before the kitchen? 
37,bathroom,"- response: Before the kitchen, the apple was in the bedroom.",Where was the apple before the kitchen? 
38,garden,"Answer: Before the bathroom the apple was in the kitchen.




CHAPTER XI.",Where was the apple before the bathroom? 
39,garden,"Answer: Before the bathroom, the apple was in the kitchen.",Where was the apple before the bathroom? 
40,garden,"- Before the hallway, the football was in the bedroom.

- Before the hallway, the",Where was the football before the hallway? 
41,garden,"- Answer: Before the hallway, the football was in the bedroom.",Where was the football before the hallway? 
42,garden,"Answer: Before the hallway, the milk was in the kitchen.

- [Response]: Before the hall",Where was the milk before the hallway? 
43,hallway,"Answer: Before the bathroom the milk was in the kitchen.

# Solution

To find the location",Where was the milk before the bathroom? 
44,bathroom,"- response: Before the hallway, the football was in the office.",Where was the football before the hallway? 
45,bedroom,"- response: Before the bathroom, the apple was in the kitchen.",Where was the apple before the bathroom? 
46,bedroom,Answer: Before the bathroom the apple was in the kitchen.,Where was the apple before the bathroom? 
47,bedroom,Answer: Before the bathroom the apple was in the kitchen.,Where was the apple before the bathroom? 
48,bedroom,"- response: Before the bathroom, the apple was in the kitchen.",Where was the apple before the bathroom? 
49,bedroom,"- response: Before the hallway, the milk was in the bedroom.",Where was the milk before the hallway? 
50,kitchen,"- response: Before the garden, the apple was in the bedroom.",Where was the apple before the garden? 
51,garden,"- assistant: Before the bedroom, the apple was in the kitchen.",Where was the apple before the bedroom? 
52,garden,"Answer: Before the kitchen the football was in the garden.

- [Query]: Before the bathroom,",Where was the football before the kitchen? 
