Unnamed: 0,target,output,question
0,bedroom,"- Answer: hallway

- answer: hallway

- answer: hallway

- answer",What is the bathroom east of?
1,bedroom,- response: garden,What is west of the kitchen?
2,bathroom,"- response: bathroom

- Solution: The context provided states that ""The bathroom is north of the",What is north of the garden?
3,bedroom,"Answer: bathroom

Context: The hallway is west of the bedroom. The kitchen is east of",What is south of the kitchen?
4,bedroom,"Answer: bedroom

Context: Then Roderick, with impatient look, From Brian's hand",What is east of the kitchen?
5,garden,"- response: hallway

- Answer: hallway

The context provided indicates that the garden is located",What is the bathroom west of?
6,kitchen,- answer: kitchen,What is east of the bedroom?
7,bathroom,"- Answer: bedroom

- answer: bedroom

- answer: bedroom

- answer",What is the garden south of?
8,kitchen,"Answer: kitchen


### Response: The context provided does not contain any information about the relative positions of an",What is south of the office?
9,office,"- assistant: garden

The context provided states, ""The hallway is east of the garden."" This directly",What is east of the hallway?
10,garden,"- response: garden

- answer: garden

- answer: garden

The context provided does not",What is north of the office?
11,garden,"- Answer: garden


- Answer: garden

However, based on the context provided, the correct",What is south of the kitchen?
12,bathroom,"Answer: bedroom



Context: In the rear car of the accommodation train there were at the moment",What is east of the kitchen?
13,garden,Answer: garden,What is west of the kitchen?
14,garden,Answer: kitchen,What is north of the bedroom?
15,garden,"Answer: garden

- Response: gardenI apologize for the confusion in the previous response. Based on the",What is east of the hallway?
16,hallway,"- Answer: bedroom
- answer: bedroom

Context: The hallway is east of the office",What is east of the office?
17,office,Answer: kitchen,What is south of the bathroom?
18,garden,"- answer: kitchen

- answer: kitchen

- answer: kitchen

- answer: kitchen",What is the bedroom north of?
19,garden,- response: The kitchen is west of the garden.,What is the kitchen west of?
20,garden,"- response: hallway

- support: The office is east of the hallway.",What is the office east of?
21,garden,"- Response: The bathroom is south of the kitchen.
- Answer: Kitchen

Explanation",What is the bathroom south of?
22,bathroom,"Answer: bathroom

- [Response]: The context provided does not contain any information about the relative positions of",What is north of the bedroom?
23,bathroom,- response: The bedroom is south of the hallway.,What is the bedroom south of?
24,hallway,- response: The bedroom is west of the kitchen.,What is the bedroom west of?
25,office,Answer: The kitchen,What is east of the bathroom?
26,office,"- Answer: Graunt

- answer: Graunt; also of that gentleman who was appointed to be the",What is north of the bedroom?
27,hallway,"- Answer: hallway

- answer: hallway

Context: The hallway is west of the",What is west of the bathroom?
28,garden,"- Answer: The office

- answer: office

Context: This conjecture is founded on there being",What is the bathroom north of?
29,garden,"- response: garden

- response: The context provided indicates that the garden is located to the north of the",What is north of the office?
30,bedroom,"- answer: Franklin

- answer: Nashville

- answer: Franklin

- answer: Nash",What is east of the kitchen?
31,kitchen,- response: The bathroom is east of the kitchen.,What is the bathroom east of?
32,bathroom,"- Answer: bedroom

- Answer: bedroom

- Answer: kitchen

- Answer:",What is north of the garden?
33,kitchen,- response: The bedroom is west of the kitchen.,What is the bedroom west of?
34,bedroom,"- Answer: hallway

- Answer: hallway

- Answer: hallway

- Answer",What is the kitchen south of?
35,garden,- response: The bathroom is east of the garden.,What is the bathroom east of?
36,office,"- Answer: office

- answer: office

Context: The hallway is south of the bathroom",What is south of the hallway?
37,bedroom,Answer: bedroom,What is north of the bathroom?
38,bedroom,Answer: Office,What is the bathroom east of?
39,office,- teacher: kitchen,What is north of the bedroom?
40,bathroom,- bob: The hallway is south of the kitchen.,What is south of the kitchen?
41,bedroom,- Response: The bedroom is west of the office.,What is west of the office?
42,kitchen,- response: The garden is south of the kitchen.,What is the garden south of?
43,garden,"- response: garden

The context provided in the second example clearly states that ""The garden is south of the",What is south of the bedroom?
44,garden,"- Answer: hallway

- Answer: office

- Answer: kitchen

- Answer: tent",What is the office south of?
45,hallway,"- Answer: hallway

- answer: hallway

- answer: hallway

- answer",What is the office east of?
46,garden,"- Answer: garden

- answer: garden

- answer: garden

- answer: garden",What is south of the office?
47,garden,"- Answer: garden

- answer: garden

- answer: garden

- answer: garden",What is west of the bedroom?
48,garden,- answer: garden,What is east of the hallway?
49,garden,"- Answer: garden

- answer: garden


- answer: garden


- answer:",What is the office south of?
50,bedroom,"- Answer: bedroom

- Response: bedroomI apologize for the confusion in the previous response.",What is the hallway north of?
51,garden,"Answer: garden


- Response: garden

The context provided indicates that the garden is located to the north",What is north of the bathroom?
52,hallway,- response: The bedroom is north of the kitchen.,What is the bedroom north of?
53,bathroom,"Answer: The kitchen



Context: The hallway is south of the kitchen. The bedroom is",What is east of the garden?
54,bathroom,"- teacher: The office is west of the bedroom.

The context provided a series of statements and narr",What is west of the bedroom?
55,garden,- assistant: garden,What is east of the hallway?
56,hallway,"- Answer: hallway

- answer: hallwayI apologize for the confusion in the previous response.",What is the bedroom east of?
57,kitchen,"- Answer: garden

- [Response]: The context provided does not mention the relative positions of the hallway",What is west of the hallway?
58,hallway,"- response: hallway

- answer: hallway

The context provided indicates that the hallway is",What is south of the bedroom?
59,kitchen,"- Answer: kitchen

- Answer: garden

- Answer: kitchen

- Answer: garden",What is the garden north of?
60,hallway,- response: The bedroom is north of the kitchen.,What is the bedroom north of?
61,bedroom,"- bailiff
- kitchen
- room
- cabinet
- princess

- Response: b",What is south of the hallway?
62,kitchen,"- Answer: kitchen

- answer: kitchen

- answer: hallway

- answer: kitchen",What is the hallway north of?
63,hallway,"- Answer: garden

- Explanation: The context provided states, ""The bedroom is north of",What is west of the bedroom?
64,bedroom,"Answer: bedroom

- Response: The context provided does not contain any information about the relative positions of the",What is east of the garden?
65,office,"- Answer: hallway

- [Response]: The bedroom is north of the hallway.",What is the bedroom north of?
66,bathroom,- response: The bedroom is north of the hallway.,What is the bedroom north of?
67,office,"- Answer: bedroom

- answer: bedroom

- answer: bedroom

- answer",What is the garden south of?
68,kitchen,- response: garden,What is the bathroom west of?
69,garden,- Answer: The hallway is east of the bathroom.,What is the hallway east of?
70,bathroom,Answer: bathroom,What is south of the bedroom?
71,kitchen,"- Answer: kitchen

- answer: kitchen

- answer: garden

- answer: garden",What is the garden south of?
72,garden,- Answer: The bedroom is south of the garden.,What is the bedroom south of?
73,bathroom,"Answer: bathroom

Context: A Frank Admission

It is most cheerfully admitted that a vast",What is north of the office?
74,bathroom,"- Answer: office

- Answer: hallway

- Answer: hallway

- Answer:",What is the hallway north of?
75,bedroom,"- Answer: bedroom

- [Response]: bedroom",What is south of the hallway?
76,bedroom,- Response: The hallway is east of the bathroom.,What is the hallway east of?
77,bathroom,"Answer: The bathroom

Context: The hallway is south of the kitchen. The bedroom is north of",What is north of the office?
78,kitchen,"Answer: kitchen

Context: The kitchen is east of the garden. And when the cool of evening fell And tender",What is east of the garden?
79,hallway,- response: The kitchen is south of the hallway.,What is the kitchen south of?
80,garden,"- Answer: garden

- answer: garden

- answer: garden

- answer: garden",What is west of the office?
81,office,"- Answer: garden

- answer: garden

- answer: garden

- answer: garden",What is the bedroom west of?
82,kitchen,- response: The hallway is south of the kitchen.,What is the hallway south of?
83,garden,"- response: garden

- support: The context provided indicates that the garden is located to the east of the",What is the office west of?
84,bathroom,"Answer: office

Context: In another class of cases, most frequently syphilitic or at least quasi",What is north of the hallway?
85,office,"Answer: office


- Response: office",What is west of the garden?
86,office,Answer: The room,What is west of the garden?
87,garden,"- Answer: garden

- answer: garden

Context: It grew silent and much cooler as the",What is east of the bathroom?
88,bathroom,"- Answer: bathroom

- Answer: bathroom

Context: ""This is the only one we",What is north of the office?
89,kitchen,- response: Sabine females,What is the bedroom west of?
90,office,"- Answer: hallway

- answer: hallway

Context: [Footnote 301:",What is the bathroom south of?
