Unnamed: 0,target,output,question
0,hallway,"Answer: Mary got the milk there.


(34)

The same is the case with",Where is the milk? 
1,hallway,"Answer: In the hallway.

Question: What is the concern regarding the Court of Justice?
Answer:",Where is the football? 
2,hallway,"Answer: The football is in the hallway.

Question: Who wrote New Principles of Gardening?",Where is the football? 
3,hallway,"Answer: The football is in the kitchen.

Question: What happened to the spaniel and the greyhound",Where is the football? 
4,garden,"Answer: Mary discarded the milk.

Question: What happened to the dogs of Wade?
Answer:",Where is the milk? 
5,garden,"Answer: The milk is in the hut.

Question: Who are the three individuals in the hut",Where is the milk? 
6,bedroom,"Answer: The football is in the bedroom.

Question: Where is the milk?
Answer: The milk",Where is the football? 
7,bedroom,"Answer: The milk is in the bedroom.

Question: Where is the football?

Answer:",Where is the milk? 
8,kitchen,"Answer: The football is in the bedroom.

Question: What is the first thing to do to our food",Where is the football? 
9,kitchen,"Answer: The football is in the kitchen.

Question: What is the purpose of the black sand in the sl",Where is the football? 
10,bedroom,"Answer: The football is in the office.

Question: Where is the milk?
Answer: The milk is",Where is the football? 
11,hallway,"Answer: The football is in the hallway.

Question: Where is Ruby?

Answer: Ruby",Where is the football? 
12,garden,"Answer: The milk is dropped by Daniel.

Question: Who is detained while calling on friends?",Where is the milk? 
13,garden,"Answer: The milk is in the bathroom.

Question: Who is buried in the churchyard?",Where is the milk? 
14,bathroom,"Answer: The apple is dropped by Mary.

Question: Who is the person that the speaker is determined not",Where is the apple? 
15,garden,"Answer: The milk is dropped by Mary.


Question: What is the relationship between the narrator and his",Where is the milk? 
16,garden,Answer: The milk is in the kitchen.,Where is the milk? 
17,garden,"Answer: The milk is in the bedroom.

Question: Who is Hater?
Answer: Hater",Where is the milk? 
18,kitchen,"Answer: The apple is at Paul's.


### Solution ###1:

The apple",Where is the apple? 
19,kitchen,Answer: The apple is not mentioned as being in any specific location after Daniel grabbed it. The subsequent actions,Where is the apple? 
20,bedroom,"Answer: The apple is in the bedroom.

Question: Who has the milk?
Answer: John has",Where is the apple? 
21,bedroom,"Answer: Mary took the apple to the office.

Question: Who is Lady Cantire speaking to?
Answer",Where is the apple? 
22,bathroom,"### response ###

The football is initially with Daniel, who is in the bathroom. However,",Where is the football? 
23,bathroom,"Answer: The football is with Sandra.


Question: Who completed the writing task?

Answer",Where is the football? 
24,bedroom,"Answer: The milk is in the bedroom.

Question: Where did Mary go after moving to the hallway",Where is the milk? 
25,kitchen,"Answer: John grabbed the milk there.



Context: John grabbed the milk there",Where is the milk? 
26,kitchen,"Answer: The milk is in the kitchen.


Question: Who objected to the expulsion of Monde",Where is the milk? 
27,bathroom,"Answer: In the kitchen.


Question: Where did Sandra travel to after leaving the kitchen?",Where is the apple? 
28,bathroom,"Answer: The apple is in the kitchen.

Question: Where is the captain?

Answer: The",Where is the apple? 
29,kitchen,"Answer: John put down the milk.


Question: Who looked after the unit at Moscow?",Where is the milk? 
30,garden,"Answer: The apple is in the garden.

Question: What happened to the apple?

Answer:",Where is the apple? 
31,garden,"Answer: The apple is in the garden. Daniel dropped it there.

Question: What did Daniel do in the",Where is the apple? 
32,kitchen,"Answer: The football is in the garden.

Question: Where is the apple?
Answer: The apple is",Where is the football? 
33,kitchen,"Answer: The apple is in the garden.

Question: What is the first degree of torture?
Answer",Where is the apple? 
34,kitchen,"Answer: The apple is in the garden.


Question: Where is Mary?

Answer: Mary",Where is the apple? 
35,office,"Answer: The milk is in the hallway.


Passage:

In the first place,",Where is the milk? 
36,kitchen,"Answer: John took the football there.

Question: Who is May's donor?
Answer: May",Where is the football? 
37,kitchen,"### Solution ###

The football is in the kitchen. This information is derived from the sequence of events",Where is the football? 
38,kitchen,Answer: The football is with John.,Where is the football? 
39,bedroom,"[Illustration]




CHAPTER X.

MAY. John went",Where is the milk? 
40,bedroom,"Answer: John put down the milk.

Question: Who is the girl asking for?
Answer: The girl",Where is the milk? 
41,office,"Answer: The milk is in the office.

Question: What is the difference between a Bedouin Arab and",Where is the milk? 
42,office,Answer: John left the milk.,Where is the milk? 
43,office,"Answer: John went to the bedroom.

Question: Where is the football?
Answer: Mary picked up",Where is the milk? 
44,kitchen,"Answer: The apple is in the kitchen.

Question: Where is Sandra?

Answer: Sand",Where is the apple? 
