,target,output,question
0,hallway,Mary got the milk.,Where is the milk? 
1,hallway,John got the football there.,Where is the football? 
2,hallway,John got the football there.,Where is the football? 
3,hallway,John got the football there.,Where is the football? 
4,garden,Mary discarded the milk.,Where is the milk? 
5,garden,The milk is on the table.,Where is the milk? 
6,bedroom,Daniel,Where is the football? 
7,bedroom,Sandra grabbed the milk there.,Where is the milk? 
8,kitchen,Daniel grabbed the football there.,Where is the football? 
9,kitchen,Daniel grabbed the football there.,Where is the football? 
10,bedroom,Robert picked up the apple there.,Where is the football? 
11,hallway,John picked up the apple.,Where is the football? 
12,garden,Daniel picked up the milk there.,Where is the milk? 
13,garden,Daniel picked up the apple there.,Where is the milk? 
14,bathroom,Mary picked up the apple.,Where is the apple? 
15,garden,Mary went to the garden.,Where is the milk? 
16,garden,The milk is in the garden.,Where is the milk? 
17,garden,Mary went to the garden.,Where is the milk? 
18,kitchen,Daniel went to the office.,Where is the apple? 
19,kitchen,Daniel discarded the apple.,Where is the apple? 
20,bedroom,Mary took the apple there.,Where is the apple? 
21,bedroom,Mary took the apple.,Where is the apple? 
22,bathroom,In the hallway.,Where is the football? 
23,bathroom,Sandra discarded the football there.,Where is the football? 
24,bedroom,Mary moved to the kitchen.,Where is the milk? 
25,kitchen,John grabbed the milk there.,Where is the milk? 
26,kitchen,Croyden went to the kitchen.,Where is the milk? 
27,bathroom,The apple is in the kitchen.,Where is the apple? 
28,bathroom,Daniel picked up the apple there.,Where is the apple? 
29,kitchen,John put down the milk.,Where is the milk? 
30,garden,Daniel dropped the apple.,Where is the apple? 
31,garden,Daniel dropped the apple.,Where is the apple? 
32,kitchen,Daniel went to the bedroom.,Where is the football? 
33,kitchen,Mary put down the apple there.,Where is the apple? 
34,kitchen,The apple is in the hallway.,Where is the apple? 
35,office,Sandra went to the hallway.,Where is the milk? 
36,kitchen,The football is at the office.,Where is the football? 
37,kitchen,Sandra went back to the hallway.,Where is the football? 
38,kitchen,John left the football there.,Where is the football? 
39,bedroom,Sandra went back to the hallway.,Where is the milk? 
40,bedroom,John got the milk there.,Where is the milk? 
41,office,John got the milk there.,Where is the milk? 
42,office,John left the milk.,Where is the milk? 
43,office,John left the milk.,Where is the milk? 
44,kitchen,Daniel picked up the apple there.,Where is the apple? 
45,bedroom,Mary picked up the milk.,Where is the milk? 
46,office,The football is in the woods.,Where is the football? 
47,bathroom,Sandra takes the football.,Where is the football? 
48,bathroom,Sandra went back to the bedroom.,Where is the football? 
49,bedroom,Mary picked up the milk there.,Where is the milk? 
50,bathroom,The milk is in the cellar.,Where is the milk? 
51,hallway,John grabbed the apple.,Where is the apple? 
