,target,output,question
0,office,The apple was in the kitchen.,Where was the apple before the bathroom? 
1,office,The apple was in the bedroom.,Where was the apple before the hallway? 
2,office,The apple was in the kitchen before the hallway.,Where was the apple before the hallway? 
3,bathroom,The football was in the office.,Where was the football before the garden? 
4,bathroom,The football was in the kitchen.,Where was the football before the garden? 
5,garden,The apple was in the kitchen before it was moved to the bathroom.,Where was the apple before the bathroom? 
6,kitchen,"Before the office, the milk was in the kitchen. Daniel dropped the milk.",Where was the milk before the office? 
7,kitchen,The apple was in the bathroom before the office.,Where was the apple before the office? 
8,kitchen,The apple was in the kitchen.,Where was the apple before the office? 
9,bedroom,The apple was in the kitchen.,Where was the apple before the office? 
10,garden,The apple was in the bathroom before the bedroom.,Where was the apple before the bedroom? 
11,garden,The apple was in the kitchen.,Where was the apple before the bedroom? 
12,garden,"Before the bathroom, the milk was in the kitchen.",Where was the milk before the bathroom? 
13,garden,The milk was in the kitchen before the bathroom.,Where was the milk before the bathroom? 
14,garden,"Before the bathroom, the milk was in the kitchen.",Where was the milk before the bathroom? 
15,kitchen,The football was in the bedroom.,Where was the football before the garden? 
16,kitchen,The football was in the kitchen.,Where was the football before the garden? 
17,garden,Before the kitchen.,Where was the milk before the bedroom? 
18,garden,Before the kitchen.,Where was the milk before the bedroom? 
19,bedroom,The football was in the kitchen before the bathroom.,Where was the football before the bathroom? 
20,garden,The football was in the kitchen before the hallway.,Where was the football before the hallway? 
21,garden,"According to the context, the football was in the garden before the office.

Here is",Where was the football before the office? 
22,hallway,The football was in the kitchen.,Where was the football before the garden? 
23,office,The milk was in the hallway before the kitchen.,Where was the milk before the kitchen? 
24,kitchen,"Before the bedroom, the milk was in the kitchen.",Where was the milk before the bedroom? 
25,bathroom,"According to the text, the football was in the hallway before Mary moved to the bedroom",Where was the football before the bedroom? 
26,office,The football was in the garden before the bedroom.,Where was the football before the bedroom? 
27,garden,The football was in the garden.,Where was the football before the office? 
28,garden,The football was in the garden before the office.,Where was the football before the office? 
29,garden,The apple was in the kitchen before the office.,Where was the apple before the office? 
30,bathroom,The apple was in the bathroom before the hallway.,Where was the apple before the hallway? 
31,office,"The answer is: Before the bedroom.

The context states: ""John grabb",Where was the apple before the kitchen? 
32,office,"The apple was in the garden.

Answer: Before the kitchen the apple was in the",Where was the apple before the kitchen? 
33,hallway,The milk was in the kitchen before the bedroom.,Where was the milk before the bedroom? 
34,bedroom,The milk was in the hallway before the garden.,Where was the milk before the garden? 
35,hallway,"Before the bathroom, the apple was in the kitchen.",Where was the apple before the bathroom? 
36,hallway,The football was in the garden before the kitchen.,Where was the football before the kitchen? 
37,bathroom,"Before the kitchen, the apple was in the bedroom.",Where was the apple before the kitchen? 
38,garden,"Before the bathroom, the apple was in the kitchen.",Where was the apple before the bathroom? 
39,garden,"Before the bathroom, the apple was in the kitchen.",Where was the apple before the bathroom? 
40,garden,"Before the hallway, the football was in the kitchen.",Where was the football before the hallway? 
41,garden,The football was in the kitchen.,Where was the football before the hallway? 
42,garden,Before the kitchen.,Where was the milk before the hallway? 
43,hallway,The milk was in the kitchen before the bathroom.,Where was the milk before the bathroom? 
44,bathroom,The football was in the kitchen.,Where was the football before the hallway? 
45,bedroom,The apple was in the bedroom.,Where was the apple before the bathroom? 
46,bedroom,"Before the bathroom, the apple was in the bedroom.",Where was the apple before the bathroom? 
47,bedroom,"Before the bathroom, the apple was in the kitchen.",Where was the apple before the bathroom? 
48,bedroom,"According to the story, the apple was in the bedroom before Mary moved it to the bath",Where was the apple before the bathroom? 
49,bedroom,"Before the hallway, the milk was in the bathroom.",Where was the milk before the hallway? 
50,kitchen,The apple was in the kitchen before it was moved to the garden.,Where was the apple before the garden? 
51,garden,"Before the bedroom, the apple was in the bathroom.",Where was the apple before the bedroom? 
52,garden,Before the kitchen the football was in the garden.,Where was the football before the kitchen? 
53,bathroom,"Before the bedroom, the apple was in the kitchen.",Where was the apple before the bedroom? 
54,bathroom,The apple was in the kitchen before the bedroom.,Where was the apple before the bedroom? 
55,office,The football was in the bedroom.,Where was the football before the hallway? 
56,kitchen,The apple was in the garden before the office.,Where was the apple before the office? 
57,office,The football was in the kitchen.,Where was the football before the garden? 
58,office,The football was in the garden.,Where was the football before the bedroom? 
59,garden,The apple was in the kitchen before the hallway.,Where was the apple before the hallway? 
60,hallway,"According to the story, the football was in the kitchen before the bedroom. The story states",Where was the football before the bedroom? 
61,bathroom,"According to the passage, the football was in the bedroom before Daniel picked it up and carried",Where was the football before the hallway? 
62,bedroom,"According to the context, the football was in the garden before the kitchen. Daniel journeyed to",Where was the football before the kitchen? 
63,garden,"According to the context, the football was in the kitchen before the bathroom.",Where was the football before the bathroom? 
64,garden,The football was in the kitchen before the bathroom.,Where was the football before the bathroom? 
65,bathroom,The milk was in the kitchen. Sandra picked it up and brought it to the office.,Where was the milk before the office? 
66,bathroom,The milk was in the kitchen before the office.,Where was the milk before the office? 
67,bathroom,The milk was in the kitchen before the office.,Where was the milk before the office? 
68,garden,The football was in the garden.,Where was the football before the bedroom? 
69,kitchen,The football was in the kitchen before the bathroom.,Where was the football before the bathroom? 
70,office,"Before the hallway, the football was in the kitchen.",Where was the football before the hallway? 
71,hallway,The apple was in the kitchen.,Where was the apple before the garden? 
72,bathroom,The milk was in the bathroom before it was moved to the kitchen.,Where was the milk before the kitchen? 
73,kitchen,The apple was in the kitchen before the bathroom.,Where was the apple before the bathroom? 
74,garden,The apple was in the kitchen before the bathroom.,Where was the apple before the bathroom? 
75,garden,"Before the hallway, the milk was in the kitchen.",Where was the milk before the hallway? 
76,hallway,"Before the office, the milk was in the hallway.",Where was the milk before the office? 
77,garden,"According to the context, the milk was in the kitchen before John took it to the hallway",Where was the milk before the hallway? 
78,office,"According to the context, the apple was in the kitchen before John moved to the bathroom.",Where was the apple before the bathroom? 
79,office,Before the kitchen.,Where was the apple before the bathroom? 
80,kitchen,"Before the office, the milk was in the kitchen.",Where was the milk before the office? 
81,kitchen,"Before the office, the milk was in the kitchen.",Where was the milk before the office? 
82,kitchen,"According to the context, the milk was in the kitchen before the office. The passage states:",Where was the milk before the office? 
83,bathroom,The apple was in the kitchen before the hallway.,Where was the apple before the hallway? 
84,bathroom,The milk was in the kitchen before the bedroom.,Where was the milk before the bedroom? 
85,garden,"Before the bathroom, the apple was in the kitchen.",Where was the apple before the bathroom? 
86,bathroom,The milk was in the bedroom before the kitchen.,Where was the milk before the kitchen? 
87,bathroom,The milk was in the bedroom.,Where was the milk before the kitchen? 
88,garden,"Before the bathroom, the milk was in the kitchen.",Where was the milk before the bathroom? 
89,bathroom,"Before the bedroom, the football was in the kitchen.",Where was the football before the bedroom? 
90,hallway,The milk was in the hallway before the kitchen.,Where was the milk before the kitchen? 
91,hallway,"Before the kitchen, the milk was in the hallway.",Where was the milk before the kitchen? 
92,garden,The milk was in the kitchen before the bedroom.,Where was the milk before the bedroom? 
93,bedroom,"According to the context, the football was in the garden before it was moved to the kitchen.",Where was the football before the kitchen? 
94,kitchen,The apple was in the kitchen before the bedroom.,Where was the apple before the bedroom? 
95,kitchen,The apple was in the bedroom before the hallway.,Where was the apple before the hallway? 
96,kitchen,Answer: The apple was in the garden before the hallway.,Where was the apple before the hallway? 
97,hallway,The apple was in the garden.,Where was the apple before the kitchen? 
98,bedroom,The milk was in the kitchen before the bathroom.,Where was the milk before the bathroom? 
99,bathroom,The milk was in the kitchen before the bedroom.,Where was the milk before the bedroom? 
100,office,"Before the bathroom, the milk was in the kitchen.",Where was the milk before the bathroom? 
101,office,The milk was in the kitchen before the bathroom.,Where was the milk before the bathroom? 
102,bedroom,The football was in the kitchen.,Where was the football before the office? 
103,bedroom,"Before the office, the football was in the garden.",Where was the football before the office? 
104,office,"Before the bathroom, the milk was in the kitchen. Daniel picked up the milk there.",Where was the milk before the bathroom? 
105,hallway,The football was in the garden before the bathroom.,Where was the football before the bathroom? 
106,garden,"According to the context, the football was in the garden before the hallway.",Where was the football before the hallway? 
107,garden,The football was in the garden.,Where was the football before the hallway? 
108,hallway,The apple was in the kitchen.,Where was the apple before the bathroom? 
109,hallway,The apple was in the garden.,Where was the apple before the bathroom? 
110,garden,Before the kitchen.,Where was the apple before the hallway? 
111,garden,Before the kitchen.,Where was the apple before the hallway? 
112,hallway,Before the kitchen the football was in the garden.,Where was the football before the kitchen? 
113,hallway,The football was in the garden.,Where was the football before the kitchen? 
114,kitchen,The apple was in the kitchen.,Where was the apple before the garden? 
115,hallway,"Before the bathroom, the milk was in the kitchen.",Where was the milk before the bathroom? 
116,hallway,"Before the bathroom, the milk was in the kitchen.",Where was the milk before the bathroom? 
117,hallway,"Before the bathroom, the milk was in the kitchen.",Where was the milk before the bathroom? 
118,bedroom,The football was in the garden.,Where was the football before the office? 
119,bedroom,The football was in the garden.,Where was the football before the office? 
120,garden,The apple was in the bathroom before the kitchen.,Where was the apple before the kitchen? 
121,garden,"Before the hallway, the milk was in the bathroom.",Where was the milk before the hallway? 
122,garden,"Before the hallway, the milk was in the bathroom.",Where was the milk before the hallway? 
123,garden,The milk was in the kitchen before John went to the hallway.,Where was the milk before the hallway? 
124,office,"According to the context, the apple was in the bedroom before John moved it to the garden",Where was the apple before the garden? 
125,kitchen,The milk was in the kitchen.,Where was the milk before the garden? 
126,kitchen,The milk was in the kitchen.,Where was the milk before the garden? 
127,kitchen,"According to the context, the milk was in the kitchen before the garden. The passage states:",Where was the milk before the garden? 
128,office,The apple was in the bathroom before the kitchen.,Where was the apple before the kitchen? 
129,office,The apple was in the bathroom before the kitchen.,Where was the apple before the kitchen? 
130,garden,"The milk was in the bedroom before the kitchen.

Here is the relevant passage from",Where was the milk before the kitchen? 
131,bathroom,"According to the context, the milk was in the kitchen before Daniel went to the office. Daniel",Where was the milk before the office? 
132,bathroom,The milk was in the kitchen.,Where was the milk before the office? 
133,bathroom,The milk was in the kitchen before John picked it up.,Where was the milk before the office? 
134,bathroom,The apple was in the bathroom.,Where was the apple before the hallway? 
135,garden,The football was in the garden.,Where was the football before the kitchen? 
136,garden,The football was in the garden.,Where was the football before the kitchen? 
137,garden,The football was in the garden.,Where was the football before the kitchen? 
138,bedroom,The football was in the bathroom before the garden.,Where was the football before the garden? 
139,bedroom,The football was in the kitchen before the garden.,Where was the football before the garden? 
140,kitchen,The milk was in the kitchen before the bedroom.,Where was the milk before the bedroom? 
141,kitchen,The milk was in the kitchen before the bedroom.,Where was the milk before the bedroom? 
142,kitchen,"Before the bedroom, the milk was in the kitchen.",Where was the milk before the bedroom? 
143,bathroom,"Before the hallway, the football was in the kitchen.",Where was the football before the hallway? 
144,bathroom,The football was in the office.,Where was the football before the hallway? 
145,office,The football was in the kitchen before the garden.,Where was the football before the garden? 
146,garden,"Before the hallway, the football was in the kitchen.",Where was the football before the hallway? 
147,garden,"Before the hallway, the football was in the bedroom.",Where was the football before the hallway? 
148,garden,The football was in the kitchen before the hallway.,Where was the football before the hallway? 
149,hallway,"Before the kitchen, the milk was in the bedroom.",Where was the milk before the kitchen? 
150,kitchen,The milk was in the kitchen before the office.,Where was the milk before the office? 
151,garden,The apple was in the kitchen before the bathroom.,Where was the apple before the bathroom? 
152,garden,The apple was in the kitchen before the bathroom.,Where was the apple before the bathroom? 
153,bathroom,The milk was in the bedroom before it was moved to the kitchen.,Where was the milk before the kitchen? 
154,bathroom,The milk was in the bedroom.,Where was the milk before the kitchen? 
155,bathroom,"According to the text, the apple was in the bathroom before John went to the office.",Where was the apple before the office? 
156,bathroom,The apple was in the bathroom.,Where was the apple before the office? 
157,bedroom,"According to the context, the apple was in the bedroom before the bathroom. The Str",Where was the apple before the bathroom? 
158,bedroom,"Before the bathroom, the apple was in the bedroom.",Where was the apple before the bathroom? 
159,garden,"Before the hallway, the apple was in the bedroom.",Where was the apple before the hallway? 
160,office,"Before the kitchen, the football was in the bedroom.",Where was the football before the kitchen? 
161,office,The apple was in the bathroom.,Where was the apple before the bedroom? 
162,office,The football was in the garden.,Where was the football before the kitchen? 
163,garden,The milk was in the bedroom before the office.,Where was the milk before the office? 
164,bathroom,The milk was in the kitchen before the bedroom.,Where was the milk before the bedroom? 
165,kitchen,The milk was in the kitchen before the office.,Where was the milk before the office? 
166,kitchen,Before the office the milk was in the kitchen.,Where was the milk before the office? 
167,kitchen,"According to the context, the milk was in the kitchen before the office.",Where was the milk before the office? 
168,kitchen,"According to the context, the milk was in the kitchen before it was taken to the garden.",Where was the milk before the garden? 
169,bedroom,The milk was in the bathroom.,Where was the milk before the kitchen? 
170,bathroom,The football was in the garden.,Where was the football before the kitchen? 
171,bathroom,The football was in the garden.,Where was the football before the kitchen? 
172,bathroom,The football was in the garden before the office.,Where was the football before the office? 
173,bathroom,The football was in the kitchen.,Where was the football before the office? 
174,bathroom,"Before the office, the milk was in the kitchen.",Where was the milk before the office? 
175,office,The football was in the garden.,Where was the football before the bedroom? 
176,bedroom,The football was in the hallway before the garden.,Where was the football before the garden? 
177,kitchen,The football was in the kitchen before the garden.,Where was the football before the garden? 
178,kitchen,The football was in the bedroom.,Where was the football before the garden? 
179,hallway,The football was in the garden.,Where was the football before the bedroom? 
180,garden,"Before the bedroom, the milk was in the kitchen.",Where was the milk before the bedroom? 
181,bathroom,"Before the office, the football was in the garden.",Where was the football before the office? 
182,bathroom,"Before the office, the football was in the garden.",Where was the football before the office? 
183,bathroom,The football was in the kitchen.,Where was the football before the office? 
184,garden,The apple was in the garden before the bathroom.,Where was the apple before the bathroom? 
