,target,output,question
0,bedroom,"According to the passage, the bathroom is east of the hallway.",What is the bathroom east of?
1,bedroom,"According to the passage, the bedroom is west of the kitchen.",What is west of the kitchen?
2,bathroom,"According to the passage, the north of the garden is where the ""ruined tower"" of",What is north of the garden?
3,bedroom,"According to the passage, the kitchen is located in the ""lowly cottage"" where",What is south of the kitchen?
4,bedroom,"According to the passage, the bedroom is east of the kitchen.",What is east of the kitchen?
5,garden,"According to the passage, the bathroom is west of the hallway.",What is the bathroom west of?
6,kitchen,"According to the passage, the kitchen is east of the bedroom.",What is east of the bedroom?
7,bathroom,"According to the passage, the garden is south of the Luxembourg Palace. The passage states:",What is the garden south of?
8,kitchen,"According to the passage, south of the office is the kitchen.

Here is the relevant",What is south of the office?
9,office,"According to the passage, east of the hallway is a chamber.

Here is the",What is east of the hallway?
10,garden,"According to the passage, north of the office is a ""little pond"" and """,What is north of the office?
11,garden,"According to the passage, the garden is south of the kitchen.",What is south of the kitchen?
12,bathroom,"According to the passage, the bathroom is east of the kitchen.

Here is the",What is east of the kitchen?
13,garden,"According to the passage, the bathroom is west of the kitchen.",What is west of the kitchen?
14,garden,"According to the passage, the bedroom is located in the mansion house, which is situated",What is north of the bedroom?
15,garden,"According to the passage, the garden is east of the hallway.",What is east of the hallway?
16,hallway,"According to the passage, the office is located west of the hallway. Therefore, east of",What is east of the office?
17,office,"According to the passage, south of the bathroom is the kitchen.",What is south of the bathroom?
18,garden,"According to the passage, the bedroom north of the nunnery is the bedroom of",What is the bedroom north of?
19,garden,"According to the passage, the kitchen is west of the bedroom.",What is the kitchen west of?
20,garden,"According to the passage, the office is east of the river. The passage states: ""The",What is the office east of?
21,garden,"Answer: The bathroom is south of the office.

Context:

""The",What is the bathroom south of?
22,bathroom,"According to the text, the carved ceiling is located in the bathroom.",What is north of the bedroom?
23,bathroom,"The bedroom is south of the bathroom.

Answer: The bedroom is south",What is the bedroom south of?
24,hallway,"The bedroom is west of the hallway.

Answer: The bedroom is west",What is the bedroom west of?
25,office,"According to the passage, the east end of the parlor is where the author's new",What is east of the bathroom?
26,office,"According to the passage, the north of the bedroom is the hall.",What is north of the bedroom?
27,hallway,"According to the passage, the bathroom is west of the office.",What is west of the bathroom?
28,garden,"According to the text, the bathroom is north of the bedroom.",What is the bathroom north of?
29,garden,"According to the text, the garden is north of the office.

Here is the relevant",What is north of the office?
30,bedroom,"According to the text, the bedroom is east of the kitchen.",What is east of the kitchen?
31,kitchen,"According to the text, the bathroom is east of the kitchen.",What is the bathroom east of?
32,bathroom,"According to the passage, north of the garden is the house itself. The passage states: """,What is north of the garden?
33,kitchen,The bedroom is west of the hallway.,What is the bedroom west of?
34,bedroom,"According to the passage, the kitchen is south of the hall.",What is the kitchen south of?
35,garden,"According to the diary, the bathroom is east of the garden.",What is the bathroom east of?
36,office,"According to the entry, south of the hallway is the bathroom.",What is south of the hallway?
37,bedroom,The hallway is north of the bathroom. The bathroom is located off the hallway,What is north of the bathroom?
38,bedroom,"Based on the text, the bathroom is east of the office.",What is the bathroom east of?
39,office,"According to the passage, north of the bedroom is the office. The passage states: """,What is north of the bedroom?
40,bathroom,"According to the passage, the bathroom is south of the kitchen.",What is south of the kitchen?
41,bedroom,"Answer: The bedroom is west of the office.

[Illustration: Magnifies",What is west of the office?
42,kitchen,"Answer: The garden is south of the kitchen.

Explanation: The passage mentions",What is the garden south of?
43,garden,"According to the passage, south of the bedroom is the garden. The passage states: """,What is south of the bedroom?
44,garden,"According to the passage, the office is south of the garden.",What is the office south of?
45,hallway,"According to the passage, the office is east of the hall.",What is the office east of?
46,garden,"According to the passage, south of the office is a ""little black bluff.""",What is south of the office?
47,garden,"According to the passage, the garden is west of the bedroom.",What is west of the bedroom?
48,garden,Answer: The garden is east of the hallway.,What is east of the hallway?
49,garden,"According to the passage, the office is south of the house.

Here is the relevant",What is the office south of?
50,bedroom,"According to the passage, the hallway is north of the garden.

Answer: The",What is the hallway north of?
51,garden,"According to the passage, the north of the bathroom is the ground.

Here is",What is north of the bathroom?
52,hallway,"The bedroom is north of the hallway.

The hallway is located on the",What is the bedroom north of?
53,bathroom,"According to the illustration, the bathroom is east of the garden. The bathroom is",What is east of the garden?
54,bathroom,"Answer: The bathroom is west of the bedroom.

Explanation: The",What is west of the bedroom?
55,garden,"According to the passage, the studio is east of the hallway. The passage states: """,What is east of the hallway?
