,target,output,question
0,hallway,The most recent location of John is hallway.,Where is John? 
1,bathroom,The most recent location of Mary is the bathroom.,Where is Mary? 
2,kitchen,The most recent location of Sandra is the kitchen.,Where is Sandra? 
3,hallway,The most recent location of Sandra is hallway.,Where is Sandra? 
4,kitchen,The most recent location of Sandra is the kitchen.,Where is Sandra? 
5,hallway,The most recent location of Sandra is hallway.,Where is Sandra? 
6,garden,The most recent location of Sandra is garden.,Where is Sandra? 
7,hallway,The most recent location of Daniel is the hallway.,Where is Daniel? 
8,office,The most recent location of Sandra is the office.,Where is Sandra? 
9,office,The most recent location of Daniel is the office.,Where is Daniel? 
10,kitchen,The most recent location of Mary is the kitchen.,Where is Mary? 
11,garden,The most recent location of Mary is the garden.,Where is Mary? 
12,office,The most recent location of Daniel is office.,Where is Daniel? 
13,bedroom,The most recent location of Mary is bedroom.,Where is Mary? 
14,bedroom,The most recent location of Mary is bedroom.,Where is Mary? 
15,kitchen,The most recent location of John is kitchen.,Where is John? 
16,garden,The most recent location of John is the garden.,Where is John? 
17,kitchen,The most recent location of John is the kitchen.,Where is John? 
18,office,The most recent location of Daniel is the office.,Where is Daniel? 
19,kitchen,The most recent location of John is the kitchen.,Where is John? 
20,hallway,The most recent location of Mary is hallway.,Where is Mary? 
21,office,The most recent location of John is the office.,Where is John? 
22,office,The most recent location of John is the office.,Where is John? 
23,hallway,The most recent location of Sandra is hallway.,Where is Sandra? 
24,bedroom,The most recent location of Daniel is bedroom.,Where is Daniel? 
25,bedroom,The most recent location of Sandra is bedroom.,Where is Sandra? 
26,bedroom,The most recent location of Mary is kitchen.,Where is Mary? 
27,kitchen,The most recent location of Daniel is kitchen.,Where is Daniel? 
28,kitchen,The most recent location of Daniel is kitchen.,Where is Daniel? 
29,kitchen,The most recent location of Daniel is kitchen.,Where is Daniel? 
30,hallway,The most recent location of Sandra is hallway.,Where is Sandra? 
31,office,The most recent location of John is office.,Where is John? 
32,kitchen,The most recent location of Sandra is the kitchen.,Where is Sandra? 
33,kitchen,The most recent location of Sandra is kitchen.,Where is Sandra? 
34,bathroom,The most recent location of Sandra is kitchen.,Where is Sandra? 
35,office,The most recent location of Mary is office.,Where is Mary? 
36,bathroom,The most recent location of Mary is bathroom.,Where is Mary? 
37,garden,The most recent location of Mary is garden.,Where is Mary? 
38,kitchen,The most recent location of Sandra is kitchen.,Where is Sandra? 
39,bedroom,The most recent location of Daniel is bedroom.,Where is Daniel? 
40,bathroom,The most recent location of Sandra is bathroom.,Where is Sandra? 
41,garden,The most recent location of Daniel is garden.,Where is Daniel? 
42,bathroom,The most recent location of Sandra is bathroom.,Where is Sandra? 
43,hallway,The most recent location of Daniel is hallway.,Where is Daniel? 
44,garden,The most recent location of Daniel is garden.,Where is Daniel? 
45,kitchen,The most recent location of Mary is kitchen.,Where is Mary? 
46,hallway,The most recent location of Daniel is hallway.,Where is Daniel? 
47,bathroom,The most recent location of Sandra is bathroom.,Where is Sandra? 
48,office,The most recent location of John is the office.,Where is John? 
49,bedroom,The most recent location of John is bedroom.,Where is John? 
50,bedroom,The most recent location of John is bedroom.,Where is John? 
51,office,The most recent location of John is office.,Where is John? 
52,garden,The most recent location of John is garden.,Where is John? 
53,garden,The most recent location of John is garden.,Where is John? 
54,kitchen,The most recent location of Daniel is kitchen.,Where is Daniel? 
55,bedroom,The most recent location of Mary is bedroom.,Where is Mary? 
56,kitchen,The most recent location of Mary is kitchen.,Where is Mary? 
57,hallway,The most recent location of Mary is hallway.,Where is Mary? 
58,garden,The most recent location of Daniel is the garden.,Where is Daniel? 
59,hallway,The most recent location of Sandra is the kitchen.,Where is Sandra? 
60,hallway,The most recent location of Sandra is the hallway.,Where is Sandra? 
61,office,The most recent location of Daniel is office.,Where is Daniel? 
62,bathroom,The most recent location of Sandra is bathroom.,Where is Sandra? 
63,garden,The most recent location of Daniel is garden.,Where is Daniel? 
64,garden,The most recent location of Daniel is garden.,Where is Daniel? 
65,kitchen,The most recent location of John is kitchen.,Where is John? 
66,kitchen,The most recent location of John is the kitchen.,Where is John? 
67,bathroom,The most recent location of Daniel is bathroom.,Where is Daniel? 
68,office,The most recent location of Daniel is office.,Where is Daniel? 
69,office,The most recent location of Daniel is the office.,Where is Daniel? 
70,garden,The most recent location of Mary is garden.,Where is Mary? 
