Unnamed: 0,target,output,question
0,bedroom,"Answer: The bedroom.

Question: What is the bedroom west of?

Answer: The bathroom.",What is the bathroom east of?
1,bedroom,"Answer: The hallway.

Question: What is west of the bedroom?

Answer: The hallway.",What is west of the kitchen?
2,bathroom,"Answer: The hallway.

Question: What is north of the hallway?

Answer: The bathroom.",What is north of the garden?
3,bedroom,"Answer: The bedroom.

Question: What is the signal for stopping?

Answer: The men rise",What is south of the kitchen?
4,bedroom,"Answer: The bedroom.

Question: What is the name of the river that flows near the walls of S",What is east of the kitchen?
5,garden,"the want of a clerestory, the nave is very high, and the side-aisles are",What is the bathroom west of?
6,kitchen,"Answer: The garden.

Question: What is west of the bedroom?

Answer: The kitchen.",What is east of the bedroom?
7,bathroom,"Answer: The bedroom.

Question: What is the bathroom north of?

Answer: The garden.",What is the garden south of?
8,kitchen,"What is south of the kitchen?
What is south of the garden? What is south of the kitchen? What is south",What is south of the office?
9,office,"Answer: The garden.

Question: What is east of the garden?

Answer: The hallway.",What is east of the hallway?
10,garden,"Answer: The garden.

Question: What is south of the office?

Answer: The hallway.",What is north of the office?
11,garden,"Answer: The garden.

Question: What is north of the kitchen?

Answer: The office.",What is south of the kitchen?
12,bathroom,"Answer: The bathroom.

Question: What is east of the bathroom?

Answer: The bedroom.",What is east of the kitchen?
13,garden,"Answer: The bathroom.

Question: What is east of the bathroom?

Answer: The kitchen.",What is west of the kitchen?
14,garden,"my thoughts to others, I have never yet found any one, who could
understand them so well, as",What is north of the bedroom?
15,garden,"A: The answer is:

 The garden is east of the hallway.

Because:",What is east of the hallway?
16,hallway,"A: The hallway is east of the office.


*

*The hallway is west of",What is east of the office?
17,office,"Answer: The kitchen.

Question: What is north of the kitchen?

Answer: The bathroom.",What is south of the bathroom?
18,garden,"Answer: The kitchen.

Answer: The garden.

Answer: The bathroom.

Answer:",What is the bedroom north of?
19,garden,"Answer: The bedroom.

�

Question: What is the bedroom west of?

Answer:",What is the kitchen west of?
20,garden,"CHAPTER XIV. “I’m going to investigate that room,” declared",What is the office east of?
21,garden,"Answer: The kitchen.




                              CHAPTER XV. The two boys had been standing",What is the bathroom south of?
22,bathroom,"Options:

A. Bathroom

B. Kitchen

C. Living room

D.",What is north of the bedroom?
23,bathroom,Answer: The bathroom.,What is the bedroom south of?
24,hallway,"Answer: The hallway.

]

2

The partners face one another as in Waltz Position",What is the bedroom west of?
25,office,Answer: The office.,What is east of the bathroom?
26,office,"Answer: The hallway.

Question: What is north of the hallway?

Answer: The kitchen.",What is north of the bedroom?
27,hallway,"Answer: The hallway.

Question: What is east of the bathroom?

Answer: The kitchen.",What is west of the bathroom?
28,garden,"Answer: The garden.


A: The answer is:

 The garden is north of the bathroom",What is the bathroom north of?
29,garden,"Answer: The garden.

Question: What is south of the bathroom?

Answer: The garden.",What is north of the office?
30,bedroom,"Answer: The bedroom.

Question: What is east of the bedroom?

Answer: The office.",What is east of the kitchen?
31,kitchen,Answer: The kitchen.,What is the bathroom east of?
32,bathroom,"Answer: The bathroom.


A: The bathroom is north of the garden.

The Brownies",What is north of the garden?
33,kitchen,"A: The bedroom is west of the hallway.

The bedroom is west of the kitchen.",What is the bedroom west of?
34,bedroom,"A: The kitchen is south of the hallway.

The hallway is south of the kitchen.",What is the kitchen south of?
35,garden,Answer: The bedroom.,What is the bathroom east of?
36,office,"Answer: The bathroom.

Question: What is south of the bathroom?

Answer: The kitchen.",What is south of the hallway?
37,bedroom,"Options:

A. The bedroom

B. The kitchen

C. The living room",What is north of the bathroom?
38,bedroom,Answer: The bedroom.,What is the bathroom east of?
39,office,"Answer: The office.

Question: What is south of the kitchen?

Answer: The office.",What is north of the bedroom?
40,bathroom,"Answer: The hallway.

Question: What is south of the hallway?

Answer: The bathroom.",What is south of the kitchen?
41,bedroom,"""_

     ""_

     ""_

     ""_

     ""_",What is west of the office?
42,kitchen,"Answer: The kitchen.

Question: What is the bedroom north of?

Answer: The kitchen.",What is the garden south of?
43,garden,,What is south of the bedroom?
44,garden,"Answer: The garden.

Question: What is the garden north of?

Answer: The office.",What is the office south of?
45,hallway,"Answer: The bedroom.

Question: What is the bedroom west of?

Answer: The office.",What is the office east of?
46,garden,"Answers:

1. The garden

2. The house

3. The street",What is south of the office?
47,garden,"Options:

A. The bathroom

B. The garden

C. The kitchen

D",What is west of the bedroom?
48,garden,"Answer: The bedroom.

""Don't shoot! It's Rodeo!"" ""W",What is east of the hallway?
49,garden,Answer: The garden.,What is the office south of?
50,bedroom,"Answer: The garden.

     [The garden was north of the house.--B.]",What is the hallway north of?
51,garden,"Answer: The garden.

Question: What is the name of the tavern in Pope's Head Al",What is north of the bathroom?
52,hallway,"Answer: The garden.

Question: What is the bedroom south of?

Answer: The garden.",What is the bedroom north of?
53,bathroom,Answer: The bathroom.,What is east of the garden?
54,bathroom,"Options:

A. The bathroom

B. The kitchen

C. The living room",What is west of the bedroom?
55,garden,"Answer: The garden.

Question: What is west of the hallway?

Answer: The bedroom.",What is east of the hallway?
56,hallway,"The hallway.


A: The hallway is east of the kitchen.

The hallway is east of",What is the bedroom east of?
57,kitchen,"Answer: The kitchen.


A: The answer is:

The kitchen

The hallway is",What is west of the hallway?
58,hallway,"Answer: The garden.


A: The answer is:

The garden is south of the hallway",What is south of the bedroom?
59,kitchen,"Answer: The bathroom.

Question: What is the bathroom south of?

Answer: The garden.",What is the garden north of?
60,hallway,"Answer: The hallway.

Question: What is the hallway south of?

Answer: The bathroom.",What is the bedroom north of?
61,bedroom,Answer: The bedroom.,What is south of the hallway?
62,kitchen,Answer: The garden.,What is the hallway north of?
63,hallway,"Answer: The hallway.

Question: What is west of the hallway?

Answer: The garden.",What is west of the bedroom?
64,bedroom,Answer: The bedroom.,What is east of the garden?
65,office,Answer: The garden.,What is the bedroom north of?
66,bathroom,Answer: The bathroom.,What is the bedroom north of?
