Unnamed: 0,target,output,question
0,bedroom,Answers:,What is the bathroom east of?
1,bedroom,,What is west of the kitchen?
2,bathroom,Answer: The bathroom.,What is north of the garden?
3,bedroom,"Answer: The bedroom.

THE DEAN. [_Heaping the Bolus into the basin._",What is south of the kitchen?
4,bedroom,Answer: The bedroom.,What is east of the kitchen?
5,garden,"Answer: The hallway.

Question: What is the hallway west of?

Answer: The garden.",What is the bathroom west of?
6,kitchen,"Answer: The garden.

Question: What is west of the bedroom?

Answer: The garden.",What is east of the bedroom?
7,bathroom,Answer: The bedroom. Question: What is the bathroom south of? Answer: The garden. Question: What is the bathroom,What is the garden south of?
8,kitchen,"Question: What is south of the kitchen?

Question: What is south of the garden?

Question",What is south of the office?
9,office,"Answer: The garden.

Question: What is east of the garden?

Answer: The lake.",What is east of the hallway?
10,garden,"Answer: The garden.

Question: What is south of the office?

Answer: The garden.",What is north of the office?
11,garden,"Answer: The answer is in the question.

The answer is: South of the kitchen.

The",What is south of the kitchen?
12,bathroom,Answer: The bathroom.,What is east of the kitchen?
13,garden,Answer: The bathroom.,What is west of the kitchen?
14,garden,"Answer: The garden.

Question: What is the name of the janitor?

Answer: Jack",What is north of the bedroom?
15,garden,"Answer: The garden.

Question: What is west of the bathroom?

Answer: The garden.",What is east of the hallway?
16,hallway,,What is east of the office?
17,office,Answer: The kitchen.,What is south of the bathroom?
18,garden,Answer: The kitchen.,What is the bedroom north of?
19,garden,Answer: The garden.,What is the kitchen west of?
20,garden,"Answer: The office east of the station is the office of the

Question: What is the office west of",What is the office east of?
21,garden,"Answer: The garden.


""Oh, yes, I know,"" nodded Mr. ""I've heard",What is the bathroom south of?
22,bathroom,Answer: The bathroom.,What is north of the bedroom?
23,bathroom,Answer: The bathroom.,What is the bedroom south of?
24,hallway,"Answer: The bedroom is west of the hallway.


A: The bedroom is west of the hallway.",What is the bedroom west of?
25,office,"Answer: The answer is in the question.

The answer is: The east of the bathroom is the west",What is east of the bathroom?
26,office,"Answer: The kitchen.

and stores, and they were responsible for the safety of the units
when they were in",What is north of the bedroom?
27,hallway,"Answer: The office.

Question: What is east of the bathroom?

Answer: The office.",What is west of the bathroom?
28,garden,,What is the bathroom north of?
