Unnamed: 0,target,output,question
0,bedroom,Answer: The bedroom.,What is the bathroom east of?
1,bedroom,Answer: The bedroom.,What is west of the kitchen?
2,bathroom,"""

""The bathroom,"" said Jose. ""And the hallway is north of the bathroom.""

""",What is north of the garden?
3,bedroom,"Answer: The bathroom.

    The Cross, with flaming points, he threw
    Into the",What is south of the kitchen?
4,bedroom,"Answer: The bedroom.

Question: What is the name of the lake?

Answer: Loch",What is east of the kitchen?
5,garden,Answer: The hallway.,What is the bathroom west of?
6,kitchen,"Answer: The kitchen.


stem. He is a student of the Sorbonne, and is going",What is east of the bedroom?
7,bathroom,,What is the garden south of?
8,kitchen,"Answer: The kitchen.

Question: What is south of the kitchen?

Answer: The three pretty",What is south of the office?
9,office,"Answer: The garden.

Question: What is west of the garden?

Answer: The parlor",What is east of the hallway?
10,garden,"Answer: The north of the office is north of the office.

Question: What is south of the office",What is north of the office?
11,garden,"Answer: The garden.

Question: What is north of the kitchen?

Answer: The office.",What is south of the kitchen?
12,bathroom,Answer: Bathroom,What is east of the kitchen?
13,garden,,What is west of the kitchen?
14,garden,Answer: The garden.,What is north of the bedroom?
15,garden,"Answer: The garden.

Question: What is west of the bathroom?

Answer: The garden.",What is east of the hallway?
16,hallway,"the occasion of the great fairs, which are held at the various towns of
the province. The Rif",What is east of the office?
17,office,"Answer: The kitchen.

Question: What is north of the bathroom?

Answer: The bedroom.",What is south of the bathroom?
18,garden,"Answer: The kitchen.

Question: What is the bedroom south of?

Answer: The garden.",What is the bedroom north of?
19,garden,Answers:,What is the kitchen west of?
20,garden,"Answer: The garden.

Question: What is the office west of?

Answer: The garden.",What is the office east of?
21,garden,"Answer: The kitchen.





End of the Project Gutenberg EBook of Birds and",What is the bathroom south of?
22,bathroom,"Answer: The bathroom.

Question: What is south of the bedroom?

Answer: The kitchen.",What is north of the bedroom?
23,bathroom,"Answer: The bathroom.




NOTES AND QUERIES ON ENGLISH, SCOTTISH,",What is the bedroom south of?
24,hallway,"Answer: The hallway.

Question: What is the hallway east of?

Answer: The bedroom.",What is the bedroom west of?
25,office,"Answer: The kitchen.

Question: What is west of the bathroom?

Answer: The bedroom.",What is east of the bathroom?
26,office,"Answer: The hallway.

Question: What is north of the hallway?

Answer: The office.",What is north of the bedroom?
27,hallway,"Answer: The hallway.

Question: What is east of the bathroom?

Answer: The kitchen.",What is west of the bathroom?
