Unnamed: 0,target,output,question
0,football,"Answer: The football.

Question: What did Fred give to Jeff?

Answer: The football.",What did Fred give to Jeff? 
1,Fred,"Answer: Fred.

Question: Who gave the football to Fred?

Answer: Bill.",Who gave the football to Jeff? 
2,football,"Options:

A. The football.

B. The milk.

C. The milk and",What did Fred give to Jeff? 
3,Jeff,,Who did Fred give the football to? 
4,Fred,Answer: Fred,Who did Jeff give the football to? 
5,Jeff,"Options:

A. Fred

B. Jeff

C. Mary

D. None of",Who gave the apple? 
6,Bill,"Answer: Fred

Question: Who gave the apple to Bill?

Answer: Fred

Question:",Who received the apple? 
7,apple,"Answer: The apple.

for its intrinsic merit. It is entitled “The Battle of Magh-R",What did Bill give to Fred? 
8,apple,"Answer: The apple.

Question: What did Fred give to Bill?

Answer: The apple.",What did Bill give to Fred? 
9,Fred,"SCENE

The room of Hitty Judson, a spinster, who lives alone.",Who received the apple? 
10,Mary,,Who received the milk? 
11,milk,"A: 
 The milk.



*

*
 The first line is a reference to",What did Mary give to Bill? 
12,Bill,"Answer: Mary.

Question: Who gave the milk to Bill?

Answer: Fred.",Who received the milk? 
13,Bill,"Options:

A. Jeff

B. Bill

C. Fred

D. None of",Who did Mary give the milk to? 
14,milk,"Options:

A. The milk

B. The football

C. The milk and the football",What did Mary give to Bill? 
15,Jeff,"Answer: Fred.

Question: Who went to the kitchen?

Answer: Mary.

Question",Who received the football? 
16,Fred,"Answer: Fred.

Question: Who passed the football to Fred?

Answer: Jeff.",Who gave the football to Jeff? 
17,football,football,What did Fred give to Jeff? 
18,Jeff,Mary,Who received the football? 
19,Mary,Mary,Who gave the milk? 
20,milk,,What did Jeff give to Mary? 
21,Mary,"Answer: Mary

Question: Who gave the football to Fred?

Answer: Jeff

Question:",Who gave the milk to Jeff? 
22,Mary,"Answer: Mary.

Question: Who dropped the football?

Answer: Fred.

Question:",Who gave the milk to Jeff? 
23,Bill,"Options:

A. Mary

B. Bill

C. Fred

D. None of",Who gave the apple to Jeff? 
24,Jeff,Solution: Bill.,Who gave the apple? 
25,apple,Answer: apple,What did Jeff give to Fred? 
26,Fred,"A: Fred



*

*Jeff grabbed the milk there.

*Jeff put",Who received the apple? 
27,Jeff,Answer: Jeff.,Who received the apple? 
28,Jeff,"Answer: Jeff.

Question: Who went to the hallway?

Answer: Bill.

Question",Who gave the apple? 
29,Fred,"Options:

A. Fred

B. Bill

C. Hitt

D. None",Who did Jeff give the apple to? 
30,Mary,"Answer: Mary.

Question: Who took the milk?

Answer: Bill.

Question:",Who gave the milk? 
31,Bill,Answer: Mary gave the milk.,Who gave the milk? 
32,Bill,"Options:

A. Fred

B. Bill

C. Jeff

D. Mason",Who gave the milk to Mary? 
33,milk,"Options:

A. The milk

B. The apple

C. The milk and the apple",What did Bill give to Mary? 
