,target,output,question
0,bedroom,,What is the bathroom east of?
1,kitchen,"Answer: The kitchen.

Question: What is north of the office?

Answer: The office.",What is south of the office?
2,garden,Answer: The north of the office is north of the office.,What is north of the office?
3,garden,Answer: The kitchen. Question: What is the kitchen north of? Answer: The bedroom. Question: What is the bedroom,What is the bedroom north of?
4,garden,"Answer: The kitchen. He was not sure that he could ever repay her, but he was determined to
try. He",What is the bathroom south of?
5,office,Answer: The hallway. Question: What is north of the hallway? Answer: The kitchen. Question: What is north of,What is north of the bedroom?
6,bathroom,Answer: The river. Question: What is south of the garden? Answer: The river. Question: What is east of,What is north of the garden?
7,bedroom,"Answer: The bathroom.




CHAPTER III.


The first step in the career of",What is west of the office?
8,kitchen,,What is the garden south of?
9,bathroom,Answer: The office. Question: What is the office north of? Answer: The hallway. Question: What is the hallway,What is the hallway north of?
10,bedroom,"Answer: The bedroom.

Question: What is north of the bedroom?

Answer: The kitchen.",What is south of the hallway?
11,office,,What is east of the bedroom?
12,hallway,"Answer: The kitchen.

Question: What is north of the kitchen?

Answer: The hallway.",What is north of the garden?
13,bedroom,"the church, one in the centre, and two on either side. The one in the
centre was the",What is the garden west of?
14,hallway,"Answer: The kitchen.




THE BATTLE OF GETTYSBURG

    The battle",What is east of the bathroom?
15,bathroom,"Answer: The office is west of the office.

---------------------------------",What is the office west of?
16,bathroom,Answer: The bathroom.,What is west of the bedroom?
17,kitchen,"Answer: The kitchen.





End of the Project Gutenberg EBook of The S",What is north of the hallway?
18,bathroom,"Answer: The garden.

CHAPTER LI

THE FALL OF THE LEAF",What is south of the kitchen?
19,office,Answer: The garden.,What is south of the bedroom?
20,bedroom,"Answer: The kitchen.









End of Project Gutenberg's Oh,",What is west of the hallway?
21,office,Answer: The bed.,What is east of the bedroom?
22,bedroom,"Answer: The bathroom.

Question: What is the bathroom north of?

Answer: The hallway.",What is the hallway south of?
23,kitchen,Answer: The kitchen.,What is west of the bedroom?
24,bedroom,"Answer: The bedroom.




CHAPTER XII. NOW, if we had looked into the her",What is south of the bathroom?
25,hallway,"Answer: The bathroom.




                              CHAPTER XI. ––––––
                          THE",What is west of the bathroom?
26,office,"Answer: The bathroom.


A: I'm not sure if this is the right place to post this",What is south of the hallway?
27,bedroom,"Answer: The office is west of the office.




CHAPTER IX.--THE LA",What is east of the office?
28,garden,"Answer: The garden.

Question: What is east of the bathroom? Answer: The garden.

Question:",What is west of the bathroom?
29,kitchen,,What is the garden north of?
30,office,Answer: The garden is east of the garden.,What is east of the garden?
31,bathroom,Answer: The kitchen.,What is south of the hallway?
32,garden,Answer: The,What is east of the office?
33,bedroom,"Answer: The bathroom.

Question: What is north of the bathroom?

Answer: The kitchen.",What is south of the hallway?
