,target,output,question
0,bedroom,The bathroom is east of the hallway.,What is the bathroom east of?
1,bedroom,The kitchen,What is west of the kitchen?
2,bathroom,garden,What is north of the garden?
3,bedroom,kitchen,What is south of the kitchen?
4,bedroom,The answer is bedroom.,What is east of the kitchen?
5,garden,The bathroom is west of the hallway.,What is the bathroom west of?
6,kitchen,The answer is garden.,What is east of the bedroom?
7,bathroom,garden,What is the garden south of?
8,kitchen,The office,What is south of the office?
9,office,The answer is garden.,What is east of the hallway?
10,garden,The answer is the garden.,What is north of the office?
11,garden,The answer is bedroom.,What is south of the kitchen?
12,bathroom,Answer: bathroom,What is east of the kitchen?
13,garden,Answer: garden,What is west of the kitchen?
14,garden,The answer is the garden.,What is north of the bedroom?
15,garden,The answer is the garden.,What is east of the hallway?
16,hallway,The office,What is east of the office?
17,office,The kitchen,What is south of the bathroom?
18,garden,The bedroom is north of the kitchen.,What is the bedroom north of?
19,garden,kitchen,What is the kitchen west of?
20,garden,The office is east of the garden.,What is the office east of?
21,garden,Answer: kitchen,What is the bathroom south of?
22,bathroom,The answer is bathroom.,What is north of the bedroom?
23,bathroom,The bedroom is south of the bathroom.,What is the bedroom south of?
24,hallway,The bedroom is west of the office.,What is the bedroom west of?
25,office,Answer: office,What is east of the bathroom?
26,office,"The answer to the question is ""office.""",What is north of the bedroom?
27,hallway,Answer: bedroom,What is west of the bathroom?
28,garden,Answer: bedroom,What is the bathroom north of?
29,garden,The answer is garden.,What is north of the office?
30,bedroom,bedroom,What is east of the kitchen?
31,kitchen,The bathroom is east of the hallway.,What is the bathroom east of?
32,bathroom,The answer is the bedroom.,What is north of the garden?
33,kitchen,The bedroom is west of the hallway.,What is the bedroom west of?
34,bedroom,The kitchen is south of the bedroom.,What is the kitchen south of?
35,garden,The bathroom is east of the garden.,What is the bathroom east of?
36,office,The answer is the office.,What is south of the hallway?
37,bedroom,The bathroom,What is north of the bathroom?
38,bedroom,The bathroom is east of the office.,What is the bathroom east of?
39,office,The answer is office.,What is north of the bedroom?
40,bathroom,Answer: bathroom,What is south of the kitchen?
41,bedroom,The answer is the bedroom.,What is west of the office?
42,kitchen,garden,What is the garden south of?
43,garden,The answer is garden.,What is south of the bedroom?
44,garden,The office is south of the hallway.,What is the office south of?
45,hallway,The office is east of the bedroom.,What is the office east of?
46,garden,The office,What is south of the office?
47,garden,The answer is garden.,What is west of the bedroom?
48,garden,The answer is garden.,What is east of the hallway?
49,garden,The office,What is the office south of?
50,bedroom,The hallway is north of the kitchen.,What is the hallway north of?
51,garden,Answer: garden,What is north of the bathroom?
52,hallway,The bedroom is north of the garden.,What is the bedroom north of?
53,bathroom,garden,What is east of the garden?
54,bathroom,The answer is garden.,What is west of the bedroom?
55,garden,The answer is garden.,What is east of the hallway?
56,hallway,The bedroom is east of the kitchen.,What is the bedroom east of?
57,kitchen,The answer is garden.,What is west of the hallway?
58,hallway,Answer: hallway,What is south of the bedroom?
59,kitchen,garden,What is the garden north of?
60,hallway,The bedroom is north of the kitchen.,What is the bedroom north of?
61,bedroom,hallway,What is south of the hallway?
62,kitchen,The hallway is north of the kitchen.,What is the hallway north of?
63,hallway,The answer is garden.,What is west of the bedroom?
64,bedroom,garden,What is east of the garden?
65,office,The bedroom is north of the garden.,What is the bedroom north of?
66,bathroom,The bedroom is north of the kitchen.,What is the bedroom north of?
67,office,garden,What is the garden south of?
68,kitchen,The bathroom is west of the garden.,What is the bathroom west of?
69,garden,Answer: bathroom,What is the hallway east of?
70,bathroom,Answer: bathroom,What is south of the bedroom?
71,kitchen,garden,What is the garden south of?
72,garden,bedroom,What is the bedroom south of?
73,bathroom,The office,What is north of the office?
74,bathroom,The hallway is north of the kitchen.,What is the hallway north of?
75,bedroom,The answer is bedroom.,What is south of the hallway?
76,bedroom,The hallway is east of the bathroom.,What is the hallway east of?
77,bathroom,The office is north of the garden.,What is north of the office?
78,kitchen,The answer is the kitchen.,What is east of the garden?
79,hallway,The kitchen is south of the hallway.,What is the kitchen south of?
80,garden,The garden,What is west of the office?
81,office,The bedroom is west of the office.,What is the bedroom west of?
82,kitchen,The hallway is south of the kitchen.,What is the hallway south of?
83,garden,The office is west of the bedroom.,What is the office west of?
84,bathroom,The answer is bathroom.,What is north of the hallway?
85,office,garden,What is west of the garden?
86,office,The answer is the office.,What is west of the garden?
87,garden,Answer: garden,What is east of the bathroom?
88,bathroom,The office,What is north of the office?
89,kitchen,The bedroom is west of the kitchen.,What is the bedroom west of?
90,office,The bathroom is south of the office.,What is the bathroom south of?
91,office,The answer is office.,What is east of the bedroom?
92,bedroom,The office,What is south of the office?
93,bathroom,The garden is west of the bedroom.,What is the garden west of?
94,garden,Answer: garden,What is the bedroom west of?
95,hallway,The answer is kitchen.,What is north of the garden?
96,bedroom,kitchen,What is the kitchen west of?
97,kitchen,The answer is kitchen.,What is west of the bedroom?
98,bathroom,kitchen,What is the kitchen north of?
99,garden,The office,What is the office north of?
100,bedroom,The answer is bedroom.,What is east of the hallway?
101,kitchen,The answer is bedroom.,What is south of the hallway?
102,bedroom,The office is west of the bathroom.,What is the office west of?
103,bathroom,The kitchen is north of the garden.,What is the kitchen north of?
104,hallway,garden,What is west of the bedroom?
105,bedroom,garden,What is west of the kitchen?
106,office,The kitchen is south of the hallway.,What is the kitchen south of?
107,bathroom,garden,What is west of the garden?
108,bedroom,The bathroom is south of the bedroom.,What is the bathroom south of?
109,bathroom,The kitchen is west of the garden.,What is the kitchen west of?
110,garden,The hallway is west of the bathroom.,What is the hallway west of?
111,hallway,kitchen,What is the kitchen south of?
112,office,The bathroom,What is south of the bathroom?
113,hallway,The office is west of the bedroom.,What is the office west of?
114,bedroom,kitchen,What is the kitchen north of?
115,office,The garden is east of the office.,What is the garden east of?
116,bedroom,hallway,What is the hallway south of?
117,bedroom,garden,What is the garden west of?
