,target,output,question
0,kitchen,Answer: In the hands of the football players. Question: Where is the,Where is the football? 
1,garden,Answer: In the garden. Question: Where is the milk? Answer:,Where is the milk? 
2,bedroom,"Answer: The apple is at the top of the
bas",Where is the apple? 
3,bedroom,Answer: The apple is taken from the tombs on its,Where is the apple? 
4,kitchen,"Answer: In the hands of the
priest. Question: Where",Where is the apple? 
5,hallway,Answer: The apple is in the hands of the boys.,Where is the apple? 
6,kitchen,Answer: In the cow. Question: Where is the cow? Answer:,Where is the milk? 
7,garden,Answer: The milk is in the hands of the whigs,Where is the milk? 
8,bedroom,Answer: The milk is in the _Temple of the,Where is the milk? 
9,bathroom,"Answer: It is in the hands of the Douglas, who",Where is the milk? 
10,bathroom,"Answer: It was still raining heavily, so they stuck out",Where is the football? 
11,bedroom,Answer: The church of San Ambrogio at Milan,Where is the milk? 
12,bathroom,"Answer: It is in the middle of the street, where",Where is the apple? 
13,kitchen,"Answer: It is in the air.

Question:",Where is the football? 
14,bedroom,Answer: The apple is in the British Museum.,Where is the apple? 
15,garden,Answer: The apple is in the kitchen.,Where is the apple? 
16,bedroom,Answer: It's at the door of one of the Cl,Where is the football? 
17,bedroom,"Answer: It is in the bottom of the boat, and",Where is the apple? 
18,garden,Answer: The milk is in the cows.,Where is the milk? 
19,garden,Answer: The milk is in the house of the chief controller,Where is the milk? 
20,office,"!
Answer: It was a little way from the house,",Where is the apple? 
21,bedroom,"Answer: The milk is in the little box

Question:",Where is the milk? 
22,garden,Answer: The milk is in the hands of the reader.,Where is the milk? 
23,bathroom,Answer: In the brain of every thoughtful man. Question: Where is,Where is the milk? 
24,office,Answer: The apple is in the garden.,Where is the apple? 
25,garden,"Answer: Lindell Grove

Question: Where is",Where is the football? 
26,garden,Answer: It is in the upper storey of the house,Where is the football? 
27,bedroom,Answer: The apple is in the yard.,Where is the apple? 
28,hallway,Answer: The apple is in the hall.,Where is the apple? 
29,hallway,Answer: The apple is in the drawing room.,Where is the apple? 
30,hallway,,Where is the apple? 
31,garden,"Answer: It is, of course, on the top of",Where is the football? 
32,hallway,"Answer: In the bathroom.

Question: Where is the",Where is the apple? 
33,kitchen,"Answer: It is in the air

Question: Where is",Where is the football? 
34,hallway,"Answer: The milk is in the stomach, and the stomach",Where is the milk? 
35,kitchen,"Answer: It is in the hands of the minister, who",Where is the apple? 
36,office,Answer: The milk is in the house of Fairy Know,Where is the milk? 
37,hallway,"Answer: It is in the hands of the English, who",Where is the milk? 
38,bathroom,"Answer: The milk is in the stomach.

Question",Where is the milk? 
39,bathroom,"Answer: In the cave.

Question: Where is",Where is the milk? 
40,bathroom,Answer: The football is in the possession of the Honour,Where is the football? 
41,hallway,"Answer: It is in the front room, where it is",Where is the football? 
42,garden,Answer: The apple is in the Dominicans',Where is the apple? 
43,bedroom,Answer: in the middle of the crater,Where is the apple? 
44,kitchen,Answer: In the bottle. Question: Where is the bottle? Answer:,Where is the milk? 
45,bedroom,Answer: The milk is in the hands of a trust company,Where is the milk? 
46,hallway,"Answer: The apple is in the garden.

Question",Where is the apple? 
47,garden,Answer: It is in the course of the story.,Where is the milk? 
48,kitchen,"Answer: The football is in the hospital.

Question",Where is the football? 
49,bathroom,"Answer: It is in the library, where the widow",Where is the football? 
50,garden,Answer: In the bathroom.,Where is the milk? 
51,bedroom,"Answer: In the hands of the priest.

Question",Where is the apple? 
52,hallway,Answer: In the hands of the child's mother.,Where is the milk? 
53,hallway,"Answer: It is in the cupboard, on the platform",Where is the milk? 
54,office,Answer: The church of San Vitale at Ravenna.,Where is the milk? 
55,kitchen,"Answer: In the middle of the apple, and in the",Where is the apple? 
56,bathroom,"Answer: There is a milk-pond in the
back yard. It",Where is the milk? 
57,bathroom,Answer: It is to be found in the Richelieu,Where is the milk? 
58,office,"Answer: It is in the distance.

Question: Where",Where is the football? 
59,garden,"Answer: The football is in the air.

Question",Where is the football? 
60,kitchen,"Answer: In the mouth.

Question: Where is",Where is the apple? 
61,bathroom,"Answer: In the middle of the forest


Question",Where is the apple? 
62,garden,Answer: The football is in the corner of the room where,Where is the football? 
63,bathroom,Answer: It is in the cow-house.,Where is the milk? 
64,bathroom,"Answer: In the refrigerator.

Question: Where",Where is the milk? 
65,hallway,"Answer: The milk is in the stomach.

Question",Where is the milk? 
66,bedroom,"The answer was given in a
manner which, to my mind,",Where is the football? 
67,garden,"Answer: In the garden

Question: Where is the",Where is the football? 
68,bedroom,Answer: The football is in the middle of the field.,Where is the football? 
69,bathroom,"Answer: It is in the cellar.

Question",Where is the apple? 
70,garden,"Answer: The milk is in the Red Lion, waiting for",Where is the milk? 
71,office,Hint: It is in the window.,Where is the milk? 
72,office,Answer: The football is in the kitchen.,Where is the football? 
73,hallway,Answer: It is in the hands of the referee.,Where is the football? 
74,garden,"Answer: It is in the hallway.

Question:",Where is the football? 
