Unnamed: 0,target,output,question
0,football,"Answer: football

Your answer should contain only one word. Do not write anything else after that. Do not explain",What did Fred give to Jeff? 
1,Fred,"Answer: Fred

Example:
Mary picked up the apple there. Mary gave the apple to Fred. Mary moved",Who gave the football to Jeff? 
2,football,"Answer: football

Your answer should contain only one word. Do not write anything else after that. Do not explain",What did Fred give to Jeff? 
3,Jeff,"Answer: Jeff

Your answer should contain only one word. Do not write anything else after that. Do not explain",Who did Fred give the football to? 
4,Fred,"Answer: Fred

Example:
Mary picked up the apple there. Mary gave the apple to Fred. Mary moved",Who did Jeff give the football to? 
5,Jeff,"Answer: Jeff

Question: Who got the apple?
Answer: Fred

Question: Who travelled to the",Who gave the apple? 
6,Bill,"Answer: Bill

Example:
Mary travelled to the kitchen. Mary picked up the apple there. Mary gave the",Who received the apple? 
7,apple,"Answer: apple

Your answer should contain only one word. Do not write anything else after that. Do not explain",What did Bill give to Fred? 
8,apple,"Answer: apple

Your answer should contain only one word. Do not write anything else after that. Do not explain",What did Bill give to Fred? 
9,Fred,"Answer: Fred

Question: Who gave the apple to Fred?
Answer: Jeff

Question: Who gave",Who received the apple? 
10,Mary,"Answer: Mary

Question: Who gave the milk?
Answer: Fred

Question: Who received the football",Who received the milk? 
11,milk,"Answer: milk

Your answer should contain only one word. Do not write anything else after that. Do not explain",What did Mary give to Bill? 
12,Bill,"Answer: Bill

Question: Who gave the milk?
Answer: Mary

Question: Who dropped the football",Who received the milk? 
13,Bill,"Answer: Bill

Question: Who did Fred give the milk to?
Answer: Mary

Question: Who",Who did Mary give the milk to? 
14,milk,"Answer: milk

Your answer should contain only one word. Do not write anything else after that. Do not explain",What did Mary give to Bill? 
15,Jeff,Answer: Jeff,Who received the football? 
16,Fred,"Answer: Fred

Your answer should contain only one word. Do not write anything else after that. Do not explain",Who gave the football to Jeff? 
17,football,"Answer: football

Your answer should contain only one word. Do not write anything else after that. Do not explain",What did Fred give to Jeff? 
18,Jeff,"Answer: Fred

Question: Who gave the football?
Answer: Jeff

Question: Who got the football",Who received the football? 
19,Mary,"Answer: Mary

Question: Who gave the football?
Answer: Fred

Question: Who gave the apple",Who gave the milk? 
20,milk,"Answer: milk

Question: What did Fred give to Bill?
Answer: apple

Question: What did",What did Jeff give to Mary? 
21,Mary,"Answer: Mary

Question: Who gave the milk to Mary?
Answer: Jeff

Question: Who gave",Who gave the milk to Jeff? 
22,Mary,Answer: Mary gave the milk to Jeff.,Who gave the milk to Jeff? 
23,Bill,"Answer: Bill

Question: Who gave the milk to Mary?
Answer: Jeff

Question: Who gave",Who gave the apple to Jeff? 
24,Jeff,Answer: Mary gave the apple to Fred.,Who gave the apple? 
25,apple,"Answer: apple

Your answer should contain only one word. Do not write anything else after that. Do not explain",What did Jeff give to Fred? 
26,Fred,"Answer: Fred

Question: Who gave the apple to Fred?
Answer: Jeff

Question: Who picked",Who received the apple? 
27,Jeff,"Answer: Fred

Question: Who gave the apple?
Answer: Jeff

Question: Who travelled to the",Who received the apple? 
28,Jeff,Answer: Jeff gave the apple to Fred.,Who gave the apple? 
